"pathway","database","size","NES_Training_CRE","NES_Training_PLA","padj_Training_CRE","padj_Training_PLA","sig_cat"
"BIOCARTA_COMP_PATHWAY","BioCarta",11,1.64997103863154,-0.855356230552016,0.161490683229814,0.789904200442152,"NS"
"BIOCARTA_UCALPAIN_PATHWAY","BioCarta",12,1.68007159043947,-1.42472884378571,0.161490683229814,0.514905743095134,"NS"
"BIOCARTA_EIF4_PATHWAY","BioCarta",12,-1.47688959494689,1.41233208285595,0.214237756335245,0.514905743095134,"NS"
"BIOCARTA_EIF_PATHWAY","BioCarta",15,-1.5144861981545,1.1992679075357,0.214237756335245,0.624040692486168,"NS"
"BIOCARTA_MTOR_PATHWAY","BioCarta",10,-1.54327645874674,0.910889381153944,0.214237756335245,0.789904200442152,"NS"
"BIOCARTA_NDKDYNAMIN_PATHWAY","BioCarta",11,1.56706347890772,-1.41990597468043,0.214237756335245,0.514905743095134,"NS"
"BIOCARTA_PTDINS_PATHWAY","BioCarta",10,1.3472052195735,0.875288520376812,0.357604867114954,0.789904200442152,"NS"
"BIOCARTA_ERAD_PATHWAY","BioCarta",10,1.02450998117608,0.796986306550627,0.576516877200249,0.789904200442152,"NS"
"BIOCARTA_FAS_PATHWAY","BioCarta",10,1.00341333036314,0.525311792384498,0.576516877200249,0.976971260132646,"NS"
"BIOCARTA_TNFR1_PATHWAY","BioCarta",11,1.01134818535147,0.849566383249616,0.576516877200249,0.789904200442152,"NS"
"BIOCARTA_AGR_PATHWAY","BioCarta",14,-0.857422671540473,-0.859841666448854,0.749795658886568,0.789904200442152,"NS"
"BIOCARTA_PROTEASOME_PATHWAY","BioCarta",18,-0.730803510397696,-1.27496621305414,0.845731191885038,0.563530691708658,"NS"
"GOBP_COLLAGEN_FIBRIL_ORGANIZATION","GO:BP",15,2.08759841362397,-1.1866218432769,0.0167083136922441,0.549059756556841,"Tr.(CRE) only"
"GOBP_LAMELLIPODIUM_ORGANIZATION","GO:BP",25,2.11077029265173,-1.18188596969209,0.0167083136922441,0.52613721575195,"Tr.(CRE) only"
"GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:BP",58,1.93224970890221,-1.69139484323423,0.0186925926143294,0.12037531512682,"Tr.(CRE) only"
"GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION","GO:BP",20,2.03022702292284,-1.43613229430614,0.0186925926143294,0.298700358995133,"Tr.(CRE) only"
"GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY","GO:BP",10,1.92426410838858,-1.16885501478102,0.0397948097447278,0.580421168687982,"Tr.(CRE) only"
