"pathway","database","size","NES_Cancer_vs_Healthy","NES_Training_CR","padj_Cancer_vs_Healthy","padj_Training_CR","sig_cat"
"BIOCARTA_UCALPAIN_PATHWAY","BioCarta",12,1.81097670038246,-0.599634140717005,0.0756686236138291,0.974877878576413,"NS"
"BIOCARTA_MTOR_PATHWAY","BioCarta",10,-1.68851517575034,-1.06440625592653,0.176385753699523,0.974877878576413,"NS"
"BIOCARTA_NDKDYNAMIN_PATHWAY","BioCarta",11,1.65695572966652,-0.586222808563876,0.176385753699523,0.974877878576413,"NS"
"BIOCARTA_EIF_PATHWAY","BioCarta",15,-1.30731851326855,0.724558812504246,0.462655971479501,0.974877878576413,"NS"
"BIOCARTA_PPARA_PATHWAY","BioCarta",11,-1.18963099002208,-1.374082057633,0.714482056502927,0.974877878576413,"NS"
"BIOCARTA_EIF4_PATHWAY","BioCarta",12,-1.00786316511706,1.07527363871103,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_ERAD_PATHWAY","BioCarta",10,0.562262134540001,0.969822574892777,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_FAS_PATHWAY","BioCarta",10,0.553590996457322,0.795125557072565,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_GPCR_PATHWAY","BioCarta",11,-0.805501402813227,-1.54719862859705,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_MCALPAIN_PATHWAY","BioCarta",11,0.892000484642888,-0.985994547915305,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_NFAT_PATHWAY","BioCarta",17,0.579572611346546,1.02444841082067,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_PROTEASOME_PATHWAY","BioCarta",18,-0.763498954426706,-1.31723594680051,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_PTDINS_PATHWAY","BioCarta",10,0.739254990279154,1.16431339359573,0.999749184850765,0.974877878576413,"NS"
"BIOCARTA_TNFR1_PATHWAY","BioCarta",11,0.557066086979121,1.08352728708669,0.999749184850765,0.974877878576413,"NS"
"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT","GO:BP",85,-2.94295541943799,2.33191610459776,1.77952227175339e-11,1.6435746970333e-06,"Both"
"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","GO:BP",233,-2.11891646880359,1.90263107916666,2.73977566841017e-08,9.61869624469154e-05,"Both"
"GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY","GO:BP",28,2.35808677544085,-1.22646293882757,8.6024194088827e-06,0.849703134642804,"CR vs H only"
"GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","GO:BP",26,2.21431301229469,-1.0173541151954,0.000141000503394483,1,"CR vs H only"
"GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING","GO:BP",29,2.24324464251783,-0.86791895346532,0.000161221164080884,1,"CR vs H only"
"GOBP_LAMELLIPODIUM_ORGANIZATION","GO:BP",25,2.20155566267888,1.2941189398335,0.000176900432268697,0.828122854967739,"CR vs H only"
"GOBP_REGULATION_OF_COAGULATION","GO:BP",17,2.16511616676885,-1.06267660727389,0.000405015759478334,1,"CR vs H only"
"GOBP_TRICARBOXYLIC_ACID_CYCLE","GO:BP",25,-2.34422202757629,1.47518533727413,0.000407030313773516,0.611047116527943,"CR vs H only"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","GO:BP",43,2.056264199311,-0.715023031856623,0.000427962665935988,1,"CR vs H only"
"GOBP_PLATELET_AGGREGATION","GO:BP",25,2.15097144270589,-0.935430077863357,0.000427962665935988,1,"CR vs H only"
"GOBP_CELL_KILLING","GO:BP",44,2.12726615912185,-0.895872127400403,0.000476015892502119,1,"CR vs H only"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","GO:BP",46,2.05151111970345,0.882230184018501,0.000751354502365543,1,"CR vs H only"
"GOBP_EPITHELIAL_CELL_DEVELOPMENT","GO:BP",34,2.01805712104429,-0.759734778948748,0.00154156504124915,1,"CR vs H only"
"GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY","GO:BP",41,1.99448650021535,-0.805139034554552,0.00161945066175432,1,"CR vs H only"
"GOBP_RENAL_FILTRATION","GO:BP",10,2.00966887239942,-1.00796452647681,0.00169870037705428,1,"CR vs H only"
"GOBP_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION","GO:BP",43,1.9495335234425,-1.34137927407495,0.00196751895306651,0.709940316834075,"CR vs H only"
"GOBP_FATTY_ACID_BETA_OXIDATION","GO:BP",37,-2.0314347677227,0.931439919668674,0.00247397063233226,1,"CR vs H only"
"GOBP_LIPID_MODIFICATION","GO:BP",48,-1.94109564680167,1.1194896392995,0.00408544543767775,0.958492539659312,"CR vs H only"
"GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX","GO:BP",13,-2.19489979623542,-0.651893853124338,0.00456923310124148,1,"CR vs H only"
"GOBP_REGULATION_OF_PROTEIN_MATURATION","GO:BP",14,2.01644377974722,-0.90889779467279,0.00469585923185221,1,"CR vs H only"
"GOBP_TRANSLATIONAL_INITIATION","GO:BP",58,-1.87994893038716,1.16421803121953,0.00475229203374954,0.91096863908053,"CR vs H only"
"GOBP_AMINO_ACID_CATABOLIC_PROCESS","GO:BP",44,-1.90340100409904,-0.853060677069255,0.00489202836153425,1,"CR vs H only"
"GOBP_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR","GO:BP",14,1.99467697237263,0.785203207171583,0.00565836654659899,1,"CR vs H only"
"GOBP_ENDOTHELIAL_CELL_DEVELOPMENT","GO:BP",16,1.95583355100681,-1.32813763226995,0.00614358817081482,0.814455906564271,"CR vs H only"
"GOBP_MODIFICATION_OF_POSTSYNAPTIC_STRUCTURE","GO:BP",10,1.91339299843782,-1.80832998587265,0.00625875580124776,0.280659240497454,"CR vs H only"
"GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GO:BP",27,1.9119180550652,-1.2609409209097,0.0071855391843497,0.828122854967739,"CR vs H only"
"GOBP_MEMBRANE_INVAGINATION","GO:BP",13,1.90148810508367,-1.3828209615597,0.0084487232726069,0.803285622184819,"CR vs H only"
"GOBP_ENDOTHELIUM_DEVELOPMENT","GO:BP",22,1.91736011972416,-1.56877026431049,0.00846841054904816,0.455118189354166,"CR vs H only"
"GOBP_PROTEIN_PROCESSING","GO:BP",43,1.81998485210956,0.76473142318263,0.00846841054904816,1,"CR vs H only"
"GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION","GO:BP",11,1.91929400118801,-1.21838984750026,0.00887449933824552,0.91096863908053,"CR vs H only"
"GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GO:BP",11,1.90969071517673,0.837206002790802,0.00928192492648581,1,"CR vs H only"
