method,contrast,criterion,n_up,n_down,n_total
cycloess_none,Training_CR,nominal_p05,173,168,341
cycloess_none,Training_CR,FDR_05,18,13,31
cycloess_none,Training_CR,FDR_10,42,41,83
cycloess_none,Training_CR,pi_score_05,61,30,91
cycloess_none,Cancer_vs_Healthy,nominal_p05,403,315,718
cycloess_none,Cancer_vs_Healthy,FDR_05,308,218,526
cycloess_none,Cancer_vs_Healthy,FDR_10,371,291,662
cycloess_none,Cancer_vs_Healthy,pi_score_05,87,4,91
cycloess_none,Supplement_Interaction,nominal_p05,65,67,132
cycloess_none,Supplement_Interaction,FDR_05,1,2,3
cycloess_none,Supplement_Interaction,FDR_10,2,2,4
cycloess_none,Supplement_Interaction,pi_score_05,37,54,91
vsn_none,Training_CR,nominal_p05,162,203,365
vsn_none,Training_CR,FDR_05,16,24,40
vsn_none,Training_CR,FDR_10,44,61,105
vsn_none,Training_CR,pi_score_05,51,40,91
vsn_none,Cancer_vs_Healthy,nominal_p05,353,389,742
vsn_none,Cancer_vs_Healthy,FDR_05,279,267,546
vsn_none,Cancer_vs_Healthy,FDR_10,334,355,689
vsn_none,Cancer_vs_Healthy,pi_score_05,85,6,91
vsn_none,Supplement_Interaction,nominal_p05,73,68,141
vsn_none,Supplement_Interaction,FDR_05,1,2,3
vsn_none,Supplement_Interaction,FDR_10,3,2,5
vsn_none,Supplement_Interaction,pi_score_05,42,49,91
rlr_none,Training_CR,nominal_p05,181,187,368
rlr_none,Training_CR,FDR_05,22,23,45
rlr_none,Training_CR,FDR_10,54,54,108
rlr_none,Training_CR,pi_score_05,62,29,91
rlr_none,Cancer_vs_Healthy,nominal_p05,359,377,736
rlr_none,Cancer_vs_Healthy,FDR_05,280,254,534
rlr_none,Cancer_vs_Healthy,FDR_10,333,335,668
rlr_none,Cancer_vs_Healthy,pi_score_05,84,7,91
rlr_none,Supplement_Interaction,nominal_p05,67,64,131
rlr_none,Supplement_Interaction,FDR_05,1,2,3
rlr_none,Supplement_Interaction,FDR_10,3,2,5
rlr_none,Supplement_Interaction,pi_score_05,36,55,91
cycloess_bpca,Training_CR,nominal_p05,222,160,382
cycloess_bpca,Training_CR,FDR_05,20,8,28
cycloess_bpca,Training_CR,FDR_10,62,46,108
cycloess_bpca,Training_CR,pi_score_05,70,21,91
cycloess_bpca,Cancer_vs_Healthy,nominal_p05,410,354,764
cycloess_bpca,Cancer_vs_Healthy,FDR_05,320,241,561
cycloess_bpca,Cancer_vs_Healthy,FDR_10,387,324,711
cycloess_bpca,Cancer_vs_Healthy,pi_score_05,86,5,91
cycloess_bpca,Supplement_Interaction,nominal_p05,45,71,116
cycloess_bpca,Supplement_Interaction,FDR_05,1,1,2
cycloess_bpca,Supplement_Interaction,FDR_10,3,1,4
cycloess_bpca,Supplement_Interaction,pi_score_05,33,58,91
vsn_bpca,Training_CR,nominal_p05,205,204,409
vsn_bpca,Training_CR,FDR_05,21,23,44
vsn_bpca,Training_CR,FDR_10,57,65,122
vsn_bpca,Training_CR,pi_score_05,62,29,91
vsn_bpca,Cancer_vs_Healthy,nominal_p05,361,423,784
vsn_bpca,Cancer_vs_Healthy,FDR_05,291,300,591
vsn_bpca,Cancer_vs_Healthy,FDR_10,344,396,740
vsn_bpca,Cancer_vs_Healthy,pi_score_05,84,7,91
vsn_bpca,Supplement_Interaction,nominal_p05,62,65,127
vsn_bpca,Supplement_Interaction,FDR_05,2,1,3
vsn_bpca,Supplement_Interaction,FDR_10,3,1,4
vsn_bpca,Supplement_Interaction,pi_score_05,39,52,91
rlr_bpca,Training_CR,nominal_p05,229,181,410
rlr_bpca,Training_CR,FDR_05,44,30,74
rlr_bpca,Training_CR,FDR_10,96,68,164
rlr_bpca,Training_CR,pi_score_05,68,23,91
rlr_bpca,Cancer_vs_Healthy,nominal_p05,368,400,768
rlr_bpca,Cancer_vs_Healthy,FDR_05,286,270,556
rlr_bpca,Cancer_vs_Healthy,FDR_10,348,374,722
rlr_bpca,Cancer_vs_Healthy,pi_score_05,83,8,91
rlr_bpca,Supplement_Interaction,nominal_p05,46,71,117
rlr_bpca,Supplement_Interaction,FDR_05,2,1,3
rlr_bpca,Supplement_Interaction,FDR_10,3,1,4
rlr_bpca,Supplement_Interaction,pi_score_05,31,60,91
cycloess_mix_bpca_MinDet,Training_CR,nominal_p05,190,152,342
cycloess_mix_bpca_MinDet,Training_CR,FDR_05,10,5,15
cycloess_mix_bpca_MinDet,Training_CR,FDR_10,44,28,72
cycloess_mix_bpca_MinDet,Training_CR,pi_score_05,67,24,91
cycloess_mix_bpca_MinDet,Cancer_vs_Healthy,nominal_p05,388,354,742
cycloess_mix_bpca_MinDet,Cancer_vs_Healthy,FDR_05,305,241,546
cycloess_mix_bpca_MinDet,Cancer_vs_Healthy,FDR_10,369,332,701
cycloess_mix_bpca_MinDet,Cancer_vs_Healthy,pi_score_05,86,5,91
cycloess_mix_bpca_MinDet,Supplement_Interaction,nominal_p05,49,58,107
cycloess_mix_bpca_MinDet,Supplement_Interaction,FDR_05,2,0,2
cycloess_mix_bpca_MinDet,Supplement_Interaction,FDR_10,3,1,4
cycloess_mix_bpca_MinDet,Supplement_Interaction,pi_score_05,37,54,91
vsn_mix_bpca_MinDet,Training_CR,nominal_p05,177,199,376
vsn_mix_bpca_MinDet,Training_CR,FDR_05,17,17,34
vsn_mix_bpca_MinDet,Training_CR,FDR_10,48,53,101
vsn_mix_bpca_MinDet,Training_CR,pi_score_05,60,31,91
vsn_mix_bpca_MinDet,Cancer_vs_Healthy,nominal_p05,345,422,767
vsn_mix_bpca_MinDet,Cancer_vs_Healthy,FDR_05,278,301,579
vsn_mix_bpca_MinDet,Cancer_vs_Healthy,FDR_10,330,391,721
vsn_mix_bpca_MinDet,Cancer_vs_Healthy,pi_score_05,84,7,91
vsn_mix_bpca_MinDet,Supplement_Interaction,nominal_p05,63,56,119
vsn_mix_bpca_MinDet,Supplement_Interaction,FDR_05,2,0,2
vsn_mix_bpca_MinDet,Supplement_Interaction,FDR_10,3,1,4
vsn_mix_bpca_MinDet,Supplement_Interaction,pi_score_05,45,46,91
rlr_mix_bpca_MinDet,Training_CR,nominal_p05,197,184,381
rlr_mix_bpca_MinDet,Training_CR,FDR_05,15,10,25
rlr_mix_bpca_MinDet,Training_CR,FDR_10,60,54,114
rlr_mix_bpca_MinDet,Training_CR,pi_score_05,65,26,91
rlr_mix_bpca_MinDet,Cancer_vs_Healthy,nominal_p05,353,398,751
rlr_mix_bpca_MinDet,Cancer_vs_Healthy,FDR_05,275,269,544
rlr_mix_bpca_MinDet,Cancer_vs_Healthy,FDR_10,332,363,695
rlr_mix_bpca_MinDet,Cancer_vs_Healthy,pi_score_05,84,7,91
