method,norm,imputation,mean_spearman,rho_Training,rho_CvH,rho_Supplement,n_DEP_Training,n_DEP_CvH,n_DEP_Supplement,n_CvH_nominal_p05,n_CvH_FDR_10,n_CvH_pi_score
rlr_bpca,rlr,bpca,0.955,0.9603,0.983,0.9217,74,556,3,768,722,91
cycloess_bpca,cycloess,bpca,0.9521,0.9582,0.9809,0.917,28,561,2,764,711,91
vsn_bpca,vsn,bpca,0.9498,0.9539,0.9823,0.9133,44,591,3,784,740,91
cycloess_mix_bpca_MinDet,cycloess,mix_bpca_MinDet,0.9494,0.9553,0.9795,0.9133,15,546,2,742,701,91
rlr_mix_bpca_MinDet,rlr,mix_bpca_MinDet,0.949,0.9534,0.9814,0.912,25,544,2,751,695,91
rlr_none,rlr,none,0.948,0.9551,0.983,0.9058,45,534,3,736,668,91
vsn_mix_bpca_MinDet,vsn,mix_bpca_MinDet,0.9476,0.9555,0.9825,0.9047,34,579,2,767,721,91
cycloess_none,cycloess,none,0.9461,0.9511,0.9821,0.905,31,526,3,718,662,91
vsn_none,vsn,none,0.9451,0.9516,0.9819,0.9019,40,546,3,742,689,91
rlr_mix_bpca_MinProb,rlr,mix_bpca_MinProb,0.9016,0.904,0.9576,0.8432,10,453,1,671,583,91
vsn_mix_bpca_MinProb,vsn,mix_bpca_MinProb,0.8976,0.9078,0.9601,0.8248,23,473,1,680,603,91
cycloess_mix_bpca_MinProb,cycloess,mix_bpca_MinProb,0.8917,0.8993,0.9575,0.8183,5,443,0,648,576,91
