k,concordance,method,contrast
1,1,cycloess_none,Training_CR
2,0.5,cycloess_none,Training_CR
3,0.3333333333333333,cycloess_none,Training_CR
4,0.25,cycloess_none,Training_CR
5,0.4,cycloess_none,Training_CR
6,0.5,cycloess_none,Training_CR
7,0.42857142857142855,cycloess_none,Training_CR
8,0.5,cycloess_none,Training_CR
9,0.5555555555555556,cycloess_none,Training_CR
10,0.6,cycloess_none,Training_CR
11,0.6363636363636364,cycloess_none,Training_CR
12,0.6666666666666666,cycloess_none,Training_CR
13,0.6923076923076923,cycloess_none,Training_CR
14,0.7142857142857143,cycloess_none,Training_CR
15,0.6666666666666666,cycloess_none,Training_CR
16,0.6875,cycloess_none,Training_CR
17,0.6470588235294118,cycloess_none,Training_CR
18,0.6111111111111112,cycloess_none,Training_CR
19,0.631578947368421,cycloess_none,Training_CR
20,0.7,cycloess_none,Training_CR
21,0.6666666666666666,cycloess_none,Training_CR
22,0.6363636363636364,cycloess_none,Training_CR
23,0.6521739130434783,cycloess_none,Training_CR
24,0.6666666666666666,cycloess_none,Training_CR
25,0.64,cycloess_none,Training_CR
26,0.6923076923076923,cycloess_none,Training_CR
27,0.7037037037037037,cycloess_none,Training_CR
28,0.7142857142857143,cycloess_none,Training_CR
29,0.7586206896551724,cycloess_none,Training_CR
30,0.7666666666666667,cycloess_none,Training_CR
31,0.7419354838709677,cycloess_none,Training_CR
32,0.71875,cycloess_none,Training_CR
33,0.7272727272727273,cycloess_none,Training_CR
34,0.7352941176470589,cycloess_none,Training_CR
35,0.7142857142857143,cycloess_none,Training_CR
36,0.6944444444444444,cycloess_none,Training_CR
37,0.6756756756756757,cycloess_none,Training_CR
38,0.6842105263157895,cycloess_none,Training_CR
39,0.6666666666666666,cycloess_none,Training_CR
40,0.675,cycloess_none,Training_CR
41,0.6585365853658537,cycloess_none,Training_CR
42,0.6666666666666666,cycloess_none,Training_CR
43,0.6511627906976745,cycloess_none,Training_CR
44,0.6363636363636364,cycloess_none,Training_CR
45,0.6222222222222222,cycloess_none,Training_CR
46,0.6304347826086957,cycloess_none,Training_CR
47,0.6170212765957447,cycloess_none,Training_CR
48,0.625,cycloess_none,Training_CR
49,0.6122448979591837,cycloess_none,Training_CR
50,0.62,cycloess_none,Training_CR
51,0.6470588235294118,cycloess_none,Training_CR
52,0.6538461538461539,cycloess_none,Training_CR
53,0.660377358490566,cycloess_none,Training_CR
54,0.6851851851851852,cycloess_none,Training_CR
55,0.6727272727272727,cycloess_none,Training_CR
56,0.6785714285714286,cycloess_none,Training_CR
57,0.6842105263157895,cycloess_none,Training_CR
58,0.6896551724137931,cycloess_none,Training_CR
59,0.6949152542372882,cycloess_none,Training_CR
60,0.7166666666666667,cycloess_none,Training_CR
61,0.7213114754098361,cycloess_none,Training_CR
62,0.7258064516129032,cycloess_none,Training_CR
63,0.7142857142857143,cycloess_none,Training_CR
64,0.71875,cycloess_none,Training_CR
65,0.7230769230769231,cycloess_none,Training_CR
66,0.7272727272727273,cycloess_none,Training_CR
67,0.746268656716418,cycloess_none,Training_CR
68,0.7352941176470589,cycloess_none,Training_CR
69,0.7246376811594203,cycloess_none,Training_CR
70,0.7285714285714285,cycloess_none,Training_CR
71,0.7464788732394366,cycloess_none,Training_CR
72,0.75,cycloess_none,Training_CR
73,0.7534246575342466,cycloess_none,Training_CR
74,0.7567567567567568,cycloess_none,Training_CR
75,0.76,cycloess_none,Training_CR
76,0.7763157894736842,cycloess_none,Training_CR
77,0.7792207792207793,cycloess_none,Training_CR
78,0.782051282051282,cycloess_none,Training_CR
79,0.7721518987341772,cycloess_none,Training_CR
80,0.7625,cycloess_none,Training_CR
81,0.7654320987654321,cycloess_none,Training_CR
82,0.7682926829268293,cycloess_none,Training_CR
83,0.7710843373493976,cycloess_none,Training_CR
84,0.7738095238095238,cycloess_none,Training_CR
85,0.7647058823529411,cycloess_none,Training_CR
86,0.7674418604651163,cycloess_none,Training_CR
87,0.7701149425287356,cycloess_none,Training_CR
88,0.7613636363636364,cycloess_none,Training_CR
89,0.7640449438202247,cycloess_none,Training_CR
90,0.7777777777777778,cycloess_none,Training_CR
91,0.7692307692307693,cycloess_none,Training_CR
92,0.7717391304347826,cycloess_none,Training_CR
93,0.7741935483870968,cycloess_none,Training_CR
