module,contrast,model,n,r_equiv,estimate,ci_lo,ci_hi,p_raw,p_bh
MEturquoise,Cancer_vs_Healthy,CRvH,39,0.5659,0.21849,0.104,0.333,4.811177537155868e-4,0.00481117753715586
MEturquoise,Training_CR,CRvH,39,0.0206,0.00338,-0.0945,0.1013,0.941701468495352,0.941701468495352
MEyellow,Cancer_vs_Healthy,CRvH,39,-0.0773,-0.03114,-0.1735,0.1112,0.6591234841054343,0.9352950498976268
MEyellow,Training_CR,CRvH,39,0.3023,0.08008,-0.0568,0.217,0.23198157168902256,0.4639631433780451
MEblue,Cancer_vs_Healthy,CRvH,39,-0.4864,-0.18867,-0.3087,-0.0686,0.0030519645724716,0.015259822862358
MEblue,Training_CR,CRvH,39,0.0197,0.00417,-0.1108,0.1191,0.939548291706216,0.941701468495352
MEbrown,Cancer_vs_Healthy,CRvH,39,-0.4286,-0.16074,-0.2881,-0.0334,0.01511142609277495,0.05037142030924986
MEbrown,Training_CR,CRvH,39,0.2294,0.03158,-0.0565,0.1196,0.44709913474804497,0.745165224580075
MEturquoise,Baseline_Supplement,CR,28,-0.2634,-0.11159,-0.2888,0.0656,0.2053979761642497,0.6138281575316468
MEturquoise,Training_CRE,CR,28,0.278,0.06566,-0.0813,0.2126,0.34794117198921903,0.6326203127076709
MEturquoise,Training_PLA,CR,28,-0.2241,-0.05762,-0.2167,0.1014,0.444683074162751,0.6345245806871471
MEturquoise,Supplement_Interaction,CR,28,0.3427,0.12328,-0.0933,0.3398,0.23772719166413175,0.6138281575316468
MEyellow,Baseline_Supplement,CR,28,0.0187,0.00968,-0.2081,0.2275,0.9276496748549904,0.9276496748549904
MEyellow,Training_CRE,CR,28,0.0706,0.02568,-0.1928,0.2441,0.8033583255401321,0.8456403426738232
MEyellow,Training_PLA,CR,28,0.3203,0.1347,-0.0999,0.3693,0.23735666135861003,0.6138281575316468
MEyellow,Supplement_Interaction,CR,28,-0.1983,-0.10902,-0.4295,0.2115,0.47589343551536034,0.6345245806871471
MEblue,Baseline_Supplement,CR,28,0.3089,0.14248,-0.0425,0.3274,0.12488877428895204,0.6138281575316468
MEblue,Training_CRE,CR,28,-0.2855,-0.08971,-0.2721,0.0927,0.3069140787658234,0.6138281575316468
MEblue,Training_PLA,CR,28,0.2831,0.09762,-0.0985,0.2937,0.3021313359104486,0.6138281575316468
MEblue,Supplement_Interaction,CR,28,-0.3863,-0.18733,-0.4551,0.0805,0.1546860574334117,0.6138281575316468
MEbrown,Baseline_Supplement,CR,28,0.2369,0.10055,-0.088,0.2891,0.2797111324042724,0.6138281575316468
MEbrown,Training_CRE,CR,28,-0.0843,-0.01569,-0.1426,0.1113,0.7896744471027654,0.8456403426738232
MEbrown,Training_PLA,CR,28,0.3581,0.07849,-0.0596,0.2166,0.236025568759729,0.6138281575316468
MEbrown,Supplement_Interaction,CR,28,-0.3229,-0.09418,-0.2818,0.0934,0.2914247841978632,0.6138281575316468
