unmerged_color,merged_color
0,grey
0,grey
1,turquoise
1,turquoise
0,grey
0,grey
2,blue
5,yellow
1,turquoise
2,blue
1,turquoise
4,turquoise
0,grey
3,brown
0,grey
1,turquoise
2,blue
1,turquoise
1,turquoise
5,yellow
2,blue
1,turquoise
1,turquoise
5,yellow
0,grey
1,turquoise
2,blue
2,blue
4,turquoise
0,grey
5,yellow
2,blue
2,blue
1,turquoise
3,brown
5,yellow
2,blue
3,brown
3,brown
3,brown
5,yellow
2,blue
0,grey
2,blue
1,turquoise
2,blue
1,turquoise
3,brown
5,yellow
2,blue
1,turquoise
3,brown
3,brown
1,turquoise
2,blue
1,turquoise
2,blue
0,grey
5,yellow
1,turquoise
3,brown
1,turquoise
0,grey
3,brown
5,yellow
3,brown
1,turquoise
2,blue
3,brown
5,yellow
1,turquoise
1,turquoise
1,turquoise
1,turquoise
3,brown
3,brown
1,turquoise
3,brown
3,brown
1,turquoise
4,turquoise
3,brown
1,turquoise
2,blue
5,yellow
1,turquoise
0,grey
5,yellow
5,yellow
1,turquoise
2,blue
4,turquoise
2,blue
1,turquoise
2,blue
1,turquoise
5,yellow
1,turquoise
1,turquoise
2,blue
3,brown
2,blue
3,brown
3,brown
4,turquoise
1,turquoise
3,brown
1,turquoise
3,brown
3,brown
1,turquoise
1,turquoise
2,blue
1,turquoise
2,blue
1,turquoise
2,blue
3,brown
5,yellow
2,blue
1,turquoise
3,brown
5,yellow
1,turquoise
0,grey
3,brown
3,brown
1,turquoise
3,brown
2,blue
3,brown
0,grey
5,yellow
1,turquoise
1,turquoise
3,brown
1,turquoise
0,grey
5,yellow
1,turquoise
2,blue
3,brown
0,grey
3,brown
1,turquoise
1,turquoise
2,blue
0,grey
2,blue
5,yellow
1,turquoise
1,turquoise
2,blue
1,turquoise
2,blue
1,turquoise
3,brown
1,turquoise
3,brown
3,brown
2,blue
1,turquoise
3,brown
5,yellow
2,blue
1,turquoise
2,blue
1,turquoise
5,yellow
3,brown
5,yellow
1,turquoise
2,blue
3,brown
3,brown
1,turquoise
2,blue
3,brown
4,turquoise
1,turquoise
3,brown
0,grey
3,brown
2,blue
3,brown
3,brown
3,brown
1,turquoise
1,turquoise
4,turquoise
1,turquoise
3,brown
2,blue
2,blue
1,turquoise
3,brown
3,brown
2,blue
0,grey
4,turquoise
3,brown
1,turquoise
2,blue
0,grey
2,blue
1,turquoise
3,brown
1,turquoise
1,turquoise
2,blue
3,brown
5,yellow
3,brown
3,brown
3,brown
2,blue
2,blue
2,blue
1,turquoise
1,turquoise
1,turquoise
1,turquoise
2,blue
1,turquoise
1,turquoise
5,yellow
4,turquoise
3,brown
1,turquoise
1,turquoise
1,turquoise
1,turquoise
1,turquoise
0,grey
3,brown
2,blue
1,turquoise
2,blue
1,turquoise
1,turquoise
0,grey
1,turquoise
2,blue
3,brown
4,turquoise
3,brown
1,turquoise
1,turquoise
1,turquoise
3,brown
5,yellow
3,brown
4,turquoise
3,brown
4,turquoise
2,blue
1,turquoise
3,brown
3,brown
3,brown
3,brown
3,brown
3,brown
3,brown
2,blue
0,grey
1,turquoise
3,brown
1,turquoise
1,turquoise
4,turquoise
2,blue
3,brown
1,turquoise
3,brown
1,turquoise
3,brown
1,turquoise
2,blue
1,turquoise
2,blue
1,turquoise
1,turquoise
3,brown
1,turquoise
1,turquoise
2,blue
3,brown
1,turquoise
4,turquoise
4,turquoise
1,turquoise
1,turquoise
1,turquoise
0,grey
3,brown
1,turquoise
1,turquoise
3,brown
1,turquoise
3,brown
1,turquoise
2,blue
1,turquoise
1,turquoise
1,turquoise
3,brown
1,turquoise
1,turquoise
0,grey
1,turquoise
3,brown
1,turquoise
0,grey
3,brown
1,turquoise
3,brown
3,brown
2,blue
1,turquoise
0,grey
3,brown
2,blue
2,blue
2,blue
1,turquoise
1,turquoise
2,blue
3,brown
3,brown
2,blue
2,blue
4,turquoise
0,grey
3,brown
2,blue
2,blue
4,turquoise
1,turquoise
3,brown
1,turquoise
3,brown
1,turquoise
0,grey
1,turquoise
0,grey
2,blue
2,blue
1,turquoise
1,turquoise
3,brown
0,grey
1,turquoise
1,turquoise
4,turquoise
2,blue
5,yellow
1,turquoise
4,turquoise
1,turquoise
3,brown
3,brown
3,brown
2,blue
3,brown
3,brown
1,turquoise
5,yellow
2,blue
1,turquoise
5,yellow
1,turquoise
3,brown
2,blue
3,brown
