uniprot_id,module,gene,kME,GS,functional_group,GS_pheno
P15090,turquoise,FABP4,0.9566873821761139,0.4939633733370674,Other,Cancer Status
P62937,turquoise,PPIA,0.9236393623339024,0.5130684935592061,Wound Healing,Cancer Status
P08670,turquoise,VIM,0.9596030185095986,0.5982851135744587,Other,Cancer Status
P07355,turquoise,ANXA2,0.9701088348906415,0.55680475797628,Wound Healing,Cancer Status
P0DP23,turquoise,CALM1,0.9077214031023395,0.38642925800042627,Platelet Activation Signaling An...,Cancer Status
P26447,turquoise,S100A4,0.960941480116491,0.657578535099093,Other,Cancer Status
P08758,turquoise,ANXA5,0.9427765691705943,0.4650244549820294,Wound Healing,Cancer Status
O60240,turquoise,PLIN1,0.9436140466670065,0.606592369821957,Other,Cancer Status
P04083,turquoise,ANXA1,0.9672125333876583,0.6238432772654955,Wound Healing,Cancer Status
P51884,turquoise,LUM,0.9535229086609609,0.6125538688221233,Other,Cancer Status
Q09666,turquoise,AHNAK,0.9660522113875196,0.5004964380727309,Wound Healing,Cancer Status
P06396,turquoise,GSN,0.9577243639074725,0.6050783456314051,Actin Filament Organization,Cancer Status
Q6NZI2,turquoise,CAVIN1,0.9506204085778468,0.4862209275254877,Other,Cancer Status
P13796,turquoise,LCP1,0.9652221677581491,0.5778931547132056,Wound Healing,Cancer Status
Q9NZN4,turquoise,EHD2,0.931004006088246,0.5367627031685868,Other,Cancer Status
Q15847,turquoise,ADIRF,0.9312032897990363,0.47224377911977766,Other,Cancer Status
Q03135,turquoise,CAV1,0.9482830715673123,0.5002220007892654,Wound Healing,Cancer Status
Q04828,turquoise,AKR1C1,0.9382886283378208,0.5724246889382436,Other,Cancer Status
P14625,turquoise,HSP90B1,0.9427818488756083,0.43499786813457403,Actin Filament Organization,Cancer Status
P63104,turquoise,YWHAZ,0.9265720563671204,0.42447057258671766,Platelet Activation Signaling An...,Cancer Status
P21333,turquoise,FLNA,0.9078233537867336,0.6376045003418243,Wound Healing,Cancer Status
P26038,turquoise,MSN,0.9737099251066859,0.5732524885651503,Other,Cancer Status
Q16853,turquoise,AOC3,0.9184589593539012,0.5904161862499108,Other,Cancer Status
Q9H4M9,turquoise,EHD1,0.9483602028415107,0.5173402402117867,Other,Cancer Status
P61224,turquoise,RAP1B,0.9681498438106946,0.5522381857980792,Platelet Activation Signaling An...,Cancer Status
P60903,turquoise,S100A10,0.9358836642839711,0.5593883096493873,Wound Healing,Cancer Status
P52565,turquoise,ARHGDIA,0.9394204212496068,0.4563456154953174,Other,Cancer Status
P84077,turquoise,ARF1,0.9320765028233147,0.5718507532955154,Actin Filament Organization,Cancer Status
P35579,turquoise,MYH9,0.9297492208175966,0.5323738044655542,Wound Healing,Cancer Status
P31949,turquoise,S100A11,0.9078444405743866,0.6537346258618338,Other,Cancer Status
P01034,turquoise,CST3,0.9270780672626899,0.5327762650051812,Other,Cancer Status
Q16555,turquoise,DPYSL2,0.9111228347249583,0.5385011705086381,Other,Cancer Status
P37802,turquoise,TAGLN2,0.9636229799686662,0.6702846854238754,Platelet Activation Signaling An...,Cancer Status
P30101,turquoise,PDIA3,0.9387956513802199,0.5550576217152462,Wound Healing,Cancer Status
P29401,turquoise,TKT,0.9633401793200453,0.637824470976715,Other,Cancer Status
P04899,turquoise,GNAI2,0.954003850923569,0.5578545504998496,Platelet Activation Signaling An...,Cancer Status
Q13813,turquoise,SPTAN1,0.9536216765330217,0.6011218541758321,Actin Filament Organization,Cancer Status
Q9Y490,turquoise,TLN1,0.9706771537631301,0.620776848583128,Wound Healing,Cancer Status
P51636,turquoise,CAV2,0.9512461105104004,0.4884958613018064,Positive Regulation Of Mapk Cascade,Cancer Status
Q99536,turquoise,VAT1,0.9406628649086557,0.6133761917533845,Other,Cancer Status
Q01518,turquoise,CAP1,0.9704813474360625,0.6318472696533918,Platelet Activation Signaling An...,Cancer Status
P60033,turquoise,CD81,0.914169457704745,0.5309841554213763,Other,Cancer Status
