module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
turquoise,P15090,FABP4,0.9567,0.9177,0.9774,7.004816213125065e-21,Cancer Status,0.494,0.207,0.7027,0.0016224698756986823,38
turquoise,P62937,PPIA,0.9236,0.857,0.9599,1.442783510640408e-16,Cancer Status,0.5131,0.2313,0.7154,9.879964060624416e-4,38
turquoise,P08670,VIM,0.9596,0.9231,0.979,2.0464945781741758e-21,Cancer Status,0.5983,0.3445,0.7706,7.270534582312962e-5,38
turquoise,P07355,ANXA2,0.9701,0.9428,0.9845,9.85906038256496e-24,Cancer Status,0.5568,0.2885,0.744,2.8273904980378746e-4,38
turquoise,P0DP23,CALM1,0.9077,0.8284,0.9513,3.8150232782775305e-15,Cancer Status,0.3864,0.0762,0.6285,0.01655442343096102,38
turquoise,P26447,S100A4,0.9609,0.9256,0.9797,1.1281858736289022e-21,Cancer Status,0.6576,0.4278,0.8075,7.269742818331246e-6,38
turquoise,P08758,ANXA5,0.9428,0.8919,0.9701,9.394796708503174e-19,Cancer Status,0.465,0.1707,0.6832,0.0032646231810120885,38
turquoise,O60240,PLIN1,0.9436,0.8934,0.9705,7.255042687022506e-19,Cancer Status,0.6066,0.3559,0.7758,5.4134397883656605e-5,38
turquoise,P04083,ANXA1,0.9672,0.9374,0.983,5.087814791746321e-23,Cancer Status,0.6238,0.3799,0.7866,2.855475448083404e-5,38
turquoise,P51884,LUM,0.9535,0.9118,0.9758,2.4285212085293148e-20,Cancer Status,0.6126,0.3642,0.7796,4.3582959338495407e-5,38
turquoise,Q09666,AHNAK,0.9661,0.9352,0.9824,9.424895776542811e-23,Cancer Status,0.5005,0.2153,0.7071,0.0013737507435461968,38
turquoise,P06396,GSN,0.9577,0.9196,0.978,4.567280843657712e-21,Cancer Status,0.6051,0.3538,0.7749,5.7159118455959844e-5,38
turquoise,Q6NZI2,CAVIN1,0.9506,0.9064,0.9742,7.055381510617708e-20,Cancer Status,0.4862,0.1972,0.6975,0.0019679143599047994,38
turquoise,P13796,LCP1,0.9652,0.9336,0.9819,1.4459932238173088e-22,Cancer Status,0.5779,0.3167,0.7576,1.4502532746898982e-4,38
turquoise,Q9NZN4,EHD2,0.931,0.8704,0.9638,2.471771348480243e-17,Cancer Status,0.5368,0.262,0.731,5.123310111232955e-4,38
turquoise,Q15847,ADIRF,0.9312,0.8707,0.9639,2.350260102314933e-17,Cancer Status,0.4722,0.1797,0.6881,0.002757486642650137,38
turquoise,Q03135,CAV1,0.9483,0.9021,0.973,1.5910707288813934e-19,Cancer Status,0.5002,0.2149,0.7069,0.0013834787237181766,38
turquoise,Q04828,AKR1C1,0.9383,0.8837,0.9677,3.523729200978961e-18,Cancer Status,0.5724,0.3094,0.7541,1.7319057102866824e-4,38
turquoise,P14625,HSP90B1,0.9428,0.8919,0.9701,9.379615735686244e-19,Cancer Status,0.435,0.1339,0.6625,0.0063466933039682,38
turquoise,P63104,YWHAZ,0.9266,0.8623,0.9615,7.305819509987269e-17,Cancer Status,0.4245,0.1212,0.6552,0.007904700275247208,38
turquoise,P21333,FLNA,0.9078,0.8286,0.9514,3.743068451334092e-15,Cancer Status,0.6376,0.3993,0.7952,1.6668197781753215e-5,38
turquoise,P26038,MSN,0.9737,0.9496,0.9864,1.0071008368017542e-24,Cancer Status,0.5733,0.3105,0.7546,1.68633298131472e-4,38
turquoise,Q16853,AOC3,0.9185,0.8477,0.9571,4.503349462218453e-16,Cancer Status,0.5904,0.3337,0.7656,9.542752007633509e-5,38
turquoise,Q9H4M9,EHD1,0.9484,0.9022,0.973,1.5498802892714606e-19,Cancer Status,0.5173,0.2368,0.7182,8.807577926418589e-4,38
turquoise,P61224,RAP1B,0.9681,0.9391,0.9835,3.0417573134768027e-23,Cancer Status,0.5522,0.2824,0.7411,3.2482239825805045e-4,38
turquoise,P60903,S100A10,0.9359,0.8793,0.9664,6.873989452446364e-18,Cancer Status,0.5594,0.2919,0.7457,2.6115945083916056e-4,38
turquoise,P52565,ARHGDIA,0.9394,0.8857,0.9683,2.549012235290685e-18,Cancer Status,0.4563,0.16,0.6772,0.00398038646219258,38
turquoise,P84077,ARF1,0.9321,0.8723,0.9644,1.8810900343165238e-17,Cancer Status,0.5719,0.3086,0.7537,1.7641498912097096e-4,38
turquoise,P35579,MYH9,0.9297,0.8681,0.9632,3.3835182959697017e-17,Cancer Status,0.5324,0.2563,0.7281,5.807134740649679e-4,38
turquoise,P31949,S100A11,0.9078,0.8287,0.9514,3.728345774915121e-15,Cancer Status,0.6537,0.4223,0.8052,8.568632902291441e-6,38
