module,trait,model,cor,pval,pval_raw,stars
MEturquoise,Cancer_vs_Healthy,CRvH,0.5659,0.00481117753715586,4.811177537155868e-4,**
MEblue,Cancer_vs_Healthy,CRvH,-0.4864,0.015259822862358,0.0030519645724716,*
MEbrown,Cancer_vs_Healthy,CRvH,-0.4286,0.05037142030924986,0.01511142609277495,ns
MEyellow,Cancer_vs_Healthy,CRvH,-0.0773,0.9352950498976268,0.6591234841054343,ns
MEturquoise,Training_CR,CRvH,0.0206,0.941701468495352,0.941701468495352,ns
MEblue,Training_CR,CRvH,0.0197,0.941701468495352,0.939548291706216,ns
MEbrown,Training_CR,CRvH,0.2294,0.745165224580075,0.44709913474804497,ns
MEyellow,Training_CR,CRvH,0.3023,0.4639631433780451,0.23198157168902256,ns
MEturquoise,Baseline_Supplement,CR,-0.2634,0.6138281575316468,0.2053979761642497,ns
MEblue,Baseline_Supplement,CR,0.3089,0.6138281575316468,0.12488877428895204,ns
MEbrown,Baseline_Supplement,CR,0.2369,0.6138281575316468,0.2797111324042724,ns
MEyellow,Baseline_Supplement,CR,0.0187,0.9276496748549904,0.9276496748549904,ns
MEturquoise,Training_CRE,CR,0.278,0.6326203127076709,0.34794117198921903,ns
MEblue,Training_CRE,CR,-0.2855,0.6138281575316468,0.3069140787658234,ns
MEbrown,Training_CRE,CR,-0.0843,0.8456403426738232,0.7896744471027654,ns
MEyellow,Training_CRE,CR,0.0706,0.8456403426738232,0.8033583255401321,ns
MEturquoise,Training_PLA,CR,-0.2241,0.6345245806871471,0.444683074162751,ns
MEblue,Training_PLA,CR,0.2831,0.6138281575316468,0.3021313359104486,ns
MEbrown,Training_PLA,CR,0.3581,0.6138281575316468,0.236025568759729,ns
MEyellow,Training_PLA,CR,0.3203,0.6138281575316468,0.23735666135861003,ns
MEturquoise,Supplement_Interaction,CR,0.3427,0.6138281575316468,0.23772719166413175,ns
MEblue,Supplement_Interaction,CR,-0.3863,0.6138281575316468,0.1546860574334117,ns
MEbrown,Supplement_Interaction,CR,-0.3229,0.6138281575316468,0.2914247841978632,ns
MEyellow,Supplement_Interaction,CR,-0.1983,0.6345245806871471,0.47589343551536034,ns
