gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
GNPDA1,-0.1133,0.30620000000000003,0.923226,0.621023,NS
MAP4,0.1176,0.2943,0.923416,0.632869,NS
SIRT3,-0.1636,0.2093,0.924171,0.725953,NS
COX6C,-0.1394,0.2453,0.924293,0.686613,NS
CHCHD4,-0.145,0.2349,0.924556,0.697135,NS
KYAT1,-0.1441,0.2361,0.924654,0.695966,NS
PGM3,0.1219,0.2776,0.925012,0.651915,NS
PCMT1,0.0993,0.3403,0.925096,0.59229,NS
IGBP1,0.1279,0.2617,0.925812,0.668872,NS
RAD23B,0.0963,0.3465,0.926024,0.588011,NS
TNNC2,0.2004,0.1659,0.926317,0.778844,NS
ENSA,0.1452,0.2289,0.926344,0.701747,NS
RPL18,0.1073,0.3084,0.926654,0.618883,NS
RAB9A,0.1558,0.2094,0.927655,0.725953,NS
LSM8,-0.1402,0.2315,0.927981,0.70031,NS
EEF1B2,-0.1058,0.3063,0.928117,0.621023,NS
FGGY,0.1481,0.2183,0.928273,0.715573,NS
LRRC57,-0.1767,0.1818,0.928698,0.758127,NS
CARNS1,0.1638,0.196,0.928732,0.744651,NS
PDCD6IP,0.0869,0.3691,0.928812,0.566657,NS
CPNE1,0.1171,0.2734,0.928906,0.655852,NS
NT5C2,-0.1468,0.2147,0.930002,0.72018,NS
RBM38,-0.1343,0.2339,0.93025,0.697786,NS
PPP2CB,0.1134,0.2736,0.931043,0.655852,NS
RPS6,-0.1107,0.2801,0.931073,0.649525,NS
FDX1,0.1585,0.1957,0.931073,0.744758,NS
MTDH,0.1053,0.2934,0.931337,0.633366,NS
NUBPL,-0.1447,0.2104,0.932267,0.724921,NS
NSFL1C,-0.0939,0.3234,0.932432,0.605809,NS
HECTD1,-0.1532,0.198,0.932535,0.741866,NS
TPM2,-0.1972,0.1522,0.933217,0.794063,NS
TNNT1,-0.203,0.1477,0.933281,0.799772,NS
EML2,-0.1302,0.2299,0.933384,0.70141,NS
TIAL1,-0.1212,0.2468,0.933458,0.68596,NS
ILF2,-0.1242,0.2388,0.933972,0.693671,NS
HLA-DRB1,0.1758,0.1684,0.934137,0.775824,NS
LUC7L2,0.1112,0.2639,0.934629,0.666052,NS
HSPB8,-0.1534,0.1908,0.93483,0.749767,NS
TACC2,-0.1081,0.2689,0.935261,0.66006,NS
TFRC,0.1441,0.1978,0.936452,0.741866,NS
CCT4,0.0846,0.3299,0.93773,0.600688,NS
PRDX4,0.1001,0.2785,0.93784,0.651173,NS
UBFD1,0.1424,0.1955,0.937908,0.74478,NS
UQCRFS1,-0.1244,0.2234,0.937982,0.708534,NS
SLC9A3R2,0.1734,0.16,0.938132,0.785468,NS
SRSF7,0.1529,0.1798,0.938643,0.760465,NS
MATR3,0.1552,0.1767,0.938804,0.763478,NS
GRPEL1,-0.1425,0.1922,0.938882,0.748499,NS
PLCL1,0.1455,0.1878,0.939024,0.752068,NS
TPPP,-0.1277,0.2115,0.939707,0.724126,NS
FBL,-0.1835,0.1472,0.939708,0.800382,NS
RPL13,0.1309,0.2048,0.940131,0.732778,NS
SCRN2,0.1168,0.2277,0.940595,0.703255,NS
ATP5IF1,0.2636,0.1003,0.940912,0.864389,NS
COQ10B,-0.1628,0.1625,0.940917,0.782922,NS
