uniprot_id,module_color,module_num,gene
P02144,blue,2,MB
P06732,blue,2,CKM
P04075,yellow,4,ALDOA
P04406,turquoise,1,GAPDH
P12277,grey,0,CKB
P07451,grey,0,CA3
Q13642,blue,2,FHL1
P68133,green,5,ACTA1
P06733,turquoise,1,ENO1
P13929,blue,2,ENO3
P14618,brown,3,PKM
P60174,grey,0,TPI1
P09104,grey,0,ENO2
P18669,turquoise,1,PGAM1
P31415,grey,0,CASQ1
P00558,turquoise,1,PGK1
P04792,turquoise,1,HSPB1
P05976,green,5,MYL1
P11217,blue,2,PYGM
P02511,turquoise,1,CRYAB
P00338,turquoise,1,LDHA
P10916,green,5,MYL2
P00568,grey,0,AK1
P15090,turquoise,1,FABP4
P05413,blue,2,FABP3
O14983,blue,2,ATP2A1
P40925,turquoise,1,MDH1
P12883,green,5,MYH7
P15259,blue,2,PGAM2
P11216,blue,2,PYGB
P30041,turquoise,1,PRDX6
P48735,brown,3,IDH2
Q9UKX2,green,5,MYH2
P16615,blue,2,ATP2A2
P06576,brown,3,ATP5F1B
P40926,brown,3,MDH2
P25705,brown,3,ATP5F1A
P12882,green,5,MYH1
P08237,blue,2,PFKM
P23297,grey,0,S100A1
O14558,grey,0,HSPB6
P68104,turquoise,1,EEF1A1
O00757,grey,0,FBP2
P18085,turquoise,1,ARF4
P12235,brown,3,SLC25A4
P02585,green,5,TNNC2
P36871,blue,2,PGM1
P62258,turquoise,1,YWHAE
P17174,brown,3,GOT1
P17540,brown,3,CKMT2
Q93084,grey,0,ATP2A3
P62979,turquoise,1,RPS27A
Q53GG5,blue,2,PDLIM3
P30086,turquoise,1,PEBP1
P07951,green,5,TPM2
Q99497,turquoise,1,PARK7
P00505,brown,3,GOT2
P08590,green,5,MYL3
P00403,brown,3,MT-CO2
Q06830,turquoise,1,PRDX1
P09972,grey,0,ALDOC
P99999,brown,3,CYCS
P09493,green,5,TPM1
P21695,turquoise,1,GPD1
O75390,brown,3,CS
Q16698,turquoise,1,DECR1
P11142,turquoise,1,HSPA8
P40939,brown,3,HADHA
Q99798,brown,3,ACO2
P30043,turquoise,1,BLVRB
P24752,brown,3,ACAT1
P50461,grey,0,CSRP3
O75112,green,5,LDB3
P14550,turquoise,1,AKR1A1
P28161,blue,2,GSTM2
Q00872,green,5,MYBPC1
P48788,green,5,TNNI2
P08133,turquoise,1,ANXA6
