module_color,F,p,fdr
turquoise,4.5197390214872,0.0011910108033660728,0.004748526304032322
green,1.0970371660056883,0.35601692394095574,0.35601692394095574
brown,4.2597801798855235,0.0018994105216129289,0.004748526304032322
blue,3.783438284765392,0.0044316940484118985,0.007386156747353164
yellow,1.8636994947808065,0.11371910814239244,0.14214888517799057
