module_color,pathway,database,pval,padj,overlap,size,odds_ratio
turquoise,REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,Reactome,2.7127804784824947e-4,0.0030383141359003937,22,37,3.3575384615384616
turquoise,REACTOME_MITOTIC_G2_G2_M_PHASES,Reactome,3.06036480240768e-4,0.003095239894910958,32,61,2.5413793103448277
turquoise,REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,Reactome,3.151897087378514e-4,0.003095239894910958,11,14,8.32072617246596
turquoise,REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING,Reactome,3.151897087378514e-4,0.003095239894910958,11,14,8.32072617246596
turquoise,REACTOME_SIGNALING_BY_MET,Reactome,3.2900087977461777e-4,0.003095239894910958,15,22,4.879321591650359
turquoise,REACTOME_SARS_COV_1_HOST_INTERACTIONS,Reactome,3.325505938394854e-4,0.003095239894910958,24,42,3.0555555555555554
turquoise,REACTOME_AGGREPHAGY,Reactome,3.523598987510242e-4,0.003095239894910958,13,18,5.910166919575114
turquoise,GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,GO:BP,2.0312842227272443e-5,0.0031115149548248304,15,19,8.55593607305936
turquoise,GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,GO:BP,2.0312842227272443e-5,0.0031115149548248304,15,19,8.55593607305936
turquoise,GOBP_CELL_SUBSTRATE_ADHESION,GO:BP,2.4205766460142766e-5,0.0031115149548248304,34,60,3.0273691825415963
turquoise,GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,GO:BP,2.4435394228996777e-5,0.0031115149548248304,20,29,5.0920245398773005
turquoise,GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,GO:BP,2.5382854832017653e-5,0.0031115149548248304,18,25,5.882044560943643
turquoise,GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,GO:BP,4.311892445896026e-5,0.004099402349846223,27,45,3.453488372093023
turquoise,GOBP_CYTOSOLIC_TRANSPORT,GO:BP,4.379909430600839e-5,0.004099402349846223,22,34,4.205384615384616
turquoise,GOBP_DNA_BIOSYNTHETIC_PROCESS,GO:BP,4.458901264278693e-5,0.004099402349846223,13,16,9.863429438543248
turquoise,REACTOME_SIGNALING_BY_ROBO_RECEPTORS,Reactome,5.277120233199072e-4,0.004371156587702701,47,101,2.0178666666666665
turquoise,REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,Reactome,5.366375275081441e-4,0.004371156587702701,24,43,2.892787524366472
turquoise,HALLMARK_MYC_TARGETS_V1,Hallmark,3.413158445934593e-4,0.004550877927912791,51,110,2.0099893556046835
turquoise,GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GO:BP,6.00928321659107e-5,0.0046524503218976125,10,11,22.68882175226586
turquoise,GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,GO:BP,6.531212969533321e-5,0.004803707139091757,24,39,3.674074074074074
turquoise,REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS,Reactome,7.145761283672337e-4,0.0052480345165331265,9,11,10.187782805429864
turquoise,HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,5.923906260893549e-4,0.00542978099170423,26,48,2.709400506614129
turquoise,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,6.787226239630288e-4,0.00542978099170423,15,23,4.266552511415525
turquoise,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,Reactome,7.52928903761495e-4,0.005440518530405641,22,39,2.958552036199095
turquoise,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,Reactome,8.172061315580834e-4,0.005811243602190815,10,13,7.552870090634441
turquoise,REACTOME_SIGNALING_BY_HEDGEHOG,Reactome,8.420595587291676e-4,0.0058944169111041726,24,44,2.7462962962962965
turquoise,REACTOME_REGULATION_OF_CDH1_FUNCTION,Reactome,8.902924456286609e-4,0.006136169471409848,21,37,2.997983870967742
turquoise,GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,GO:BP,9.363312746652155e-5,0.00619024718753386,11,13,12.489409984871408
turquoise,GOBP_ACTIN_FILAMENT_ORGANIZATION,GO:BP,9.715533322852016e-5,0.00619024718753386,48,98,2.2353846153846155
turquoise,GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,GO:BP,1.0011659622828329e-4,0.00619024718753386,36,68,2.6020047169811322
turquoise,GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:BP,1.0344058613348911e-4,0.00619024718753386,44,88,2.323248407643312
turquoise,GOBP_HEMOSTASIS,GO:BP,1.0520474485951496e-4,0.00619024718753386,20,31,4.160624651422197
turquoise,REACTOME_RRNA_PROCESSING,Reactome,9.365103634823239e-4,0.006262039445374345,30,59,2.3751208507895587
turquoise,GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,GO:BP,1.2172487207279985e-4,0.006631751363669947,30,54,2.8796728971962615
turquoise,GOBP_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION,GO:BP,1.3614052095772822e-4,0.007152239511743507,13,17,7.392640364188164
turquoise,GOBP_LEUKOCYTE_CELL_CELL_ADHESION,GO:BP,1.7098177135179825e-4,0.007748267312034439,25,43,3.187789799072643
turquoise,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:BP,1.7624089795457073e-4,0.007748267312034439,21,34,3.69727047146402
turquoise,GOBP_T_HELPER_1_CELL_DIFFERENTIATION,GO:BP,1.7908979511160498e-4,0.007748267312034439,9,10,20.38914027149321
turquoise,REACTOME_L1CAM_INTERACTIONS,Reactome,0.0012391984084338624,0.007819167422230568,19,33,3.094618245460512
turquoise,GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,GO:BP,2.0030710444249723e-4,0.008184770850969818,20,32,3.811349693251534
turquoise,GOBP_RESPONSE_TO_TOXIC_SUBSTANCE,GO:BP,2.1343283891326869e-4,0.008333902949161122,34,65,2.5304884214784105
turquoise,GOBP_MYOBLAST_FUSION,GO:BP,2.2607583646406807e-4,0.008333902949161122,19,30,3.946540442711959
turquoise,GOBP_OSSIFICATION,GO:BP,2.2675993194043727e-4,0.008333902949161122,29,53,2.779354587869362
turquoise,GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE,GO:BP,2.3900056426063207e-4,0.008333902949161122,26,46,2.9843653250773996
turquoise,GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION,GO:BP,2.606115130261126e-4,0.008333902949161122,10,12,11.336858006042297
turquoise,GOBP_VACUOLAR_LOCALIZATION,GO:BP,2.606115130261126e-4,0.008333902949161122,10,12,11.336858006042297
turquoise,GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,GO:BP,2.7127804784824947e-4,0.00849042571031436,22,37,3.3575384615384616
turquoise,REACTOME_ABC_TRANSPORTER_DISORDERS,Reactome,0.0014578854711739704,0.009041641449180743,18,31,3.1545518701482003
turquoise,REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,Reactome,0.0014733031825673979,0.009041641449180743,14,22,3.976063829787234
turquoise,GOBP_BONE_DEVELOPMENT,GO:BP,3.061952951551453e-4,0.009192107738228953,16,24,4.557926829268292
turquoise,GOBP_SUPEROXIDE_METABOLIC_PROCESS,GO:BP,3.151897087378514e-4,0.009272881231067589,11,14,8.32072617246596
turquoise,GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,GO:BP,3.325505938394854e-4,0.00959180242231143,24,42,3.0555555555555554
turquoise,GOBP_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION,GO:BP,3.456897806417955e-4,0.009594522024982665,14,20,5.308510638297872
turquoise,GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,GO:BP,3.523598987510242e-4,0.009598544649310307,13,18,5.910166919575114
turquoise,REACTOME_RHO_GTPASE_EFFECTORS,Reactome,0.0017929582619893197,0.010569017123305463,32,66,2.1602941176470587
turquoise,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,Reactome,0.0020764699743905973,0.011484673438604785,9,12,6.787330316742081
turquoise,REACTOME_G2_M_CHECKPOINTS,Reactome,0.00220285238272529,0.01203509594464549,21,39,2.661290322580645
turquoise,REACTOME_SIGNALING_BY_NOTCH,Reactome,0.0023043384039294194,0.012399504987290567,23,44,2.50099053488884
turquoise,REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,Reactome,0.002334572828859441,0.012399504987290567,15,25,3.4086757990867578
turquoise,REACTOME_M_PHASE,Reactome,0.0023525846516064693,0.012399504987290567,43,96,1.8702942676305607
turquoise,REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS,Reactome,0.0023875344416541223,0.0124373887193145,18,32,2.9272608125819133
turquoise,GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,GO:BP,4.7715133790869363e-4,0.012761629419339789,18,29,3.7331109257714763
turquoise,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,Reactome,0.0026342443221614017,0.013564844325612736,20,37,2.681342475640563
turquoise,REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,Reactome,0.003125272226397781,0.015556910638068954,13,21,3.6864567526555385
turquoise,GOBP_LEUKOCYTE_MIGRATION,GO:BP,6.302400254922056e-4,0.015713272499983635,20,34,3.2624890446976336
turquoise,REACTOME_ESR_MEDIATED_SIGNALING,Reactome,0.0033550890806021993,0.016337825088149842,16,28,3.0304878048780486
turquoise,GOBP_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS,GO:BP,7.145761283672337e-4,0.01723182762013444,9,11,10.187782805429864
turquoise,GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,GO:BP,8.028419960171688e-4,0.017681960653518566,13,19,4.92185128983308
turquoise,GOBP_CARTILAGE_DEVELOPMENT,GO:BP,8.028419960171688e-4,0.017681960653518566,13,19,4.92185128983308
turquoise,GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,GO:BP,8.028419960171688e-4,0.017681960653518566,13,19,4.92185128983308
turquoise,GOBP_PROTEIN_LOCALIZATION_TO_LYSOSOME,GO:BP,8.172061315580834e-4,0.017681960653518566,10,13,7.552870090634441
turquoise,GOBP_AXO_DENDRITIC_TRANSPORT,GO:BP,8.431123653182312e-4,0.017681960653518566,12,17,5.447272727272727
turquoise,GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,GO:BP,8.534460954451518e-4,0.017681960653518566,11,15,6.236384266263237
turquoise,GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,GO:BP,8.902924456286609e-4,0.017940002568763838,21,37,2.997983870967742
turquoise,HALLMARK_UV_RESPONSE_DN,Hallmark,0.0027093173848408603,0.01806211589893907,14,23,3.5319148936170213
