module,traj,mean_eig,se,n,module_color
MEblue,CR_T1,-0.06187388047928943,0.05906412118009416,15,blue
MEblue,CR_T2,-0.0026509889102668905,0.024735425382624215,14,blue
MEblue,Ctl,0.09652220519330813,0.007714126418714919,10,blue
MEbrown,CR_T1,-0.057661501808641165,0.0505107751285026,15,brown
MEbrown,CR_T2,0.01008861954403941,0.041277594590280756,14,brown
MEbrown,Ctl,0.07236818535130649,0.023676263544978256,10,brown
MEgreen,CR_T1,-0.0396666593654142,0.03027915853333627,15,green
MEgreen,CR_T2,0.04898791599210633,0.06301173953105527,14,green
MEgreen,Ctl,-0.009083093340828649,0.017261033401829256,10,green
MEgrey,CR_T1,0.09108975314755773,0.04893361400621739,15,grey
MEgrey,CR_T2,-0.11164497483148324,0.032170675009466354,14,grey
MEgrey,Ctl,0.019668335042740542,0.008138377852112837,10,grey
MEred,CR_T1,0.024523530500292597,0.05189680806794895,15,red
MEred,CR_T2,0.025696015718675396,0.04279615653897117,14,red
MEred,Ctl,-0.0727597177565826,0.018218323900903406,10,red
MEturquoise,CR_T1,0.0601423201062026,0.050503690680141954,15,turquoise
MEturquoise,CR_T2,0.028801987996560537,0.0350159812351106,14,turquoise
MEturquoise,Ctl,-0.13053626335448873,0.007414825013318847,10,turquoise
MEyellow,CR_T1,0.09406441229471996,0.015810577280762815,15,yellow
MEyellow,CR_T2,0.08525913204919339,0.011994548029512893,14,yellow
MEyellow,Ctl,-0.26045940331095074,0.009684355919868088,10,yellow
