module,contrast,NES,pval,size,padj
blue,Baseline_Supplement,3.7189903751464284,1e-10,420,1.6666666666666669e-10
brown,Baseline_Supplement,3.0372967814580347,1e-10,393,1.6666666666666669e-10
green,Baseline_Supplement,0.7617517952971364,0.9119638826185101,58,0.9119638826185101
turquoise,Baseline_Supplement,-4.506118079431815,1e-10,655,1.6666666666666669e-10
yellow,Baseline_Supplement,1.4156849440071702,0.011142319859572493,175,0.013927899824465616
blue,Training_CRE,-2.2779090835254094,1e-10,434,1.6666666666666669e-10
brown,Training_CRE,-2.932098342418856,1e-10,398,1.6666666666666669e-10
green,Training_CRE,1.0253943018915423,0.391705069124424,59,0.48963133640552997
turquoise,Training_CRE,3.362916094956611,1e-10,658,1.6666666666666669e-10
yellow,Training_CRE,-0.8772480989390246,0.8078175895765473,176,0.8078175895765473
blue,Training_PLA,2.673169869793707,1e-10,410,1.6666666666666669e-10
brown,Training_PLA,1.8918043006413148,1.046814752550374e-8,381,1.3085184406879676e-8
green,Training_PLA,2.2858595052218726,7.786553895955495e-7,57,7.786553895955495e-7
turquoise,Training_PLA,-3.901133443960084,1e-10,638,1.6666666666666669e-10
yellow,Training_PLA,2.853398957937702,1e-10,172,1.6666666666666669e-10
blue,Supplement_Interaction,-3.097982349530327,1e-10,407,1.25e-10
brown,Supplement_Interaction,-2.8010987223237382,1e-10,377,1.25e-10
green,Supplement_Interaction,-1.8541351040300154,2.825863827324877e-4,57,2.825863827324877e-4
turquoise,Supplement_Interaction,4.387042131093308,1e-10,627,1.25e-10
yellow,Supplement_Interaction,-2.778878839809125,1e-10,169,1.25e-10
