pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_CALCIUM_ION_TRANSPORT,1.2863521217901042e-5,0.007488311194787112,1.839171974522293,40,88,GO:BP,2.643140589569161,blue,Calcium Ion Transport,ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/BIN1/CACNA1S/CACNA2D1/CACNB1/CACNB3/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/CASQ2/CUL5/DHRS7C/DMD/HRC/JPH1/JPH2/MCU/MYLK/NOL3/PACSIN3/PLCL2/PLN/PPP3CB/PRKACA/RYR1/SRL/STAC3/STIM1/TMEM38A/TPT1/UBQLN1/VDAC1,40,0.007488311194787112,GOBP_CALCIUM_ION_TRANSPORT
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION,1.9619416663835256e-5,0.007488311194787112,2.511421041071821,18,29,GO:BP,5.102235469448584,blue,Cytoplasmic Translational Initiation,EIF2B1/EIF2B3/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3C/EIF3D/EIF3E/EIF3G/EIF3I/EIF3J/EIF3K/EIF3L/EIF4A2/EIF4G1/EIF4H/EIF5,18,0.007488311194787112,GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,2.494025377114775e-5,0.007488311194787112,1.7837990548592564,41,93,GO:BP,2.4997051500458656,blue,Regulation Of Monoatomic Ion Transport,AHCYL1/ANK3/ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2B1/BIN1/CAB39/CACNA2D1/CACNB1/CACNB3/CAMK2A/CAMK2B/CAMK2D/CAMK2G/CASQ1/CASQ2/CHP1/DHRS7C/DMD/FHL1/FXYD1/GPD1L/HRC/JPH1/JPH2/MYLK/OXSR1/PACSIN3/PLN/PPP3CB/PRKACA/SLMAP/SNTA1/STAC3/STIM1/TMEM38A/UBQLN1/UTRN/VDAC1,41,0.007488311194787112,GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT
GOBP_PROTEIN_POLYUBIQUITINATION,4.162196845523958e-5,0.008324222694258709,2.1642349281587916,23,43,GO:BP,3.5982644628099174,blue,Protein Polyubiquitination,ARIH2/CBFB/CUL1/CUL3/CUL4B/CUL5/MARCHF5/NPEPPS/PLAA/RNF114/RNF123/RNF126/RNF7/STUB1/THOP1/UBE2D1/UBE2D3/UBE2K/UBE2R2/UBE2V2/UBE3A/UBE3C/WDR77,23,0.008324222694258709,GOBP_PROTEIN_POLYUBIQUITINATION
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,4.407324901313193e-5,0.008324222694258709,2.023089171974522,27,54,GO:BP,3.1381031613976704,blue,Mitotic Cell Cycle Phase Transition,APPL1/ARPP19/CAMK2A/CHMP2A/CLASP2/CUL1/CUL2/CUL3/CUL4A/CUL4B/CUL5/DDB1/DYNC1LI1/EIF4G1/ENSA/FHL1/GSPT1/HSPA2/LCMT1/MAP3K20/NAE1/PKIA/PPP2CA/RDX/SIRT2/VPS4A/VPS4B,27,0.008324222694258709,GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION
GOBP_CALCIUM_MEDIATED_SIGNALING,4.851753443781095e-5,0.008324222694258709,2.1110495707560233,24,46,GO:BP,3.415412402167369,blue,Calcium Mediated Signaling,ATP1A2/ATP1B1/ATP2A2/CAMK2D/CASQ1/CASQ2/CDH13/CHP1/DMD/GBP1/GSK3B/HRC/JPH1/JPH2/LMCD1/MAPT/MCU/PLN/PPP3CB/PRKAA1/PRKACA/RYR1/SGCD/TMEM38A,24,0.008324222694258709,GOBP_CALCIUM_MEDIATED_SIGNALING
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,6.748677334344795e-5,0.009005734976164555,2.4899559039686427,16,26,GO:BP,4.9751633986928105,blue,Sarcoplasmic Reticulum Calcium Ion Transport,ATP1A2/ATP2A1/ATP2A2/CAMK2D/CASQ1/CASQ2/DHRS7C/DMD/HRC/JPH1/JPH2/NOL3/PLN/PRKACA/RYR1/TMEM38A,16,0.009005734976164555,GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT
GOBP_PROTEIN_NEDDYLATION,8.339690679512094e-5,0.010015968506094024,2.856125889846384,12,17,GO:BP,7.433766233766233,blue,Protein Neddylation,COPS2/COPS3/COPS4/COPS5/COPS6/COPS7A/GPS1/NAE1/NEDD8/RNF7/UBA3/UBE2M,12,0.010015968506094024,GOBP_PROTEIN_NEDDYLATION
REACTOME_INTERFERON_SIGNALING,3.0153091657962827e-4,0.010885266088524581,1.7340764331210192,33,77,Reactome,2.3558823529411765,blue,Interferon Signaling,ABCE1/ARIH1/CAMK2A/CAMK2B/CAMK2D/CAMK2G/EIF2S1/EIF2S2/EIF2S3/EIF4A2/EIF4G1/EIF4G2/FLNB/GBP1/HSPA1L/HSPA2/KPNA1/KPNA3/KPNA4/MAP2K6/MAPT/MAVS/NUP93/PIN1/PPM1B/PPP2CA/PPP2R5A/PRKCD/PRKRA/SEC13/TUBA4A/TUBA8/YBX1,33,0.010885266088524581,REACTOME_INTERFERON_SIGNALING
GOBP_SODIUM_ION_TRANSPORT,1.1709486123485654e-4,0.011390354311386186,2.57484076433121,14,22,GO:BP,5.429560260586319,blue,Sodium Ion Transport,AHCYL1/ANK3/ATP1A1/ATP1A2/ATP1B1/CAMK2D/CHP1/DMD/FXYD1/GPD1L/OXSR1/SLMAP/SNTA1/UTRN,14,0.011390354311386186,GOBP_SODIUM_ION_TRANSPORT
