module_color,contrast,r_equiv,p_raw,p_bh,sig_tier
red,CRvH_Baseline,0.288,0.11414917841598073,0.2435660332129028,ns
red,CR_Training,-0.0197,0.9422262952667292,0.9422262952667292,ns
turquoise,CRvH_Baseline,0.5344,0.0020329430810995,0.0094870677117977,FDR
turquoise,CR_Training,-0.1623,0.5536584062687879,0.7225122815690468,ns
yellow,CRvH_Baseline,0.9631,2.309637569143857e-17,3.2334925968014003e-16,FDR
yellow,CR_Training,-0.1027,0.7166929856147537,0.8237664262372447,ns
green,CRvH_Baseline,0.0544,0.7649259672202987,0.8237664262372447,ns
green,CR_Training,0.3895,0.1217830166064514,0.2435660332129028,ns
blue,CRvH_Baseline,-0.3933,0.02486636219906769,0.08703226769673691,nominal
blue,CR_Training,0.2715,0.29457532184977214,0.4582282784329789,ns
brown,CRvH_Baseline,-0.3133,0.09380170811928729,0.2435660332129028,ns
brown,CR_Training,0.3903,0.15308299822192828,0.2678952468883745,ns
