module,arm,stage,mean_eig,se,n,module_color
MEblue,CRE,post,-0.0197881178049691,0.07119107533846963,8,blue
MEblue,CRE,pre,0.04297208863878941,0.05505428241199743,7,blue
MEblue,Ctl,Ctl,0.10925327325681986,0.020915687476070324,10,blue
MEblue,PLA,post,-4.0100986091555957e-4,0.01991067203961324,6,blue
MEblue,PLA,pre,-0.15407829392930938,0.0615677856139821,8,blue
MEbrown,CRE,post,-0.045683007483051846,0.05202703018987801,8,brown
MEbrown,CRE,pre,0.03478781438369664,0.034845024402872446,7,brown
MEbrown,Ctl,Ctl,0.13120139200467953,0.016597505618266256,10,brown
MEbrown,PLA,post,-0.004677833945471053,0.02779030133141754,6,brown
MEbrown,PLA,pre,-0.1452496946494284,0.08272644298001537,8,brown
MEgreen,CRE,post,-0.008085003960015644,0.07993577562893474,8,green
MEgreen,CRE,pre,-0.013795981954444456,0.02575691667816815,7,green
MEgreen,Ctl,Ctl,-0.01426380549859835,0.021399898945681242,10,green
MEgreen,PLA,post,0.10506195290624719,0.10572897978805207,6,green
MEgreen,PLA,pre,-0.04081021963628455,0.05249071794243131,8,green
MEturquoise,CRE,post,0.056822886152673585,0.06055731232000887,8,turquoise
MEturquoise,CRE,pre,-0.035465527087235715,0.03838225310578274,7,turquoise
MEturquoise,Ctl,Ctl,-0.14409320624606986,0.009889074423032319,10,turquoise
MEturquoise,PLA,post,0.023656605098429755,0.02622502389463221,6,turquoise
MEturquoise,PLA,pre,0.1365835040324228,0.07421819587837476,8,turquoise
MEyellow,CRE,post,-0.011761764162313754,0.06322826320880184,8,yellow
MEyellow,CRE,pre,0.011419936627215988,0.07049665371660005,7,yellow
MEyellow,Ctl,Ctl,0.0098288178997833,0.02450768938667386,10,yellow
MEyellow,PLA,post,0.10951676193337974,0.025257591078957486,6,yellow
MEyellow,PLA,pre,-0.09265427421126306,0.07912120712029014,8,yellow
