module,uniprot_id,gene
turquoise,P11217,PYGM
turquoise,P16615,ATP2A2
turquoise,P08237,PFKM
turquoise,P21796,VDAC1
turquoise,Q96DG6,CMBL
turquoise,O75323,NIPSNAP2
turquoise,P14621,ACYP2
turquoise,P35573,AGL
turquoise,Q9BQ69,MACROD1
turquoise,O14949,UQCRQ
turquoise,P10644,PRKAR1A
turquoise,Q9H0N5,PCBD2
turquoise,P48147,PREP
turquoise,Q02978,SLC25A11
turquoise,Q9BWH2,FUNDC2
turquoise,Q9H0P0,NT5C3A
turquoise,P23327,HRC
turquoise,P51649,ALDH5A1
turquoise,O75923,DYSF
turquoise,Q9NY65,TUBA8
turquoise,O14732,IMPA2
turquoise,Q9Y376,CAB39
turquoise,Q9Y613,FHOD1
turquoise,P46734,MAP2K3
turquoise,P29218,IMPA1
turquoise,Q9NTM9,CUTC
turquoise,Q93034,CUL5
turquoise,P05026,ATP1B1
turquoise,Q9NZA1,CLIC5
turquoise,A6NNS2,DHRS7C
turquoise,Q9H1R3,MYLK2
turquoise,P51812,RPS6KA3
turquoise,Q9Y6E2,BZW2
turquoise,Q8N1G4,LRRC47
turquoise,Q5VYK3,ECPAS
turquoise,P16298,PPP3CB
turquoise,P16989,YBX3
turquoise,Q15642,TRIP10
turquoise,Q13310,PABPC4
turquoise,Q16881,TXNRD1
turquoise,Q9BZL1,UBL5
turquoise,Q14249,ENDOG
turquoise,O75128,COBL
turquoise,O43772,SLC25A20
turquoise,Q15369,ELOC
turquoise,Q8TDX7,NEK7
turquoise,P61081,UBE2M
turquoise,Q16586,SGCA
turquoise,P54646,PRKAA2
turquoise,O94919,ENDOD1
turquoise,Q13098,GPS1
turquoise,O95372,LYPLA2
turquoise,Q02641,CACNB1
turquoise,P53041,PPP5C
turquoise,P62633,CNBP
turquoise,O75534,CSDE1
turquoise,Q9NUU7,DDX19A
turquoise,Q96S19,METTL26
turquoise,Q5T440,IBA57
turquoise,Q13619,CUL4A
turquoise,Q13155,AIMP2
turquoise,Q9NXA8,SIRT5
turquoise,Q9NUB1,ACSS1
turquoise,Q8TBC4,UBA3
turquoise,Q9Y263,PLAA
turquoise,Q9NS86,LANCL2
turquoise,Q13751,LAMB3
turquoise,Q6JBY9,RCSD1
turquoise,O95140,MFN2
turquoise,Q9UPU5,USP24
turquoise,Q96C00,ZBTB9
turquoise,P49841,GSK3B
turquoise,Q92667,AKAP1
turquoise,Q86UT6,NLRX1
turquoise,Q9Y4X5,ARIH1
blue,P15090,FABP4
blue,P07437,TUBB
blue,P23528,CFL1
blue,P08670,VIM
blue,P10599,TXN
blue,P0DP23,CALM1
blue,P68363,TUBA1B
blue,P08758,ANXA5
blue,P07585,DCN
blue,O60240,PLIN1
blue,P51884,LUM
blue,Q09666,AHNAK
blue,Q6NZI2,CAVIN1
blue,P13796,LCP1
blue,P16671,CD36
blue,Q96Q06,PLIN4
blue,Q9NZN4,EHD2
blue,Q15847,ADIRF
blue,P18206,VCL
blue,Q03135,CAV1
blue,Q04828,AKR1C1
blue,P14625,HSP90B1
blue,P63104,YWHAZ
blue,P21333,FLNA
blue,P26038,MSN
blue,Q16853,AOC3
blue,Q9H4M9,EHD1
blue,P61224,RAP1B
blue,P60903,S100A10
blue,P52565,ARHGDIA
blue,P37837,TALDO1
blue,P35579,MYH9
blue,P52209,PGD
blue,Q16555,DPYSL2
blue,P37802,TAGLN2
blue,P30101,PDIA3
blue,P29401,TKT
blue,O95810,CAVIN2
blue,O75874,IDH1
blue,P04899,GNAI2
blue,Q13813,SPTAN1
blue,Q9Y490,TLN1
blue,P51636,CAV2
blue,Q99536,VAT1
blue,Q01518,CAP1
blue,P60033,CD81
blue,P62873,GNB1
blue,Q969G5,CAVIN3
blue,P13797,PLS3
blue,P05556,ITGB1
blue,P27797,CALR
blue,Q9BUF5,TUBB6
blue,P21926,CD9
blue,Q16181,SEPTIN7
blue,Q9H223,EHD4
blue,O00299,CLIC1
blue,Q01082,SPTBN1
blue,P19971,TYMP
blue,Q14847,LASP1
blue,Q9HDC9,APMAP
blue,Q02952,AKAP12
blue,Q9UBI6,GNG12
blue,Q12805,EFEMP1
blue,P26599,PTBP1
blue,O95865,DDAH2
blue,Q9NVA2,SEPTIN11
blue,P40121,CAPG
blue,P84095,RHOG
blue,P23634,ATP2B4
brown,P48735,IDH2
brown,P17540,CKMT2
brown,P12236,SLC25A6
brown,P36542,ATP5F1C
brown,O75947,ATP5PD
brown,Q13423,NNT
brown,P07954,FH
brown,P11177,PDHB
brown,O75208,COQ9
brown,P08559,PDHA1
brown,Q9P2R7,SUCLA2
brown,P53597,SUCLG1
brown,P18859,ATP5PF
brown,O00330,PDHX
brown,O75521,ECI2
brown,Q16134,ETFDH
brown,P42704,LRPPRC
brown,Q96A26,FAM162A
brown,Q9NX63,CHCHD3
brown,O75306,NDUFS2
brown,Q6UXV4,APOOL
brown,Q9Y6M9,NDUFB9
brown,Q9Y512,SAMM50
brown,Q9Y2Z9,COQ6
brown,O43920,NDUFS5
brown,P30405,PPIF
brown,P51553,IDH3G
brown,Q9Y4W6,AFG3L2
brown,Q9H9P8,L2HGDH
brown,Q9BUR5,APOO
brown,Q9BV79,MECR
brown,P03928,MT-ATP8
brown,Q5JTJ3,COA6
yellow,P18577,RHCE
yellow,Q5VVW2,GARNL3
yellow,P50454,SERPINH1
yellow,Q07507,DPT
yellow,Q05469,LIPE
yellow,Q15063,POSTN
yellow,Q12765,SCRN1
yellow,P27144,AK4
yellow,Q14019,COTL1
yellow,P31323,PRKAR2B
yellow,Q16643,DBN1
yellow,Q7Z7G0,ABI3BP
yellow,O75781,PALM
yellow,P22897,MRC1
yellow,P53007,SLC25A1
yellow,P98082,DAB2
green,P07738,BPGM
green,P27105,STOM
green,P00491,PNP
green,P13716,ALAD
green,P16157,ANK1
green,P11166,SLC2A1
green,P11277,SPTB
green,P11171,EPB41
