pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,arc_r1_var,clean_label
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,7.751404751515205e-13,2.5573003859177605,181,UQCRQ;NDUFA9;PPP1CB;AKT2;CYC1;NDUFB1;PFKM;NDUFA13;IDH2;PYGM;FH;NDUFAB1;NNT;NDUFS5;PDHB;UQCR11;NDUFA2;CISD1;NDUFS3;NDUFA3;GAA;SUCLA2;STBD1;ADHFE1;NDUFV1;ATP5PF;AGL;NDUFB11;COX7A1;UQCRB;NDUFS2;NDUFB3;NDUFA8;NDUFA10;PPP1CA;IDH3A;GBE1;NDUFA12;UQCRC2;IDH3B;UQCRC1;NDUFB5;GYS1;COQ9;ACO2;DLST;ATP5PD;ATP5F1E;COX5A;NDUFS1;NDUFB4;COX6C;TRAP1;ATP5F1C;TIGAR;IDE;ETFA;CYCS;ACADM;ATP5PB;NIPSNAP2;PPIF;AKT1;BCL2L13;COA6;ATP5PO;PDHA1;ARL2;NDUFA4;ATP5MF;SUCLG1;ETFDH;NDUFS4;ATP5MG;NDUFA6;COX4I1;PPP1R2;STOML2;SIRT3;COX5B;DLAT;MDH2;MT-ND5;MT-ATP8;COX6B1;UQCRH;NDUFS8;SUCLG2;OGDH;SDHB;SLC25A13;PYGB;MT-CO2;IDH3G;UQCRFS1;NDUFB9;ATP5ME;MT-ND4,GO:BP,4.465094902946548e-16,0.5127426182843554,1.027669870543582,Training_PLA,1,19.08620689655173,28.15517241379311,23.62068965517242,0.3331171520616764,0.4914004600873691,0.41225880607452275,6.3999999999999995,"Energy Derivation By
Oxidation Of Organic
Compounds"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.317097105346816e-12,2.4914006153040194,156,PDP1;UQCRQ;SLC25A4;NDUFA9;CYC1;NDUFB1;IDH2;SLC25A6;FH;NDUFAB1;NNT;GOT2;PDHB;SLC25A20;UQCR11;NDUFA2;NDUFS3;NDUFA3;HADHA;SUCLA2;HADHB;SLC25A3;NDUFV1;ATP5PF;UQCRB;NDUFS2;NDUFB3;NDUFA8;IDH3A;UQCRC2;IDH3B;UQCRC1;NDUFB5;SLC25A5;VDAC3;ACO2;DLST;SLC25A11;ATP5PD;ATP5F1E;COX5A;NDUFS1;NDUFB4;PDHX;COX6C;ATP5F1C;ETFA;VDAC1;CYCS;ACADM;VDAC2;ATP5PB;ATP5PO;PDHA1;NDUFA4;ATP5MF;ECI1;SUCLG1;ETFDH;NDUFS4;ATP5MG;NDUFA6;COX4I1;ECH1;LRPPRC;PRDX3;GRPEL1;COX5B;DLAT;MDH2;MGST3;COX6B1;UQCRH;NDUFS8;OGDH;IMMT;SDHB;HTRA2;IDH3G;UQCRFS1;ATP5ME;AFG3L2;SLC25A12;OPA1;NDUFS6;ATP1B1,Hallmark,1.4690923500806549e-13,0.5123936303911354,0.9436322252328376,Training_PLA,2,31.15517241379311,40.22413793103449,35.689655172413794,0.543760337647199,0.7020436456728916,0.6229019916600452,6.333028106296242,OXPHOS
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.969810350196897e-11,2.721350810597178,85,SLC25A4;NDUFA9;CYC1;NDUFB1;NNT;NDUFS5;NDUFA2;NDUFS3;NDUFA3;SLC25A3;NDUFV1;ATP5PF;COX7A1;NDUFS2;NDUFB3;NDUFA8;NDUFA10;ATP1A1;NDUFA12;UQCRC1;NDUFB5;SLC25A5;ATP5PD;ATP5F1E;COX5A;NDUFS1;NDUFB4;ATP5F1C;SLC16A1;ATP5PB;PPIF;ATP5PO;NDUFA4;ATP5MF;NDUFS4;ATP5MG;NDUFA6;COX4I1;COX5B;MT-ND5;MT-ATP8;DMAC2L;COX6B1;UQCRH;NDUFS8;SLC25A13;MT-CO2;UQCRFS1;ATP1A2;NDUFB9;ATP5ME;MT-ND4;SLC25A12;NDUFS6;ATP1B1;GHITM,GO:BP,4.642372563747227e-14,0.6152671708685524,0.9653277542260832,Training_PLA,3,43.22413793103449,52.293103448275865,47.758620689655174,0.7544035232327215,0.9126868312584141,0.8335451772455678,6.2954277777748615,"Proton Transmembrane
Transport"
GOBP_ELECTRON_TRANSPORT_CHAIN,2.077450838134185e-7,2.4654620240481213,80,UQCRQ;NDUFA9;CYC1;NDUFB1;NDUFAB1;NDUFS5;UQCR11;NDUFA2;NDUFS3;NDUFA3;NDUFV1;COX7A1;UQCRB;NDUFS2;NDUFB3;NDUFA8;NDUFA10;NDUFA12;UQCRC2;UQCRC1;NDUFB5;COQ9;COX5A;NDUFS1;NDUFB4;COX6C;ETFA;CYCS;COA6;NDUFA4;ETFDH;NDUFS4;NDUFA6;COX4I1;COX5B;MT-ND5;COX6B1;UQCRH;NDUFS8;SDHB;MT-CO2;UQCRFS1;NDUFB9;MT-ND4;NDUFS6;GHITM;NDUFB10;NDUFA7;SDHA;NDUFV2;COX6A2;COX7A2;NDUFA5;SDHD;MT-ND3;NDUFB8;PLEC;MTCH2,GO:BP,9.57350616651698e-10,0.5646723169746444,0.7881868108002371,Training_PLA,4,55.293103448275865,64.36206896551724,59.827586206896555,0.965046708818244,1.1233300168439364,1.0441883628310902,5.941950445106157,ETC Chain
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,3.3161314327850445e-6,2.323049853843037,76,NDUFA9;NDUFB1;NDUFA13;NDUFAB1;NDUFS5;NDUFA2;NDUFS3;NDUFA3;NDUFV1;ATP5PF;NDUFB11;NDUFS2;NDUFB3;NDUFA8;NDUFA10;NDUFA12;CTPS1;NDUFB5;ATP5PD;ATP5F1E;NDUFS1;NDUFB4;ATP5F1C;ATP5PB;AK3;ATP5PO;ATP5MF;NDUFS4;ATP5MG;NDUFA6;PARP1;STOML2;AK1;MT-ND5;MT-ATP8;DMAC2L;NDUFS8;SDHB;SLC25A13;NDUFB9;ATP5ME;MT-ND4;NDUFS6;NUDT2;NDUFB10;NDUFA7;SDHA;NDUFV2;NDUFA5;SDHD;MAP2K1;MT-ND3;NDUFB8,GO:BP,1.9102139589775604e-8,0.5359957127652092,0.7337619883564803,Training_PLA,5,67.36206896551724,76.43103448275863,71.89655172413794,1.1756898944037664,1.3339732024294593,1.2548315484166128,5.8113210333164576,"Nucleoside
Triphosphate
Biosynthesis"
GOBP_ATP_METABOLIC_PROCESS,5.274268472966771e-6,2.2164639352550894,123,FIS1;PKM;NDUFA9;HK1;NDUFB1;PFKM;NDUFA13;NDUFAB1;NDUFS5;NDUFA2;NDUFS3;NDUFA3;ENO3;NDUFV1;ATP5PF;NDUFB11;NDUFS2;NDUFB3;NDUFA8;NDUFA10;PPP2CA;NDUFA12;NDUFB5;PRKAA1;ATP5PD;ATP5F1E;PGAM2;NDUFS1;NDUFB4;FBP1;ATP5F1C;TIGAR;ATP5PB;MYH7;HK2;DNM1L;BCL2L13;ATP5PO;ARL2;ATP5MF;PGM1;NDUFS4;ATP5MG;NDUFA6;PARP1;STOML2;AK1;PRKACA;MT-ND5;MT-ATP8;DMAC2L;NDUFS8;OGDH;SDHB;SLC25A13;ATP1A2;NDUFB9;ATP5ME;MT-ND4;OLA1;NDUFS6;ATP1B1;PRKAG1;NUDT2;NDUFB10;MYH8;NDUFA7;SDHA;NDUFV2;PFKL;GPI;NDUFA5;SDHD;MAP2K1;MT-ND3;NDUFB8,GO:BP,3.341990391856825e-8,0.4704620771749483,0.7195128263389107,Training_PLA,6,79.43103448275863,88.5,83.96551724137932,1.3863330799892892,1.5446163880149817,1.4654747340021355,5.787661560791271,ATP Metabolism
GOBP_MITOCHONDRION_ORGANIZATION,1.899054672929717e-4,1.936304929090384,165,TMEM70;FIS1;CLPP;MARCHF5;FAM162A;TIMM8A;SLC25A4;MAPT;NDUFA13;SLC25A6;NDUFS5;NDUFS3;AGK;SAMM50;LONP1;COX7A1;CHCHD3;NDUFS2;NDUFB3;NDUFAF3;SLC25A5;NDUFS1;PPP2CB;SIRT5;SLIRP;VDAC2;NDUFAF4;NIPSNAP2;NDUFAF5;PPIF;HK2;DNM1L;AKT1;BCL2L13;COA6;NDUFS4;NDUFA6;PARP1;MTM1;TFRC;STOML2;PRDX3;PRKACA;MT-ND5;APOOL;NDUFS8;NOL3;IMMT;TMEM11;HTRA2;APOO;TOMM7;UQCRFS1;COX19;AFG3L2;MT-ND4;OPA1;SCO1;CAMK2A;NDUFS6;GHITM;SLC25A46;TIMM50;FUNDC1;MYH14;TOMM70;COX7A2;MCU;GSK3B;VPS35;PYCARD;TIMM13;PLEC;AIFM1;MTCH2;ATP2A1;ATPAF1;NDUFS7;SMIM20;TOMM5;BCS1L;MICOS13;TOMM22;SURF1;OPA3;SSBP1;SUPV3L1;TOMM40;HSPA9;MICU1;ATP5F1D;NUBPL;ATAD3A,GO:BP,1.8596733548274875e-6,0.3931576461702927,0.6435518361507222,Training_PLA,7,91.5,100.56896551724138,96.03448275862068,1.5969762655748114,1.755259573600504,1.6761179195876577,5.579543069312514,Mitochondrion Org.
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,9.042220017714676e-4,1.8713954962897856,148,NDUFA9;HK1;NADK2;NDUFB1;NDUFA13;IDH2;NDUFAB1;NDUFS5;PDHB;NDUFA2;NDUFS3;GARS1;ACACA;NDUFA3;NDUFV1;NAMPT;ACSL3;ATP5PF;PMM2;NDUFB11;ADSS2;NDUFS2;NDUFB3;NDUFA8;NDUFA10;NDUFA12;CTPS1;NDUFB5;ATP5PD;ATP5F1E;NDUFS1;NDUFB4;PDHX;ATP5F1C;ATP5PB;AK3;ATP5PO;PDHA1;ATP5MF;NDUFS4;ATP5MG;NDUFA6;PARP1;STOML2;AK1;DLAT;MT-ND5;MT-ATP8;DMAC2L;MPI;PAICS;NDUFS8;SDHB;SLC25A13;NDUFB9;ATP5ME;MT-ND4;NDUFS6;NUDT2;ADSL;NDUFB10;APRT;NDUFA7;SDHA;NDUFV2;ACAT1;PANK4;NDUFA5;SDHD;MLYCD;MAP2K1;MT-ND3;NDUFB8;KARS1,GO:BP,1.1459034584661456e-5,0.3861055364510351,0.5933254763964051,Training_PLA,8,103.56896551724138,112.63793103448276,108.10344827586208,1.807619451160334,1.9659027591860267,1.8867611051731805,5.467364737653148,"Nucleoside Phosphate
Biosynthesis"
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,0.00182513757750839,1.8100060384763512,211,FIS1;NUDT9;ME2;PKM;NDUFA9;HK1;NADK2;NDUFB1;PFKM;NDUFA13;IDH2;NUDT4;NDUFAB1;NNT;NDUFS5;GOT2;NDUFA2;NDUFS3;GARS1;NDUFA3;ENO3;NDUFV1;NAMPT;ATP5PF;NDUFB11;GOT1;ADSS2;NDUFS2;NDUFB3;NDUFA8;NDUFA10;PPP2CA;NDUFA12;CTPS1;NDUFB5;PRKAA1;SLC25A11;ATP5PD;ATP5F1E;PGAM2;NDUFS1;NDUFB4;FBP1;ATP5F1C;TIGAR;ATP5PB;MYH7;AK3;HK2;DNM1L;BCL2L13;NT5C2;ATP5PO;ARL2;ATP5MF;PGM1;NDUFS4;ATP5MG;NDUFA6;PARP1;PUDP;STOML2;AK1;DCXR;PRKACA;MDH2;MT-ND5;MT-ATP8;DMAC2L;PAICS;NDUFS8;OGDH;SDHB;BPNT1;SLC25A13;NT5C;ATP1A2;NDUFB9;NAXD;ATP5ME;MT-ND4;SLC25A12;OLA1;OPA1;NDUFS6;ATP1B1;PRKAG1;NUDT2;ADSL;GPD2;NDUFB10;APRT;MYH8;NDUFA7;SDHA;NDUFV2;GPD1L,GO:BP,2.5232316739747367e-5,0.3564774344213509,0.5756102610711286,Training_PLA,9,115.63793103448276,124.70689655172414,120.17241379310344,2.018262636745857,2.1765459447715494,2.097404290758703,5.409587677283817,Nucleotide Metabolism
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,0.00409282150354644,2.0052360898723176,50,TMEM70;NDUFA13;NDUFS5;NDUFS3;SAMM50;COX7A1;NDUFS2;NDUFB3;NDUFAF3;NDUFS1;NDUFAF4;NDUFAF5;COA6;NDUFS4;NDUFA6;MT-ND5;NDUFS8;UQCRFS1;COX19;MT-ND4;SCO1;NDUFS6,GO:BP,6.365563398372922e-5,0.5042574531175057,0.5384340963099162,Training_PLA,10,127.70689655172414,136.77586206896552,132.24137931034483,2.228905822331379,2.3871891303570716,2.3080474763442256,5.334714079532358,"Mito. Resp. Chain
Complex Assembly"
