gene,quadrant,sig_cat,pathway,logFC_Cancer_vs_Healthy,logFC_Training_CR
PHGDH,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,3.2869,0.0254
APOM,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,2.7741,0.2237
CP,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,2.7178,0.3111
APOE,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,2.6663,0.3938
TTR,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,2.3508,0.104
AKR1C3,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,1.5594,0.0972
AQP1,Concordant Up,CvH,Amino Acid & Cofactor Metabolism,1.0376,0.0696
PGM2,Concordant Up,CvH,Carbohydrate & Energy Metabolism,1.3829,0.0862
NME2,Concordant Up,CvH,Carbohydrate & Energy Metabolism,0.8118,0.0497
PGLS,Concordant Up,CvH,Carbohydrate & Energy Metabolism,0.743,0.0036
AP2A1,Concordant Up,CvH,Carbohydrate & Energy Metabolism,0.6322,0.0616
SERPING1,Concordant Up,CvH,Circulatory System,3.057,0.125
AKAP12,Concordant Up,CvH,Circulatory System,1.4439,0.3131
PPCS,Concordant Up,CvH,Circulatory System,0.6707,0.1012
THBS4,Concordant Up,CvH,Cytoskeleton & Motility,2.6177,0.825
ARPC5,Concordant Up,CvH,Cytoskeleton & Motility,2.1834,0.143
SERPINF1,Concordant Up,CvH,Cytoskeleton & Motility,2.0123,0.2749
GLIPR2,Concordant Up,CvH,Cytoskeleton & Motility,1.7688,0.168
YAP1,Concordant Up,CvH,Cytoskeleton & Motility,1.7073,0.051
RAB8A,Concordant Up,CvH,Cytoskeleton & Motility,1.7041,0.0112
SH3BGRL3,Concordant Up,CvH,Cytoskeleton & Motility,1.5883,0.2881
ARPC1B,Concordant Up,CvH,Cytoskeleton & Motility,1.5156,0.1341
FSCN1,Concordant Up,CvH,Cytoskeleton & Motility,1.4835,0.5964
GSN,Concordant Up,CvH,Cytoskeleton & Motility,1.407,0.2437
TAGLN2,Concordant Up,CvH,Cytoskeleton & Motility,1.3221,0.2138
CAP1,Concordant Up,CvH,Cytoskeleton & Motility,1.2913,0.0888
RAB23,Concordant Up,CvH,Cytoskeleton & Motility,1.2118,0.4579
GNAI2,Concordant Up,CvH,Cytoskeleton & Motility,1.2052,0.0289
MSN,Concordant Up,CvH,Cytoskeleton & Motility,1.1184,0.0296
PLS3,Concordant Up,CvH,Cytoskeleton & Motility,1.021,0.2974
LAMP1,Concordant Up,CvH,Cytoskeleton & Motility,0.9742,0.1708
ATG3,Concordant Up,CvH,Cytoskeleton & Motility,0.869,0.0367
PARVA,Concordant Up,CvH,Cytoskeleton & Motility,0.863,0.0585
EHD4,Concordant Up,CvH,Cytoskeleton & Motility,0.8474,0.2267
ATP2B4,Concordant Up,CvH,Cytoskeleton & Motility,0.8325,0.004
ARPC3,Concordant Up,CvH,Cytoskeleton & Motility,0.7925,0.3169
SEPTIN7,Concordant Up,CvH,Cytoskeleton & Motility,0.7439,0.1161
ABLIM2,Concordant Up,Tr.(CR),Cytoskeleton & Motility,0.7308,1.9324
