contrast,database,n_sig,n_up,n_down,median_NES,mean_NES,sd_NES,min_padj,median_padj
Supplement_Interaction,GO Slim,9,7,2,1.8562072131221916,0.9924984031484254,1.770546531107218,2.9232295804902565e-9,0.002047865382865446
Supplement_Interaction,GO:BP,180,131,49,1.8060785934611854,0.8327227948562491,1.7456773947432873,2.349095549104549e-8,0.02589086407025225
Supplement_Interaction,Hallmark,12,11,1,1.8418973042345947,1.521565800392865,1.2212598851636143,1.716449790923854e-8,0.005685132799660244
Supplement_Interaction,KEGG,34,24,10,1.6844740235343398,0.6643384405723897,1.7713717493772996,6.839974017899266e-6,0.01916882781279706
Supplement_Interaction,Reactome,93,75,18,1.8629038778060745,1.2107657321687926,1.5822491063633035,9.837243310058269e-14,0.011782194114207046
Training_CRE,GO Slim,2,2,0,2.0737302098713455,2.0737302098713455,0.3726077160281612,5.494242391472423e-6,0.007999758132236476
Training_CRE,GO:BP,31,29,2,1.970419939939128,1.71898686581165,1.0342632843139508,2.3383587807106478e-8,0.021847427276402435
Training_CRE,Hallmark,6,6,0,1.7279919426957058,1.839778592191072,0.26839213216527064,1.3991519457594389e-6,0.019743031593850185
Training_CRE,KEGG,1,1,0,2.0066607827735687,2.0066607827735687,NA,0.0033093695372019235,0.0033093695372019235
Training_CRE,Reactome,55,53,2,1.9182691039901438,1.8329234759180713,0.7562934121017956,1.5195451354390196e-5,0.006375097476779995
Training_PLA,GO Slim,6,2,4,-1.6563015793216014,-0.44289946504754224,2.071638688248318,8.712061953216705e-12,0.008582540601409394
Training_PLA,GO:BP,56,28,28,-0.032994556270626196,0.11023106424844448,2.1193194997577276,1.5806005737238195e-12,0.004515576054493206
Training_PLA,Hallmark,7,1,6,-1.874110333779481,-1.2257100177671103,1.6464343329679536,5.1087273911839045e-12,0.004334638911276485
Training_PLA,KEGG,25,12,13,-1.699538511120501,0.07274663039717807,1.9617957235767847,3.7224577512413817e-7,0.040716715808573375
Training_PLA,Reactome,47,16,31,-1.8833276530955714,-0.6156185757881957,1.9570409451356183,8.847130305036334e-17,0.013857171082120808
