uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
P05165,0.20519273524293524,-0.2711188888239266,0.6815043593097971,19.55045048481286,0.8716587797570045,-4.645083544273578,0.38878494087477267,0.9642948015626768,0,0,0.8237802140678424,0,Training_CRE,PCCA,PCCA_HUMAN,"Propionyl-CoA carboxylase alpha chain, mitochondrial"
Q01105,0.5061331593269252,0.026179721474056228,0.9860865971797941,19.58865574458141,2.133739479221062,-4.199842226510865,0.03927721325244396,0.9158559636931725,1,0,0.19428889311646522,0,Training_CRE,SET,SET_HUMAN,Protein SET
Q93100,0.18456985705965323,-0.4229078311534681,0.7920475452727745,19.44048269555176,0.614760779876509,-4.694094539201748,0.5423205292141632,0.966088170901145,0,0,0.8932060913735334,0,Training_CRE,PHKB,KPBB_HUMAN,Phosphorylase b kinase regulatory subunit beta
Q9BT78,-0.12508094476117293,-0.492953271599391,0.24279138207704515,19.656091968827376,-0.6879703826686405,-4.681775267973318,0.49558585246910536,0.966088170901145,-0,-0,0.9159361161831607,0,Training_CRE,COPS4,CSN4_HUMAN,COP9 signalosome complex subunit 4
Q96C23,-0.053786523813837306,-0.539155287089719,0.43158223946204444,19.568032833977924,-0.22422155618867787,-4.736821703192818,0.8237677377144182,0.9833787852425544,-0,-0,0.9896267632542509,0,Training_CRE,GALM,GALM_HUMAN,Aldose 1-epimerase
Q71U36,-0.08676052157690606,-0.7587295275696821,0.58520848441587,18.71891374267287,-0.2612453810712207,-4.734461498496691,0.795292398704019,0.9764254858317061,-0,-0,0.9803240473707993,0,Training_CRE,TUBA1A,TBA1A_HUMAN,Tubulin alpha-1A chain
P62081,-0.3416677910700514,-0.8966171758070509,0.2132815936669481,19.45076888854007,-1.2457370299846036,-4.546025270351108,0.2203707863803971,0.9158559636931725,-0,-0,0.5964539038442558,0,Training_CRE,RPS7,RS7_HUMAN,40S ribosomal protein S7
P62701,0.14422890786213216,-0.1615647285205385,0.4500225442448028,19.632937765557912,0.9543322054782705,-4.625936302471088,0.345855071601753,0.9642948015626768,0,0,0.8580156446379957,0,Training_CRE,RPS4X,RS4X_HUMAN,"40S ribosomal protein S4, X isoform"
Q13424,-0.3293516981722924,-0.7883536281818456,0.12965023183726088,19.53554660417603,-1.4518478437913762,-4.478510051838117,0.15462536421203307,0.9158559636931725,-0,-0,0.5407396723229734,0,Training_CRE,SNTA1,SNTA1_HUMAN,Alpha-1-syntrophin
Q02952,0.673626764008759,-0.24919083070156767,1.5964443587190855,18.897975404183033,1.477698479999463,-4.469526525675531,0.14772228060898338,0.9158559636931725,0,0,0.2757506845578937,0,Training_CRE,AKAP12,AKA12_HUMAN,A-kinase anchor protein 12
P07942,0.2728391122501037,-0.40752269591426926,0.9532009204144767,18.677141273341228,0.8114138373653544,-4.6580164597348,0.42210428929599897,0.9642948015626768,0,0,0.7903143384820525,0,Training_CRE,LAMB1,LAMB1_HUMAN,Laminin subunit beta-1
Q7L5N1,-0.12448635239687178,-0.5069824210370666,0.258009716243323,19.611488087847672,-0.6585222820662545,-4.686890695865821,0.5141122071468165,0.966088170901145,-0,-0,0.9205145423358008,0,Training_CRE,COPS6,CSN6_HUMAN,COP9 signalosome complex subunit 6
P08572,0.8869685902538116,-0.34971144333545623,2.1236486238430796,18.31819257931085,1.4522425499523794,-4.4784914941446194,0.15469501839810937,0.9158559636931725,0,0,0.19102533135284058,0,Training_CRE,COL4A2,CO4A2_HUMAN,Collagen alpha-2(IV) chain
O95292,-0.18241368230725286,-0.659158650208841,0.2943312855943353,19.5465948468205,-0.7741890085194526,-4.665571718864329,0.4435360805897903,0.9642948015626768,-0,-0,0.862174175631043,0,Training_CRE,VAPB,VAPB_HUMAN,Vesicle-associated membrane protein-associated protein B/C
Q16595,-0.1173786039869853,-0.5597251509348014,0.32496794296083076,19.481323327283135,-0.5369106358548549,-4.705723724468451,0.5944113538013618,0.966088170901145,-0,-0,0.9407682646574641,0,Training_CRE,FXN,FRDA_HUMAN,"Frataxin, mitochondrial"
P62847,0.15847328769739377,-0.18946950425602782,0.5064160796508154,19.55731241945597,0.9215606713275005,-4.633718186130291,0.3624830359877348,0.9642948015626768,0,0,0.8514494529191116,0,Training_CRE,RPS24,RS24_HUMAN,40S ribosomal protein S24
Q9UL25,-0.22575480249687985,-0.72690559667696,0.2753959916832003,19.530094058008974,-0.9114739971554203,-4.63606277941183,0.367704009493657,0.9642948015626768,-0,-0,0.7978278078235255,0,Training_CRE,RAB21,RAB21_HUMAN,Ras-related protein Rab-21
Q15046,0.21744383809187084,-0.11563334639127754,0.5505210225750192,19.56390864066293,1.3209242975249518,-4.522406992535043,0.19430563744026158,0.9158559636931725,0,0,0.7003022710570063,0,Training_CRE,KARS1,SYK_HUMAN,Lysine--tRNA ligase
