"contrast","n_sig","n_total","pct","ci_lo","ci_hi"
"Baseline_Supplement",112,2541,4.40771349862259,3.64289798016756,5.27967923821678
"Training_CRE",72,2541,2.83353010625738,2.22352017072269,3.55519312776065
"Training_PLA",124,2541,4.87996851633215,4.07501562541116,5.79080774046575
"Supplement_Interaction",171,2541,6.72963400236128,5.78614364744772,7.77425164909947
