"contrast","n_up","n_down","n_total","label"
"Baseline_Supplement",39,73,112,"n = 112  (39↑  73↓)"
"Training_CRE",52,20,72,"n = 72  (52↑  20↓)"
"Training_PLA",61,63,124,"n = 124  (61↑  63↓)"
"Supplement_Interaction",101,70,171,"n = 171  (101↑  70↓)"
