"contrast","database","n_sig","n_up","n_down","median_NES","mean_NES","sd_NES","min_padj","median_padj"
"Baseline_Supplement","GO Slim",8,4,4,0.0141373251145918,-0.136323370221219,2.10435697483018,1.9566264210371e-09,0.00625532094553115
"Baseline_Supplement","GO:BP",98,24,74,-1.89806205828652,-1.02024471556427,1.7007208750654,1.13883953646388e-07,0.0224934710488999
"Baseline_Supplement","Hallmark",9,1,8,-1.86173839240792,-1.46621552764699,1.40908031563267,2.83866556279565e-07,0.00701065852304898
"Baseline_Supplement","Reactome",73,13,60,-1.89073398321512,-1.32961673194523,1.59393695651352,1.05116484339174e-09,0.00540080182926171
"Supplement_Interaction","GO Slim",8,6,2,1.73108369650173,0.934218283003239,1.73873299732043,1.30751615705838e-05,0.0045114335252314
"Supplement_Interaction","GO:BP",76,48,28,1.87547390580653,0.526120971577198,1.90848919224837,3.16454995295576e-05,0.0178365935460755
"Supplement_Interaction","Hallmark",10,8,2,1.8476820441218,1.13388790929557,1.60930020463333,7.7725200349004e-07,0.00701475196685258
"Supplement_Interaction","KEGG",40,33,7,1.76819416869436,1.15472361701494,1.49215664133543,0.000218968553304248,0.0244401047994227
"Supplement_Interaction","Reactome",80,70,10,1.90662138246276,1.47358427317651,1.35605874085568,4.39605941570447e-11,0.0163290198557385
"Training_CRE","GO Slim",5,5,0,1.66178499215203,1.77412659977614,0.299530961207521,4.60349746622077e-05,0.0304830924906757
"Training_CRE","GO:BP",26,24,2,1.9822332262447,1.68320492908357,1.12628662298536,3.12481545805368e-08,0.0283647874901092
"Training_CRE","Hallmark",3,3,0,1.91202428520118,2.01209710108565,0.333130829395391,9.09296183609887e-07,0.00332826044895757
"Training_CRE","KEGG",1,1,0,2.10601997813835,2.10601997813835,NA,0.000214545670952667,0.000214545670952667
"Training_CRE","Reactome",54,52,2,1.91116618508962,1.83498075539533,0.755478759341098,1.50485923310023e-05,0.00334573191224866
"Training_PLA","GO Slim",4,3,1,1.82952893430218,0.901756397207244,2.0337876017404,1.83054557609943e-08,9.95749424202203e-05
"Training_PLA","GO:BP",37,23,14,1.81820402062049,0.569941615764475,2.0082231137116,5.83462297317485e-10,0.0137723585562839
"Training_PLA","Hallmark",6,1,5,-1.86301887147713,-1.16883952271445,1.78093395780747,3.21497758609224e-11,0.00742312850377253
"Training_PLA","KEGG",14,6,8,-1.78985562225559,-0.0442322838222388,2.11874432599112,1.16434241698863e-06,0.046716632298357
"Training_PLA","Reactome",24,9,15,-1.8520606180668,-0.371095182614182,2.04232596158189,3.73857569517785e-13,0.0270256440650307
