condition,model,contrast,n_proteins,n_samples,within_cor,FDR_0.05_up,FDR_0.05_down,FDR_0.10_up,FDR_0.10_down,Pi_0.05_up,Pi_0.05_down,P_0.05_up,P_0.05_down,P_0.01_up,P_0.01_down
All_samples,CR,Baseline_Supplement,2542,31,0.0951,0,0,0,0,251,57,456,63,87,6
Outliers_removed,CR,Baseline_Supplement,2542,28,0.2229,0,0,0,0,46,28,121,48,7,2
All_samples,CR,Supplement_Interaction,2542,31,0.0951,0,0,0,0,67,323,51,314,3,41
Outliers_removed,CR,Supplement_Interaction,2542,28,0.2229,0,0,0,0,30,103,34,129,4,21
All_samples,CR,Training_CRE,2542,31,0.0951,0,0,1,0,10,73,28,168,5,15
Outliers_removed,CR,Training_CRE,2542,28,0.2229,0,0,0,0,17,6,44,33,11,1
All_samples,CR,Training_PLA,2542,31,0.0951,0,0,0,0,106,33,166,45,23,6
Outliers_removed,CR,Training_PLA,2542,28,0.2229,0,0,0,0,46,9,129,37,23,5
All_samples,CRvH,Cancer_vs_Healthy,2542,41,0.0819,599,293,690,439,549,239,705,450,534,226
Outliers_removed,CRvH,Cancer_vs_Healthy,2542,38,0.193,544,378,642,553,464,269,648,570,480,279
All_samples,CRvH,Training_CR,2542,41,0.0819,1,0,1,0,7,3,45,41,8,1
Outliers_removed,CRvH,Training_CR,2542,38,0.193,0,0,0,0,11,0,75,26,22,0
