"Model","Contrast","FDR_full","FDR_reduced","Pi_full","Pi_reduced","Pearson_r","Spearman_rho"
"CRvH","Cancer_vs_Healthy",822,729,582,517,0.990892984591436,0.982377476038711
"CRvH","Training_CR",3,3,44,33,0.920053455794958,0.89192041045207
"CR","Baseline_Supplement",4,0,216,112,0.929110972769348,0.916137405812381
"CR","Training_CRE",2,0,74,72,0.946067621757696,0.924750739704118
"CR","Training_PLA",1,2,181,124,0.935825818728944,0.923672692470265
"CR","Supplement_Interaction",1,1,283,171,0.94906581154503,0.94346585137819
