pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5.323681180798985e-8,1.8632884132796448e-6,1.6837088388214905,74,148,,Hallmark,2.5685884691848906,Concordant Up,OXPHOS,5.729719916631003,TRUE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,5.603386512443697e-5,1.6901929568107317e-4,2.0204506065857886,24,40,,KEGG,3.661844484629295,Concordant Up,Reference Electron Transfer In Complex I,3.7720637123715446,TRUE
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,5.633976522702439e-5,1.6901929568107317e-4,1.9344739850289463,27,47,,KEGG,3.303818181818182,Concordant Up,Reference Mitochondrial Complex Ucp1 In Thermogenesis,3.7720637123715446,TRUE
REACTOME_STRIATED_MUSCLE_CONTRACTION,8.05528632870408e-7,2.569636338856602e-4,2.5255632582322356,21,28,,Reactome,7.33273381294964,Concordant Up,Striated Muscle Contraction,3.590128334724209,TRUE
GOBP_MUSCLE_CELL_DIFFERENTIATION,1.8616032378430884e-6,0.0015100664229141267,1.6565522446469503,61,124,,GO:BP,2.4450289159591487,Concordant Up,Muscle Cell Differentiation,2.821003949083873,TRUE
GOBP_POLYOL_METABOLIC_PROCESS,6.1970350415994584e-6,0.005998729920268276,2.7014250955856793,16,21,,GO:BP,8.360902255639099,Concordant Down,Polyol Metabolic Process,2.2219406907842543,TRUE
GOBP_ALCOHOL_METABOLIC_PROCESS,6.965058240780961e-5,0.02537956200543609,1.772810218978102,35,70,,GO:BP,2.651072124756335,Concordant Down,Alcohol Metabolic Process,1.5955158771295541,TRUE
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,7.880497322120772e-5,0.02537956200543609,2.31829028635598,17,26,,GO:BP,4.930320150659134,Concordant Down,Alcohol Biosynthetic Process,1.5955158771295541,TRUE
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT,1.0818317998213578e-4,0.02537956200543609,2.1731222039086413,19,31,,GO:BP,4.139413988657845,Concordant Down,Regulation Of Peptide Transport,1.5955158771295541,TRUE
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.0012907071938016604,0.16788749087731275,1.5042026100420263,42,99,,GO:BP,1.9484085708342,Concordant Down,Sulfur Compound Metabolic Process,0.7749816614875721,FALSE
REACTOME_DENGUE_VIRUS_HOST_INTERACTIONS,2.7922841066181875e-4,0.03142266285288323,2.0393111015695813,22,51,,Reactome,2.931123127382324,Discordant (CRE up/PLA down),Dengue Virus Host Interactions,1.5027570142893336,TRUE
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,3.5653918427257426e-4,0.03142266285288323,1.8384698567180318,28,72,,Reactome,2.4723474958461904,Discordant (CRE up/PLA down),Srp Dependent Cotranslational Protein Targeting To Membrane,1.5027570142893336,TRUE
REACTOME_MRNA_SPLICING,3.6980681418219717e-4,0.03142266285288323,2.1819202695115103,18,39,,Reactome,3.295528898582334,Discordant (CRE up/PLA down),Mrna Splicing,1.5027570142893336,TRUE
REACTOME_MRNA_POLYADENYLATION,3.94014581227376e-4,0.03142266285288323,2.2921182629211825,16,33,,Reactome,3.6098287416232315,Discordant (CRE up/PLA down),Mrna Polyadenylation,1.5027570142893336,TRUE
REACTOME_TRANSLATION,0.0018076240017343371,0.08237600807903622,1.4061263959074177,58,195,,Reactome,1.6730423274952957,Discordant (CRE up/PLA down),Translation,1.0841992576727868,FALSE
REACTOME_REGULATION_OF_TP53_ACTIVITY,9.68531859616638e-5,0.03089616632177075,2.8209738664284116,13,22,,Reactome,5.598138747884941,Discordant (CRE down/PLA up),Regulation Of Tp53 Activity,1.51009540564285,TRUE
GOBP_REGULATION_OF_PROTEIN_TARGETING,9.68531859616638e-5,0.09375388401089055,2.8209738664284116,13,22,,GO:BP,5.598138747884941,Discordant (CRE down/PLA up),Regulation Of Protein Targeting,1.0280107313916385,FALSE
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,0.002097110789032069,0.22599052150063573,2.2164794664794663,13,28,,Reactome,3.3456852791878173,Discordant (CRE down/PLA up),Myd88 Independent Tlr4 Cascade,0.6459097756592173,FALSE
REACTOME_RAC3_GTPASE_CYCLE,0.0034606246514090958,0.22599052150063573,2.5273883509177626,9,17,,Reactome,4.319095477386934,Discordant (CRE down/PLA up),Rac3 Gtpase Cycle,0.6459097756592173,FALSE
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,0.007614274176995769,0.25530512104420694,1.8186498186498186,16,42,,Reactome,2.3765492819201257,Discordant (CRE down/PLA up),Mitotic G1 Phase And G1 S Transition,0.5929404738015661,FALSE
