gene,uniprot_id,logFC,P.Value,FDR,pi_score,sig_FDR_10,sig_pi_05
MB,P02144,-0.200081384763724,0.179497311861516,0.359526904779216,0.7091708591036776,FALSE,FALSE
CKM,P06732,0.142705603059909,0.140457527451796,0.312326576824018,0.755700827647327,FALSE,FALSE
HBB,NA,NA,NA,NA,NA,NA,NA
HBA1,NA,NA,NA,NA,NA,NA,NA
ALB,NA,NA,NA,NA,NA,NA,NA
