pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOBP_RECEPTOR_INTERNALIZATION,Receptor Internalization,GO:BP,1.697,-1.963,0.1649,0.05495,NS,33
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,P75 Ntr Receptor Mediated Signalling,Reactome,1.788,-1.867,0.06002,0.05764,NS,11
GOBP_PLATELET_AGGREGATION,Platelet Aggregation,GO:BP,1.767,-1.877,0.1231,0.07446,NS,25
GOBP_MEMBRANE_INVAGINATION,Membrane Invagination,GO:BP,1.678,-1.957,0.2007,0.05495,NS,13
GOBP_VACUOLAR_LOCALIZATION,Vacuolar Localization,GO:BP,1.85,-1.732,0.1079,0.1386,NS,10
GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY,Regulation Of Cell Projection Assembly,GO:BP,1.735,-1.844,0.1223,0.07899,NS,40
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,Chaperone Mediated Autophagy,Reactome,1.671,-1.863,0.1254,0.05859,NS,11
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,Leukocyte Mediated Cytotoxicity,GO:BP,1.602,-1.931,0.2376,0.05764,NS,27
GOBP_REGULATION_OF_STEROL_TRANSPORT,Regulation Of Sterol Transport,GO:BP,1.714,-1.813,0.1712,0.09977,NS,15
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,Reactive Nitrogen Species Metabolic Process,GO:BP,1.701,-1.775,0.1701,0.09725,NS,26
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,Scavenging Of Heme From Plasma,Reactome,1.746,-1.708,0.07265,0.08675,NS,19
GOBP_INTERLEUKIN_8_PRODUCTION,Interleukin 8 Production,GO:BP,1.611,-1.834,0.2454,0.09002,NS,16
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Negative Regulation Of Actin Filament Polymerization,GO:BP,1.869,-1.568,0.0712,0.2121,NS,23
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,1.706,-1.721,0.1649,0.1073,NS,29
GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.672,-1.752,0.1954,0.1021,NS,19
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO:BP,1.649,-1.772,0.1643,0.08092,NS,49
GOBP_PLATELET_ACTIVATION,Platelet Activation,GO:BP,1.61,-1.809,0.2246,0.06495,NS,32
GOBP_T_CELL_MEDIATED_CYTOTOXICITY,T Cell Mediated Cytotoxicity,GO:BP,1.478,-1.936,0.3656,0.07949,NS,12
GOBP_CELL_CELL_JUNCTION_ASSEMBLY,Cell Cell Junction Assembly,GO:BP,1.727,-1.681,0.152,0.1372,NS,25
GOBP_QUINONE_METABOLIC_PROCESS,Quinone Metabolic Process,GO:BP,-1.633,1.77,0.2541,0.09831,NS,11
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,Cell Cycle Checkpoint Signaling,GO:BP,-1.694,1.708,0.198,0.1435,NS,17
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION,Cortical Actin Cytoskeleton Organization,GO:BP,1.693,-1.704,0.1876,0.1386,NS,15
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION,Positive Regulation Of Lipid Localization,GO:BP,1.53,-1.86,0.2968,0.07899,NS,22
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,Antigen Processing And Presentation Of Exogenous Antigen,GO:BP,1.521,-1.867,0.3255,0.08712,NS,13
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,Regulation Of Vasculature Development,GO:BP,1.608,-1.768,0.1649,0.06792,NS,54
