"test","comparison","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p","n_CR","n_H"
"unpaired_t_baseline","CR vs H",1.23977676599329,0.232305193695078,16.5937626897047,9.32117647058824,-6.57096059950206,25.2133135406785,NA,17,10
"one_sample_t_delta","CR delta vs 0",0.870561996973002,0.397711940001549,15,0.562500000000002,-0.81470274207485,1.93970274207485,0.306904878557455,16,NA
