quadrant,gene
UU,ABLIM2
UU,SLC41A3
UU,RPL4
UU,ENPP4
UD,AHNAK2
UD,MRC1
UD,RPL35A
UD,SFXN3
UD,LSM8
UD,MRC2
UD,COPE
UD,CKAP4
UD,COL14A1
UD,ELAVL1
UD,EMC2
UD,ADD3
UD,NNMT
UD,OSTF1
UD,SAMHD1
UD,ACTR2
UD,GNAI3
UD,DBN1
UD,GGT5
UD,HNRNPD
UD,CAV2
UD,LIMCH1
UD,CD276
UD,RBMX
UD,HNMT
UD,LRP1
UD,GPNMB
UD,ACTR3
UD,CD248
UD,BASP1
UD,SSR4
UD,FBLN5
UD,RPL23A
UD,NAA10
UD,PCOLCE
UD,RPL14
UD,SEPTIN11
UD,UGDH
UD,VCAN
UD,CD34
UD,NUDCD3
UD,PDIA4
UD,C20orf27
UD,FCGRT
UD,KTN1
UD,ARPC1B
UD,RAB23
UD,ACTN3
UD,COL15A1
UD,SND1
UD,CTSZ
UD,EPS15
UD,GLUD1
UD,TPM4
UD,MTDH
UD,HLA-A
UD,STAT1
UD,PTBP1
UD,NAGK
UD,ARF1
UD,CORO1C
UD,MXRA7
UD,FAM120A
UD,PTMS
UD,GNA11
UD,HDLBP
UD,PDIA3
UD,CLTC
UD,ARHGAP1
UD,KRT8
UD,TNPO1
UD,LDHA
UD,HSP90B1
UD,CASP3
UD,HSPA5
UD,HNRNPDL
UD,CD58
UD,GSN
UD,PRDX4
UD,RPL36
UD,PRKCSH
UD,CACYBP
UD,CALR
UD,BCAP29
UD,PTGIS
UD,SSB
UD,CBR1
UD,BTF3
UD,RUVBL1
UD,CHORDC1
UD,BCAP31
UD,SPARC
UD,ZYX
UD,RPL10A
UD,F13A1
UD,COL6A1
UD,PGRMC1
UD,ALYREF
UD,SEPTIN2
UD,MYH10
UD,KCTD12
UD,RUVBL2
UD,AP2B1
UD,MYH9
UD,RANGAP1
UD,SH3BGRL
UD,COL6A2
UD,HSP90AA1
UD,FABP5
UD,APOD
UD,ARF4
UD,LUM
UD,DECR1
UD,PEPD
UD,YWHAQ
