quadrant,max_neg_log10_pvalue,n_hotspot_genes,n_ora_pathways,matrix_rows,matrix_cols,n_shared_genes
Concordant_Up,1.33,4,0,123,123,2401
Concordant_Down,3.38,0,0,123,123,2401
Discordant_CREUp_PLADown,19.42,579,136,123,123,2401
Discordant_CREDown_PLAUp,16.99,593,4,123,123,2401
