gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
SNTB1,-0.4277,0.1572,0.430975,0.897779,NS,Discordant (Cancer Down / Training Up),FALSE
SCAMP3,0.2436,-0.3409,0.753825,0.4841,NS,Discordant (Cancer Up / Training Down),TRUE
ETF1,-0.3808,0.2032,0.235909,0.67169,NS,Discordant (Cancer Down / Training Up),TRUE
TPD52L2,0.4336,-0.1504,0.343426,0.889571,NS,Discordant (Cancer Up / Training Down),FALSE
NAA50,-0.209,-0.375,0.721227,0.246226,NS,Concordant Down,TRUE
ROMO1,-0.3748,-0.2088,0.556384,0.86461,NS,Concordant Down,TRUE
RAB7A,0.3656,-0.2178,0.213804,0.562462,NS,Discordant (Cancer Up / Training Down),FALSE
GLUD1,0.4527,0.1305,0.230481,0.902952,NS,Concordant Up,FALSE
TMEM205,-0.5164,0.0659,0.131189,0.977469,NS,Discordant (Cancer Down / Training Up),TRUE
MDH2,-0.3733,0.2088,0.32538,0.694617,NS,Discordant (Cancer Down / Training Up),FALSE
DNAJA4,-0.3825,0.1994,0.433614,0.792179,NS,Discordant (Cancer Down / Training Up),TRUE
GPS1,-0.5185,0.0629,0.1301,0.979643,NS,Discordant (Cancer Down / Training Up),FALSE
GLOD4,0.4106,-0.17,0.144339,0.741785,NS,Discordant (Cancer Up / Training Down),FALSE
C12orf57,-0.4682,0.1123,0.259729,0.949327,NS,Discordant (Cancer Down / Training Up),TRUE
COX4I1,-0.3152,0.2648,0.495606,0.543646,NS,Discordant (Cancer Down / Training Up),FALSE
IVD,-0.4583,0.1209,0.261425,0.925254,NS,Discordant (Cancer Down / Training Up),FALSE
ERI3,-0.3515,-0.2275,0.439367,0.6842,NS,Concordant Down,TRUE
MAN2C1,-0.2263,-0.3527,0.774888,0.435887,NS,Concordant Down,TRUE
UFM1,0.4898,-0.0887,0.067644,0.941064,NS,Discordant (Cancer Up / Training Down),FALSE
NDUFS2,-0.3241,0.2542,0.600938,0.687619,NS,Discordant (Cancer Down / Training Up),FALSE
BCAM,0.2885,-0.2888,0.612241,0.569366,NS,Discordant (Cancer Up / Training Down),TRUE
HINT2,-0.1659,-0.4113,0.901079,0.341141,NS,Concordant Down,TRUE
ATG7,-0.1424,0.4334,0.920691,0.395138,NS,Discordant (Cancer Down / Training Up),TRUE
CUL1,-0.426,0.1497,0.242167,0.857351,NS,Discordant (Cancer Down / Training Up),TRUE
NPEPL1,-0.5174,-0.057,0.218085,0.987593,NS,Concordant Down,TRUE
PCYT1A,-0.1721,0.4014,0.878,0.293312,NS,Discordant (Cancer Down / Training Up),TRUE
HINT1,0.4389,-0.1344,0.128256,0.855437,NS,Discordant (Cancer Up / Training Down),FALSE
ATAD1,-0.3704,0.2026,0.506335,0.807831,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFS1,-0.2903,0.2824,0.59719,0.529277,NS,Discordant (Cancer Down / Training Up),FALSE
FLOT1,0.5144,-0.058,0.115332,0.981804,NS,Discordant (Cancer Up / Training Down),FALSE
GSPT1,-0.3891,0.183,0.123509,0.658107,NS,Discordant (Cancer Down / Training Up),TRUE
OCIAD1,-0.5237,-0.0482,0.091637,0.987631,NS,Concordant Down,TRUE
PHKG1,-0.4848,0.087,0.329667,0.971558,NS,Discordant (Cancer Down / Training Up),TRUE
PTGES2,-0.4739,0.0976,0.351287,0.963751,NS,Discordant (Cancer Down / Training Up),TRUE
PFKFB2,-0.4732,-0.0982,0.208,0.953312,NS,Concordant Down,TRUE
RAP2B,0.4885,-0.0823,0.319898,0.973078,NS,Discordant (Cancer Up / Training Down),TRUE
PFDN2,-0.537,-0.0332,0.123271,0.994843,NS,Concordant Down,FALSE
FXN,-0.3933,-0.1765,0.385485,0.830349,NS,Concordant Down,TRUE
PPME1,0.451,-0.1181,0.160579,0.908826,NS,Discordant (Cancer Up / Training Down),TRUE
AIFM1,-0.5057,0.063,0.066641,0.973363,NS,Discordant (Cancer Down / Training Up),FALSE
ARIH1,-0.4134,-0.1553,0.292271,0.879942,NS,Concordant Down,TRUE
TNPO1,0.4537,-0.1139,0.26305,0.946893,NS,Discordant (Cancer Up / Training Down),TRUE
TIMM9,0.157,-0.4103,0.910566,0.378899,NS,Discordant (Cancer Up / Training Down),TRUE
AP2B1,0.4068,0.1596,0.202205,0.802256,NS,Concordant Up,FALSE
ME1,-0.3314,-0.2347,0.383193,0.577233,NS,Concordant Down,FALSE
MAPKAPK2,-0.4704,-0.0954,0.173241,0.955162,NS,Concordant Down,TRUE
GCSH,-0.4723,0.0933,0.323269,0.964577,NS,Discordant (Cancer Down / Training Up),FALSE
LRRC40,0.3168,-0.2482,0.552976,0.708541,NS,Discordant (Cancer Up / Training Down),TRUE
NRAP,-0.4418,-0.1226,0.477312,0.950597,NS,Concordant Down,TRUE
METAP2,-0.4865,0.0778,0.14884,0.965735,NS,Discordant (Cancer Down / Training Up),TRUE
DUSP28,-0.3286,0.2332,0.657133,0.816902,NS,Discordant (Cancer Down / Training Up),TRUE
EEF1A2,-0.5411,0.0206,0.078481,0.997808,NS,Discordant (Cancer Down / Training Up),TRUE
IMMT,-0.4037,0.1576,0.361953,0.865169,NS,Discordant (Cancer Down / Training Up),FALSE
AK3,-0.3588,0.2022,0.543328,0.81199,NS,Discordant (Cancer Down / Training Up),FALSE
UBE2K,-0.3924,0.1685,0.179511,0.747897,NS,Discordant (Cancer Down / Training Up),FALSE
TIPRL,0.2808,0.2782,0.614693,0.533792,NS,Concordant Up,FALSE
PRKG1,-0.325,-0.2336,0.652247,0.775962,NS,Concordant Down,TRUE
APPL1,-0.3151,0.2429,0.441341,0.575065,NS,Discordant (Cancer Down / Training Up),TRUE
EIF2S1,-0.4051,0.1528,0.11497,0.767185,NS,Discordant (Cancer Down / Training Up),FALSE
PPP1R1A,0.3653,-0.1912,0.395558,0.782375,NS,Discordant (Cancer Up / Training Down),TRUE
SBDS,-0.4411,0.1144,0.280059,0.93126,NS,Discordant (Cancer Down / Training Up),FALSE
NXN,-0.3796,-0.1758,0.460605,0.854566,NS,Concordant Down,TRUE
NUDT4,-0.1501,0.4053,0.914705,0.319294,NS,Discordant (Cancer Down / Training Up),TRUE
FHL3,-0.3616,-0.1926,0.69034,0.891813,NS,Concordant Down,TRUE
ARL2,-0.3182,0.236,0.567253,0.744904,NS,Discordant (Cancer Down / Training Up),TRUE
DRG2,-0.3424,0.2113,0.626072,0.847434,NS,Discordant (Cancer Down / Training Up),TRUE
SMIM4,-0.4583,-0.0951,0.3496,0.969905,NS,Concordant Down,TRUE
EIF4G1,-0.5149,0.0382,0.050436,0.990376,NS,Discordant (Cancer Down / Training Up),FALSE
SPCS1,0.4157,-0.1368,0.305044,0.905803,NS,Discordant (Cancer Up / Training Down),TRUE
COBL,-0.2365,-0.3159,0.740936,0.473485,NS,Concordant Down,TRUE
HMGB2,0.374,-0.1763,0.532052,0.86105,NS,Discordant (Cancer Up / Training Down),TRUE
SLC25A5,-0.3595,0.1905,0.482278,0.807666,NS,Discordant (Cancer Down / Training Up),FALSE
RBBP4,-0.4327,0.1165,0.302458,0.935837,NS,Discordant (Cancer Down / Training Up),TRUE
FKBP1A,0.3798,-0.1692,0.192518,0.737623,NS,Discordant (Cancer Up / Training Down),FALSE
FAHD1,-0.2172,0.3317,0.826813,0.524,NS,Discordant (Cancer Down / Training Up),TRUE
SPPL2A,-0.3617,-0.1871,0.4581,0.831006,NS,Concordant Down,TRUE
TCAP,0.0574,0.4913,0.992947,0.423238,NS,Concordant Up,TRUE
SYNCRIP,0.2097,0.338,0.683943,0.196817,NS,Concordant Up,FALSE
PRKAR1A,-0.4776,0.0697,0.080731,0.965114,NS,Discordant (Cancer Down / Training Up),FALSE
MGST2,-0.5145,-0.0327,0.274864,0.996537,NS,Concordant Down,TRUE
PRKDC,-0.4933,-0.0536,0.109231,0.984146,NS,Concordant Down,TRUE
COPA,0.298,0.2487,0.461226,0.576703,NS,Concordant Up,TRUE
PPP1CB,-0.2519,0.2935,0.658704,0.450844,NS,Discordant (Cancer Down / Training Up),FALSE
HSD17B4,-0.3954,-0.1499,0.211308,0.826541,NS,Concordant Down,TRUE
TMEM43,0.5259,-0.0189,0.180438,0.998548,NS,Discordant (Cancer Up / Training Down),FALSE
SDHB,-0.449,0.095,0.170112,0.941961,NS,Discordant (Cancer Down / Training Up),FALSE
EIF5,-0.335,0.2086,0.446128,0.710705,NS,Discordant (Cancer Down / Training Up),FALSE
LARS2,-0.3726,0.1704,0.724227,0.94404,NS,Discordant (Cancer Down / Training Up),TRUE
RAB24,-0.3192,0.2238,0.632446,0.827902,NS,Discordant (Cancer Down / Training Up),TRUE
EEF1G,-0.3869,0.1558,0.141995,0.755667,NS,Discordant (Cancer Down / Training Up),FALSE
RASA4,0.2758,-0.2668,0.702239,0.679515,NS,Discordant (Cancer Up / Training Down),TRUE
PABPC4,-0.5403,-0.0022,0.084245,0.999977,NS,Concordant Down,TRUE
COPS5,-0.4076,0.1349,0.119882,0.825948,NS,Discordant (Cancer Down / Training Up),FALSE
ADSS2,-0.3671,0.1752,0.631448,0.895495,NS,Discordant (Cancer Down / Training Up),FALSE
MICU2,-0.2872,-0.2545,0.791228,0.820745,NS,Concordant Down,TRUE
ACADM,-0.426,0.1152,0.332005,0.933454,NS,Discordant (Cancer Down / Training Up),FALSE
LSM8,-0.1402,0.4005,0.927981,0.263231,NS,Discordant (Cancer Down / Training Up),TRUE
SEC23A,-0.3737,0.1669,0.269529,0.781908,NS,Discordant (Cancer Down / Training Up),TRUE
EIF3L,-0.5212,-0.0194,0.129926,0.998239,NS,Concordant Down,FALSE
POLDIP2,0.4668,-0.0734,0.341138,0.981483,NS,Discordant (Cancer Up / Training Down),TRUE
CDC42,0.4644,-0.0757,0.180335,0.967451,NS,Discordant (Cancer Up / Training Down),FALSE
NUBP1,-0.4281,0.1113,0.375562,0.950016,NS,Discordant (Cancer Down / Training Up),TRUE
RPA3,-0.3679,0.1709,0.570298,0.897856,NS,Discordant (Cancer Down / Training Up),TRUE
NTPCR,-0.2971,0.2409,0.70135,0.76003,NS,Discordant (Cancer Down / Training Up),TRUE
IGFBP5,0.3041,0.2336,0.663956,0.743207,NS,Concordant Up,TRUE
PRUNE1,-0.361,-0.1762,0.331719,0.807476,NS,Concordant Down,TRUE
H2BC4,0.3634,-0.1737,0.760802,0.933809,NS,Discordant (Cancer Up / Training Down),FALSE
RABGGTA,-0.4007,0.1362,0.16556,0.853661,NS,Discordant (Cancer Down / Training Up),TRUE
PPP1CC,0.3377,0.1991,0.427168,0.765261,NS,Concordant Up,TRUE
TIMM13,-0.4415,-0.0949,0.40103,0.964833,NS,Concordant Down,TRUE
IRGQ,-0.0176,0.518,0.998974,0.253387,NS,Discordant (Cancer Down / Training Up),TRUE
RAB12,-0.1916,-0.3437,0.767554,0.257731,NS,Concordant Down,TRUE
TSTD1,-0.0095,0.5258,0.999723,0.185483,NS,Discordant (Cancer Down / Training Up),TRUE
HNRNPUL1,0.3172,0.218,0.676985,0.788618,NS,Concordant Up,TRUE
CUL2,-0.258,-0.2769,0.715078,0.599805,NS,Concordant Down,TRUE
EIF5A,0.422,-0.1127,0.152924,0.900366,NS,Discordant (Cancer Up / Training Down),FALSE
NEK7,-0.3634,-0.1712,0.485491,0.850885,NS,Concordant Down,TRUE
PSMD3,-0.3498,0.1847,0.215581,0.653171,NS,Discordant (Cancer Down / Training Up),FALSE
AGK,0.0333,0.5011,0.99631,0.251776,NS,Concordant Up,TRUE
SCP2,0.2327,-0.3016,0.688568,0.397261,NS,Discordant (Cancer Up / Training Down),FALSE
RNF114,-0.3202,-0.2135,0.501814,0.771757,NS,Concordant Down,TRUE
RPL36,-0.3893,-0.1442,0.558045,0.923441,NS,Concordant Down,TRUE
WDFY1,0.3232,0.2101,0.712567,0.857499,NS,Concordant Up,TRUE
PRDX1,0.2781,-0.2551,0.55508,0.531419,NS,Discordant (Cancer Up / Training Down),FALSE
UCHL5,-0.3261,0.207,0.477572,0.787425,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFB7,-0.4501,0.0829,0.386021,0.973785,NS,Discordant (Cancer Down / Training Up),TRUE
ADHFE1,0.1232,0.4094,0.961713,0.486019,NS,Concordant Up,TRUE
EPDR1,-0.4644,-0.0677,0.27732,0.979448,NS,Concordant Down,FALSE
LNPEP,-0.2846,0.2472,0.643281,0.691271,NS,Discordant (Cancer Down / Training Up),TRUE
LRPAP1,0.279,-0.2523,0.71598,0.754302,NS,Discordant (Cancer Up / Training Down),TRUE
ANXA6,0.4166,-0.1135,0.165348,0.899688,NS,Discordant (Cancer Up / Training Down),FALSE
STT3A,0.219,0.3106,0.832184,0.608987,NS,Concordant Up,TRUE
YBX1,-0.2897,0.2397,0.534061,0.59163,NS,Discordant (Cancer Down / Training Up),FALSE
KLHL41,-0.3394,0.1897,0.758702,0.908356,NS,Discordant (Cancer Down / Training Up),TRUE
TNNT1,-0.203,0.3254,0.933281,0.784181,NS,Discordant (Cancer Down / Training Up),TRUE
SHMT2,-0.3435,-0.1846,0.452467,0.815924,NS,Concordant Down,TRUE
NAMPT,-0.1529,0.3751,0.907143,0.358294,NS,Discordant (Cancer Down / Training Up),FALSE
ADK,0.4701,-0.0578,0.091035,0.977509,NS,Discordant (Cancer Up / Training Down),TRUE
TOMM22,-0.272,0.2558,0.696722,0.725511,NS,Discordant (Cancer Down / Training Up),TRUE
APEX1,0.2623,0.2648,0.536268,0.42805,NS,Concordant Up,FALSE
L3HYPDH,-0.2126,-0.3144,0.812707,0.589829,NS,Concordant Down,TRUE
SMIM20,-0.493,0.0332,0.213617,0.995297,NS,Discordant (Cancer Down / Training Up),TRUE
SYNPO,0.3053,0.2191,0.667133,0.813932,NS,Concordant Up,TRUE
SDHA,-0.4759,0.0479,0.131788,0.986603,NS,Discordant (Cancer Down / Training Up),FALSE
PPP2R5A,-0.4583,0.0654,0.219143,0.979536,NS,Discordant (Cancer Down / Training Up),TRUE
NRBP1,-0.1269,0.3967,0.94492,0.499811,NS,Discordant (Cancer Down / Training Up),TRUE
PHKA1,-0.3829,0.1401,0.428089,0.901978,NS,Discordant (Cancer Down / Training Up),TRUE
ATP5PF,-0.3234,0.1987,0.537647,0.7734,NS,Discordant (Cancer Down / Training Up),FALSE
CAMK2G,-0.425,0.097,0.342122,0.955629,NS,Discordant (Cancer Down / Training Up),TRUE
DHTKD1,-0.3211,-0.2009,0.672728,0.867072,NS,Concordant Down,TRUE
PPA1,0.3957,-0.1262,0.204307,0.873682,NS,Discordant (Cancer Up / Training Down),FALSE
IPO7,-0.5075,-0.0133,0.097813,0.999055,NS,Concordant Down,FALSE
SRL,-0.4385,0.0822,0.186629,0.95747,NS,Discordant (Cancer Down / Training Up),TRUE
LIMS3,-0.326,0.1943,0.617967,0.875981,NS,Discordant (Cancer Down / Training Up),TRUE
NPLOC4,-0.3877,0.1314,0.300394,0.885772,NS,Discordant (Cancer Down / Training Up),FALSE
RPS25,0.2934,-0.2256,0.566903,0.671325,NS,Discordant (Cancer Up / Training Down),FALSE
NIBAN1,0.3911,-0.1276,0.314141,0.901181,NS,Discordant (Cancer Up / Training Down),TRUE
PFDN4,-0.4187,0.0999,0.227646,0.935698,NS,Discordant (Cancer Down / Training Up),FALSE
DEK,0.2965,-0.2216,0.475408,0.665141,NS,Discordant (Cancer Up / Training Down),TRUE
TMED7,0.3534,0.1645,0.49817,0.855898,NS,Concordant Up,TRUE
MCEE,-0.4656,0.0522,0.375659,0.991704,NS,Discordant (Cancer Down / Training Up),TRUE
FN3K,0.491,0.0255,0.182517,0.997066,NS,Concordant Up,TRUE
SERBP1,-0.2759,0.2406,0.717999,0.738152,NS,Discordant (Cancer Down / Training Up),TRUE
PRDX6,0.3221,-0.1941,0.418837,0.712526,NS,Discordant (Cancer Up / Training Down),FALSE
PMPCA,-0.148,0.3682,0.911804,0.377848,NS,Discordant (Cancer Down / Training Up),TRUE
RUVBL2,0.2359,0.2792,0.768563,0.600307,NS,Concordant Up,FALSE
UBQLN1,-0.4857,-0.0294,0.094063,0.994925,NS,Concordant Down,TRUE
ADH5,0.337,-0.1776,0.459224,0.800028,NS,Discordant (Cancer Up / Training Down),FALSE
APRT,0.3651,0.1486,0.458141,0.882971,NS,Concordant Up,FALSE
ITGA7,0.2865,-0.2272,0.494749,0.587664,NS,Discordant (Cancer Up / Training Down),FALSE
CAB39,-0.3608,0.1521,0.470388,0.877754,NS,Discordant (Cancer Down / Training Up),TRUE
TACC2,-0.1081,-0.4048,0.935261,0.179815,NS,Concordant Down,TRUE
PALMD,0.1736,-0.3388,0.880324,0.510467,NS,Discordant (Cancer Up / Training Down),TRUE
RPL6,0.3111,0.2012,0.473829,0.707748,NS,Concordant Up,FALSE
MAP2K3,-0.4761,0.036,0.306977,0.995063,NS,Discordant (Cancer Down / Training Up),TRUE
MME,0.3596,-0.1523,0.439484,0.868125,NS,Discordant (Cancer Up / Training Down),TRUE
MGST3,-0.4033,0.108,0.398555,0.944267,NS,Discordant (Cancer Down / Training Up),FALSE
RPLP2,0.4974,0.0139,0.212554,0.999202,NS,Concordant Up,FALSE
TKFC,0.3215,-0.1896,0.429572,0.751811,NS,Discordant (Cancer Up / Training Down),TRUE
PRMT5,-0.4096,-0.1005,0.18221300000000001,0.923884,NS,Concordant Down,FALSE
NPTN,0.3766,-0.1335,0.710196,0.960845,NS,Discordant (Cancer Up / Training Down),TRUE
HADH,0.2547,-0.255,0.542311,0.441658,NS,Discordant (Cancer Up / Training Down),FALSE
GRPEL1,-0.1425,0.3671,0.938882,0.64836,NS,Discordant (Cancer Down / Training Up),TRUE
ATP5PB,-0.3176,0.1918,0.564947,0.796576,NS,Discordant (Cancer Down / Training Up),FALSE
JAGN1,-0.4319,-0.077,0.227476,0.970554,NS,Concordant Down,TRUE
TRIM28,-0.3679,-0.1405,0.486584,0.934059,NS,Concordant Down,TRUE
QARS1,-0.4075,0.1007,0.301681,0.942082,NS,Discordant (Cancer Down / Training Up),TRUE
COMTD1,-0.2397,0.2678,0.868315,0.815977,NS,Discordant (Cancer Down / Training Up),TRUE
GANAB,0.4543,0.0523,0.209101,0.985528,NS,Concordant Up,FALSE
CIRBP,-0.4465,0.0599,0.110887,0.974162,NS,Discordant (Cancer Down / Training Up),FALSE
HCCS,-0.268,-0.2382,0.692719,0.717707,NS,Concordant Down,TRUE
NARS1,-0.3265,0.1794,0.208241,0.61966,NS,Discordant (Cancer Down / Training Up),FALSE
MYO18A,-0.1757,0.3301,0.870462,0.493132,NS,Discordant (Cancer Down / Training Up),TRUE
MTCH1,0.4501,0.0545,0.219361,0.986475,NS,Concordant Up,TRUE
YWHAE,0.3211,-0.1824,0.414694,0.742452,NS,Discordant (Cancer Up / Training Down),FALSE
ABCE1,-0.1809,0.3223,0.781863,0.268101,NS,Discordant (Cancer Down / Training Up),FALSE
PIN1,-0.2932,-0.2097,0.463485,0.643143,NS,Concordant Down,TRUE
VAPB,-0.2598,0.2427,0.690085,0.661219,NS,Discordant (Cancer Down / Training Up),FALSE
PLIN3,-0.3104,0.191,0.404066,0.691,NS,Discordant (Cancer Down / Training Up),FALSE
GET4,0.0353,0.4661,0.99621,0.287811,NS,Concordant Up,TRUE
SLC25A12,-0.3444,0.1567,0.55094,0.883216,NS,Discordant (Cancer Down / Training Up),TRUE
SGCD,-0.4754,0.0252,0.209918,0.99708,NS,Discordant (Cancer Down / Training Up),FALSE
PTPN11,0.4307,-0.0689,0.100848,0.961253,NS,Discordant (Cancer Up / Training Down),FALSE
CHP1,-0.4409,0.0585,0.175455,0.979579,NS,Discordant (Cancer Down / Training Up),TRUE
CHMP3,0.2641,-0.2331,0.774931,0.793806,NS,Discordant (Cancer Up / Training Down),TRUE
STAT5B,-0.2878,-0.2094,0.345119,0.522588,NS,Concordant Down,FALSE
STK24,0.2983,-0.1977,0.654012,0.853998,NS,Discordant (Cancer Up / Training Down),TRUE
VPS35,0.2745,0.2214,0.649243,0.711516,NS,Concordant Up,FALSE
PFDN6,-0.4663,-0.0287,0.123896,0.995095,NS,Concordant Down,FALSE
HNRNPL,0.4822,-0.0124,0.212224,0.999327,NS,Discordant (Cancer Up / Training Down),TRUE
HLA-A,0.4014,0.0932,0.37169,0.956392,NS,Concordant Up,FALSE
PDZK1IP1,0.1729,0.3214,0.950235,0.751206,NS,Concordant Up,TRUE
PRKCQ,-0.381,-0.113,0.321875,0.931835,NS,Concordant Down,TRUE
AARSD1,-0.3705,-0.123,0.441251,0.921312,NS,Concordant Down,TRUE
USP15,0.4565,0.0368,0.304426,0.994355,NS,Concordant Up,FALSE
SNRPD1,-0.4528,0.0402,0.474565,0.994654,NS,Discordant (Cancer Down / Training Up),TRUE
RPS4X,-0.3411,0.1511,0.240452,0.770962,NS,Discordant (Cancer Down / Training Up),FALSE
SEC24C,-0.3475,0.1445,0.254194,0.812684,NS,Discordant (Cancer Down / Training Up),TRUE
GSS,0.4291,-0.0624,0.176671,0.974622,NS,Discordant (Cancer Up / Training Down),FALSE
VDAC2,-0.2582,0.2331,0.563037,0.552223,NS,Discordant (Cancer Down / Training Up),FALSE
RTN4IP1,-0.4198,0.0714,0.417847,0.981867,NS,Discordant (Cancer Down / Training Up),TRUE
SGCB,-0.3173,-0.1736,0.538256,0.82901,NS,Concordant Down,TRUE
PDCL3,0.0046,0.4862,0.999903,0.175926,NS,Concordant Up,TRUE
ARF6,-0.0656,0.425,0.985492,0.303149,NS,Discordant (Cancer Down / Training Up),TRUE
CCDC93,-0.2346,0.2551,0.902051,0.815468,NS,Discordant (Cancer Down / Training Up),TRUE
DYNLL1,-0.4139,-0.0757,0.309558,0.969806,NS,Concordant Down,FALSE
RPS24,-0.2287,0.2597,0.650477,0.469022,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFS7,-0.2909,0.1974,0.750825,0.861458,NS,Discordant (Cancer Down / Training Up),TRUE
RPS6KA3,-0.4352,0.0527,0.267105,0.985968,NS,Discordant (Cancer Down / Training Up),TRUE
MAPRE2,-0.369,0.1184,0.505311,0.93816,NS,Discordant (Cancer Down / Training Up),TRUE
CACNA2D1,-0.4245,-0.0628,0.181411,0.974073,NS,Concordant Down,FALSE
LZIC,0.2612,0.2252,0.522516,0.563434,NS,Concordant Up,TRUE
JPT2,-0.1594,0.3268,0.857082,0.394387,NS,Discordant (Cancer Down / Training Up),TRUE
LDHD,-0.4843,0.0017,0.49865,0.999993,NS,Discordant (Cancer Down / Training Up),TRUE
SPAG7,-0.3792,-0.1065,0.341841,0.940724,NS,Concordant Down,TRUE
USP47,-0.479,0.006,0.156077,0.999843,NS,Discordant (Cancer Down / Training Up),TRUE
MTARC2,0.3345,-0.1495,0.470988,0.877169,NS,Discordant (Cancer Up / Training Down),TRUE
SEC22B,0.4591,0.0248,0.090572,0.995899,NS,Concordant Up,FALSE
HARS1,-0.4699,-0.0137,0.062221,0.998709,NS,Concordant Down,FALSE
GABARAPL2,-0.3435,0.1398,0.512699,0.905791,NS,Discordant (Cancer Down / Training Up),TRUE
ECHDC2,-0.1697,0.313,0.914375,0.706133,NS,Discordant (Cancer Down / Training Up),TRUE
USP5,0.3322,-0.1495,0.2497,0.768682,NS,Discordant (Cancer Up / Training Down),FALSE
RUVBL1,0.3896,0.092,0.503207,0.964446,NS,Concordant Up,TRUE
RAB18,-0.3462,-0.135,0.395581,0.881607,NS,Concordant Down,TRUE
TACO1,-0.3766,-0.1041,0.597171,0.965287,NS,Concordant Down,TRUE
GSTO1,0.3892,-0.0908,0.379698,0.956923,NS,Discordant (Cancer Up / Training Down),FALSE
YWHAH,0.3155,0.1645,0.314096,0.729968,NS,Concordant Up,FALSE
STK38L,-0.4461,0.0331,0.337661,0.996317,NS,Discordant (Cancer Down / Training Up),TRUE
DAZAP1,0.3216,-0.1573,0.513918,0.862264,NS,Discordant (Cancer Up / Training Down),TRUE
GRSF1,-0.3107,0.1672,0.661859,0.904624,NS,Discordant (Cancer Down / Training Up),TRUE
DNAJC19,-0.2662,0.2108,0.8054,0.873645,NS,Discordant (Cancer Down / Training Up),TRUE
MYH13,0.268,0.2088,0.883145,0.915106,NS,Concordant Up,TRUE
SEC31A,0.2783,0.198,0.66242,0.789182,NS,Concordant Up,TRUE
SPR,0.1834,0.2926,0.878974,0.613485,NS,Concordant Up,FALSE
SRSF7,0.1529,0.3227,0.938643,0.636,NS,Concordant Up,TRUE
HDHD2,0.2446,-0.2306,0.690691,0.667742,NS,Discordant (Cancer Up / Training Down),TRUE
GAMT,-0.4405,0.0331,0.340055,0.995528,NS,Discordant (Cancer Down / Training Up),TRUE
C1QBP,-0.4061,0.067,0.191943,0.968381,NS,Discordant (Cancer Down / Training Up),FALSE
UBE3C,-0.4162,-0.0564,0.243433,0.984298,NS,Concordant Down,TRUE
USP24,-0.3948,-0.0776,0.134429,0.951459,NS,Concordant Down,TRUE
BCKDHB,0.2612,-0.2108,0.800288,0.844725,NS,Discordant (Cancer Up / Training Down),TRUE
ETFRF1,0.0601,-0.4118,0.990282,0.469758,NS,Discordant (Cancer Up / Training Down),TRUE
GFM1,-0.4572,-0.0145,0.191368,0.99897,NS,Concordant Down,TRUE
ATP2B2,-0.101,-0.3695,0.96068,0.405481,NS,Concordant Down,TRUE
PRKCD,0.0624,-0.4074,0.988625,0.477237,NS,Discordant (Cancer Up / Training Down),TRUE
UBE2D3,-0.1482,0.3215,0.917926,0.518014,NS,Discordant (Cancer Down / Training Up),FALSE
UQCC1,-0.2614,-0.2083,0.820699,0.902228,NS,Concordant Down,TRUE
NDUFB8,-0.2421,0.2275,0.829557,0.820043,NS,Discordant (Cancer Down / Training Up),TRUE
DLD,-0.4565,0.0129,0.096558,0.99894,NS,Discordant (Cancer Down / Training Up),FALSE
FERMT2,0.3833,-0.0849,0.261617,0.950071,NS,Discordant (Cancer Up / Training Down),FALSE
UQCRC1,-0.2512,0.2165,0.682686,0.703503,NS,Discordant (Cancer Down / Training Up),FALSE
RIDA,-0.4085,-0.0592,0.306756,0.981445,NS,Concordant Down,FALSE
NACA,-0.406,-0.0613,0.185699,0.973431,NS,Concordant Down,FALSE
HNRNPH3,0.4211,-0.046,0.304811,0.989697,NS,Discordant (Cancer Up / Training Down),TRUE
CALR,0.4493,-0.0172,0.160907,0.998333,NS,Discordant (Cancer Up / Training Down),FALSE
CLYBL,0.4154,-0.0511,0.71738,0.995471,NS,Discordant (Cancer Up / Training Down),TRUE
ST13,0.3854,-0.081,0.182122,0.945921,NS,Discordant (Cancer Up / Training Down),FALSE
MYCBP,0.2071,-0.2593,0.804397,0.694984,NS,Discordant (Cancer Up / Training Down),TRUE
RPL12,0.3513,0.1147,0.415351,0.919626,NS,Concordant Up,FALSE
FUS,0.4215,-0.0443,0.143372,0.986201,NS,Discordant (Cancer Up / Training Down),FALSE
RPS27A,0.2613,-0.203,0.73205,0.79821,NS,Discordant (Cancer Up / Training Down),FALSE
CD99L2,-0.0676,-0.3966,0.97539,0.225593,NS,Concordant Down,TRUE
CAP2,-0.3587,0.1054,0.479601,0.94449,NS,Discordant (Cancer Down / Training Up),FALSE
MT-CO1,0.2041,-0.2598,0.89514,0.810241,NS,Discordant (Cancer Up / Training Down),TRUE
SFXN1,-0.2136,0.2502,0.731278,0.564328,NS,Discordant (Cancer Down / Training Up),TRUE
ALDH6A1,-0.1511,-0.3121,0.920929,0.572769,NS,Concordant Down,FALSE
TSNAX,3e-4,-0.4628,1,0.053999,NS,Discordant (Cancer Up / Training Down),TRUE
LSM6,0.4325,0.0302,0.170556,0.994238,NS,Concordant Up,TRUE
MRRF,0.004,0.4585,0.999949,0.386656,NS,Concordant Up,TRUE
PPP2CA,-0.3564,0.1058,0.253305,0.90525,NS,Discordant (Cancer Down / Training Up),FALSE
