gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
ANP32E,0.3929,0.747,0.716454,0.1301,NS,Concordant Up,TRUE
RPL24,0.6249,-0.5131,0.084859,0.176749,NS,Discordant (Cancer Up / Training Down),TRUE
MYL6B,-0.82,0.3122,0.200505,0.804296,NS,Discordant (Cancer Down / Training Up),TRUE
MYH8,-0.558,0.5652,0.530922,0.463034,NS,Discordant (Cancer Down / Training Up),TRUE
SNX9,0.7628,-0.3592,0.117371,0.657949,NS,Discordant (Cancer Up / Training Down),TRUE
GSTM4,0.6989,-0.422,0.353769,0.682742,NS,Discordant (Cancer Up / Training Down),TRUE
TMOD4,-0.1561,0.9635,0.957908,0.053464,NS,Discordant (Cancer Down / Training Up),TRUE
SERPINA5,0.8535,-0.2628,0.312489,0.782081,NS,Discordant (Cancer Up / Training Down),TRUE
FLNC,-0.651,0.4514,0.124799,0.323676,NS,Discordant (Cancer Down / Training Up),TRUE
TNNT3,0.3717,0.7287,0.760313,0.182997,NS,Concordant Up,TRUE
DYNLT1,-0.5642,0.5362,0.210931,0.207977,NS,Discordant (Cancer Down / Training Up),TRUE
S100A16,0.6269,-0.4647,0.555394,0.364914,NS,Discordant (Cancer Up / Training Down),TRUE
CUL4A,-0.7187,0.3696,0.051045,0.461585,NS,Discordant (Cancer Down / Training Up),TRUE
AGL,-0.6778,0.3994,0.12230100000000001,0.463317,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFA13,-0.4982,0.5718,0.353641,0.144706,NS,Discordant (Cancer Down / Training Up),FALSE
COL15A1,0.5029,0.5662,0.441659,0.298885,NS,Concordant Up,TRUE
EML4,-0.4342,0.6344,0.661613,0.385093,NS,Discordant (Cancer Down / Training Up),TRUE
UBA5,0.9706,-0.0959,0.057222,0.976289,NS,Discordant (Cancer Up / Training Down),TRUE
AUH,-0.616,0.4491,0.134077,0.310906,NS,Discordant (Cancer Down / Training Up),TRUE
SNU13,-0.719,0.3448,0.074346,0.599809,NS,Discordant (Cancer Down / Training Up),TRUE
TTN,0.4887,0.5747,0.584482,0.36186,NS,Concordant Up,TRUE
CSRP2,0.7257,-0.3353,0.362481,0.789339,NS,Discordant (Cancer Up / Training Down),TRUE
TUBA8,-0.7273,0.3232,0.134623,0.682893,NS,Discordant (Cancer Down / Training Up),FALSE
ALDH2,0.7067,-0.3434,0.069448,0.542801,NS,Discordant (Cancer Up / Training Down),FALSE
SLC25A42,-0.3321,0.7163,0.745196,0.143683,NS,Discordant (Cancer Down / Training Up),TRUE
PDLIM3,-0.7167,0.3268,0.076826,0.602489,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFB1,-0.4529,0.5868,0.349931,0.077224,NS,Discordant (Cancer Down / Training Up),TRUE
FXYD1,-0.5578,-0.4804,0.204808,0.265391,NS,Concordant Down,TRUE
MYBPC2,0.9152,-0.1196,0.107401,0.971192,NS,Discordant (Cancer Up / Training Down),TRUE
HYI,1.0266,0.0076,0.185197,0.999892,NS,Concordant Up,TRUE
CD151,0.9058,-0.1275,0.514629,0.981666,NS,Discordant (Cancer Up / Training Down),TRUE
SYNM,0.3622,0.6704,0.653674,0.099984,NS,Concordant Up,TRUE
RRBP1,0.5882,-0.4423,0.735128,0.641183,NS,Discordant (Cancer Up / Training Down),TRUE
MRPL1,0.3758,-0.6515,0.519095,0.064961,NS,Discordant (Cancer Up / Training Down),TRUE
RHOC,0.6889,0.338,0.088765,0.55359100000000006,NS,Concordant Up,TRUE
CTBP1,-0.4294,0.5941,0.264744,0.057264,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFS4,-0.6349,0.3848,0.148563,0.473514,NS,Discordant (Cancer Down / Training Up),TRUE
COL4A2,0.9589,-0.0556,0.112575,0.994849,NS,Discordant (Cancer Up / Training Down),TRUE
NDUFB9,-0.6197,0.393,0.14537,0.438228,NS,Discordant (Cancer Down / Training Up),TRUE
CLIC2,0.7835,0.2283,0.066197,0.837834,NS,Concordant Up,TRUE
MAOA,0.5356,-0.4697,0.210364,0.221956,NS,Discordant (Cancer Up / Training Down),FALSE
HHATL,-0.4362,-0.5676,0.447113,0.150152,NS,Concordant Down,TRUE
CKAP4,0.7064,0.2922,0.376469,0.795556,NS,Concordant Up,TRUE
NDUFA8,-0.5839,0.4126,0.164878,0.367355,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFAF5,-0.2776,0.7117,0.723233,0.078356,NS,Discordant (Cancer Down / Training Up),TRUE
UBE2D1,-0.5457,-0.4422,0.25527300000000003,0.36306,NS,Concordant Down,TRUE
ATP5IF1,0.2636,-0.7232,0.940912,0.475041,NS,Discordant (Cancer Up / Training Down),TRUE
PAIP1,0.402,-0.5833,0.594441,0.243245,NS,Discordant (Cancer Up / Training Down),TRUE
GMFG,0.7907,-0.1942,0.269689,0.918051,NS,Discordant (Cancer Up / Training Down),TRUE
SMS,-0.4945,0.4875,0.254708,0.193607,NS,Discordant (Cancer Down / Training Up),TRUE
MRPS17,-0.6938,-0.287,0.175223,0.767255,NS,Concordant Down,TRUE
MAPK9,-0.6185,0.3573,0.104994,0.51757,NS,Discordant (Cancer Down / Training Up),TRUE
GMFB,0.5341,0.4397,0.337068,0.434945,NS,Concordant Up,TRUE
PUF60,-0.4809,0.491,0.344773,0.308522,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFA3,-0.5738,0.3977,0.426832,0.65134,NS,Discordant (Cancer Down / Training Up),TRUE
MAPK12,-0.4248,-0.5426,0.401505,0.118723,NS,Concordant Down,TRUE
EMC2,-0.5462,0.4193,0.227423,0.522093,NS,Discordant (Cancer Down / Training Up),TRUE
THEM6,-0.7621,0.2024,0.315669,0.935391,NS,Discordant (Cancer Down / Training Up),TRUE
BDH1,-0.871,-0.0906,0.064188,0.978431,NS,Concordant Down,TRUE
ACSL4,0.4502,-0.5102,0.75746,0.350746,NS,Discordant (Cancer Up / Training Down),TRUE
NRP1,0.589,-0.3713,0.166942,0.484451,NS,Discordant (Cancer Up / Training Down),TRUE
ATE1,0.4015,0.5559,0.639561,0.360329,NS,Concordant Up,TRUE
UBE2F,-0.4532,0.5022,0.439977,0.287647,NS,Discordant (Cancer Down / Training Up),TRUE
