gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
CES1,1.8825,-1.1674,0.103066,0.074905,NS,Discordant (Cancer Up / TR Down),TRUE
PC,1.4321,-0.8763,0.10264,0.103511,NS,Discordant (Cancer Up / TR Down),TRUE
CLTA,1.3624,-0.9251,0.133658,0.141547,NS,Discordant (Cancer Up / TR Down),TRUE
FUNDC1,0.6652,1.1957,0.590119,0.176796,NS,Concordant Up,TRUE
ACTC1,1.2258,0.5944,0.078829,0.602154,NS,Concordant Up,TRUE
BCS1L,0.9123,0.8797,0.161697,0.148444,NS,Concordant Up,TRUE
MYBPH,0.873,0.9022,0.249527,0.116115,NS,Concordant Up,TRUE
CTSH,1.2687,0.4489,0.073651,0.582087,NS,Concordant Up,TRUE
TMEM230,-0.6603,1.0218,0.280776,0.065474,NS,Discordant (Cancer Down / TR Up),TRUE
BCO2,-0.894,0.7531,0.093851,0.227167,NS,Discordant (Cancer Down / TR Up),TRUE
COL4A1,1.088,-0.5351,0.084486,0.554016,NS,Discordant (Cancer Up / TR Down),TRUE
LYVE1,1.3539,0.2208,0.100047,0.884158,NS,Concordant Up,TRUE
PTGIS,1.4242,0.1464,0.094284,0.952481,NS,Concordant Up,TRUE
MYH2,-0.968,0.5979,0.094211,0.376463,NS,Discordant (Cancer Down / TR Up),TRUE
C6orf136,0.5693,0.9792,0.507924,0.059954,NS,Concordant Up,TRUE
CSTA,1.11,-0.4316,0.05673,0.490733,NS,Discordant (Cancer Up / TR Down),TRUE
UGDH,1.311,0.2106,0.099789,0.886838,NS,Concordant Up,TRUE
CD151,1.1356,-0.3594,0.279185,0.828474,NS,Discordant (Cancer Up / TR Down),TRUE
HMGCS2,0.663,-0.8272,0.386988,0.137898,NS,Discordant (Cancer Up / TR Down),TRUE
ABHD5,0.9417,-0.5428,0.185395,0.439107,NS,Discordant (Cancer Up / TR Down),TRUE
ACTN3,1.1527,0.2978,0.076746,0.860763,NS,Concordant Up,TRUE
MYL3,-1.0589,0.3728,0.051936,0.719005,NS,Discordant (Cancer Down / TR Up),FALSE
DERA,0.8615,-0.57,0.090892,0.16483,NS,Discordant (Cancer Up / TR Down),TRUE
ATRN,1.2999,-0.1131,0.103309,0.967562,NS,Discordant (Cancer Up / TR Down),TRUE
RPL36AL,-0.8422,-0.57,0.183604,0.390367,NS,Concordant Down,TRUE
LGMN,0.9944,0.3835,0.138411,0.610312,NS,Concordant Up,TRUE
ACTN1,0.9777,0.3448,0.109554,0.775494,NS,Concordant Up,FALSE
NNMT,-0.7001,0.6061,0.2557,0.219945,NS,Discordant (Cancer Down / TR Up),TRUE
COL14A1,0.4659,0.84,0.838818,0.106587,NS,Concordant Up,TRUE
ARL1,0.7515,-0.554,0.265583,0.430768,NS,Discordant (Cancer Up / TR Down),TRUE
PFAS,1.0317,-0.2734,0.170836,0.76969,NS,Discordant (Cancer Up / TR Down),TRUE
PVALB,0.93,-0.3714,0.175565,0.781713,NS,Discordant (Cancer Up / TR Down),TRUE
GMFG,0.9402,-0.3545,0.126767,0.714283,NS,Discordant (Cancer Up / TR Down),TRUE
SELENOP,0.9148,-0.3723,0.256956,0.638739,NS,Discordant (Cancer Up / TR Down),TRUE
OVCA2,-0.9132,0.3704,0.072919,0.725184,NS,Discordant (Cancer Down / TR Up),TRUE
MRPL12,-0.6577,0.6184,0.139863,0.177813,NS,Discordant (Cancer Down / TR Up),TRUE
PXN,-0.539,0.7236,0.31947,0.158036,NS,Discordant (Cancer Down / TR Up),TRUE
CTSC,0.9185,-0.3434,0.393512,0.807639,NS,Discordant (Cancer Up / TR Down),TRUE
MANF,0.6503,0.61,0.141865,0.130303,NS,Concordant Up,TRUE
SYNPO2L,0.3163,0.9391,0.834525,0.09348,NS,Concordant Up,TRUE
HDGFL3,0.5531,-0.6957,0.736523,0.355335,NS,Discordant (Cancer Up / TR Down),TRUE
TBCEL,0.4903,0.7534,0.471265,0.119819,NS,Concordant Up,TRUE
MRPL48,-0.6318,0.6035,0.267645,0.33073,NS,Discordant (Cancer Down / TR Up),TRUE
PHKA2,-0.7617,0.4578,0.088488,0.415907,NS,Discordant (Cancer Down / TR Up),TRUE
SLC1A4,-0.5262,-0.6787,0.413661,0.283058,NS,Concordant Down,TRUE
TMA7,0.9591,0.2282,0.170918,0.941536,NS,Concordant Up,TRUE
EPB41L3,0.8287,-0.3538,0.297026,0.56528,NS,Discordant (Cancer Up / TR Down),TRUE
