metric,estimate,ci_lower,ci_upper,p_value,n
Pearson_r,-0.1802829276555618,-0.21911214845281682,-0.1408835657496631,1.2624429416287883e-18,2351
Spearman_rho,-0.2032329916442616,-0.24167356112742755,-0.1641555398596849,2.4473339054542702e-23,2351
Sign_concordance_pct,42.960442364951085,40.8762228838792,44.87452148022118,NA,2351
Pearson_r_sig,-0.2719710458962948,-0.3491273012705755,-0.1911520038073326,2.006742655189984e-10,529
Spearman_rho_sig,-0.2549972114770417,-0.3359074205030087,-0.1694945229250642,3.0626794929898923e-9,529
Sign_concordance_sig_pct,38.18525519848771,NA,NA,NA,529
