"facet","p_raw","cliffs_d","p_bh"
"CR (pooled)",7.69308395315978e-05,0.0465994268496249,7.69308395315978e-05
"CRE",2.06347269807443e-35,-0.204032029466847,3.09520904711165e-35
"PLA",6.79215692250995e-69,0.296873012238252,2.03764707675298e-68
