"facet","timepoint","med","ci_lo","ci_hi","cv_max"
"CR (pooled)","T1",36.6845274470292,35.8718053019631,37.3340195238342,180.186407143934
"CR (pooled)","T2",32.5145951457872,31.8997499694274,33.1445454241862,212.443944940859
"CRE","T1",31.3539394247188,30.4129781587597,32.1885204569581,169.435287017292
"CRE","T2",37.1115172503752,36.2114575721096,38.0345755455281,208.825321153881
"PLA","T1",43.0742702036354,41.6921322044937,44.3539259868517,180.186407143934
"PLA","T2",27.4067096375038,26.6806297448876,28.0835940918154,212.443944940859
"Healthy","T1",24.5968616605259,23.9174159406694,25.1631871978598,127.995719342794
