group,plasma_frac,ci_lo,ci_hi,n_plasma,n_total,n_samples
CR_T1,0.983918,0.921469,0.993254,1224,2582,14
CR_T2,0.961786,0.914955,0.980803,1224,2582,14
H_T1,0.882719,0.875385,0.890288,1224,2582,10
