"contrast","med_abs_lfc","ci_lo","ci_hi","n_above_05","annotation"
"Cancer_vs_Healthy",0.372070493750744,0.35450086682431,0.385230436964921,911,"Med.|logFC| = 0.37 [0.35, 0.39]
n(>0.5) = 911"
"Training_CR",0.159710641277453,0.15146983625613,0.168603721168793,246,"Med.|logFC| = 0.16 [0.15, 0.17]
n(>0.5) = 246"
