subset,n,r,ci_lo,ci_hi,med_cv_cr,med_cv_h,wilcox_p,delta_cv_wilcox_p
all,2441,0.431,0.3982,0.4628,38.28,24.9,8.937579269302387e-236,NA
plasma,1153,0.4898,0.4446,0.5325,38.26,23.18,NA,4.331979485338318e-9
non_plasma,1288,0.3755,0.3276,0.4215,38.32,26.32,NA,NA
