compartment,intensity_sum,n_proteins,fraction,group
Secreted/Plasma,156657904541.11,273,0.867238,CR_T1
Cytosol,4393783919.92,400,0.024323,CR_T1
Mitochondria,1394526590.58,334,0.00772,CR_T1
Nucleus,1898944814.04,657,0.010512,CR_T1
Plasma membrane,2862070017.34,208,0.015844,CR_T1
Vesicles,886391383.79,181,0.004907,CR_T1
ER,11292500818.66,140,0.062514,CR_T1
Cytoskeleton,891980311.5,111,0.004938,CR_T1
Unknown,361960231.19,278,0.002004,CR_T1
Secreted/Plasma,56077975877.27,273,0.7542,CR_T2
Cytosol,4276750038.63,400,0.057519,CR_T2
Mitochondria,1477648717.56,334,0.019873,CR_T2
Nucleus,1786988364.68,657,0.024033,CR_T2
Plasma membrane,2772928312.33,208,0.037293,CR_T2
Vesicles,785609834.61,181,0.010566,CR_T2
ER,5745696936.54,140,0.077275,CR_T2
Cytoskeleton,1032467213.62,111,0.013886,CR_T2
Unknown,398200912.29,278,0.005355,CR_T2
Secreted/Plasma,9130741647.24,273,0.441619,H_T1
Cytosol,3830935799.91,400,0.185288,H_T1
Mitochondria,1607424286.6,334,0.077745,H_T1
Nucleus,1552488654.35,657,0.075088,H_T1
Plasma membrane,2350902598.38,208,0.113704,H_T1
Vesicles,271125842.72,181,0.013113,H_T1
ER,727136429.35,140,0.035169,H_T1
Cytoskeleton,803891292.99,111,0.038881,H_T1
Unknown,400945906.51,278,0.019392,H_T1
