gene,cv_cr,cv_h,delta_cv,is_plasma,protein_class,subcellular_main
HBB,325.4167844720766,72.83694011017425,252.57984436190233,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters",
HBA1,300.05106090639407,93.04019664676335,207.01086425963072,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transporters",
MB,43.61109910197995,18.946919388623538,24.664179713356415,TRUE,"Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",
ALB,245.02112935419612,53.04013447223475,191.98099488196138,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Endoplasmic reticulum, Golgi apparatus"
CKM,29.451772005270122,13.747433853733046,15.704338151537076,TRUE,"Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",
ALDOA,13.041520127985763,18.568094421838218,-5.526574293852455,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Cytosol
GAPDH,15.055635219110663,14.71026791917846,0.34536729993220305,TRUE,"Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
CKB,35.33297196349168,24.14002697685185,11.19294498663983,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
CA3,76.35363982951785,30.671576504881592,45.68206332463625,TRUE,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",
FHL1,34.76199396571673,17.72164120947202,17.040352756244708,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Cytosol
ACTA1,64.39845390370928,38.02477541578567,26.373678487923613,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",
ENO1,90.19818331066757,16.80735170982516,73.39083160084242,TRUE,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
ENO3,36.929869164271054,31.799841808298833,5.130027355972221,TRUE,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Plasma membrane, Cytosol"
ACTB,190.25661956181742,35.337136501062545,154.91948306075489,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",
IGHG1,122.30164735086817,61.140794346752,61.16085300411616,TRUE,"Disease related genes, FDA approved drug targets, Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",
PRDX2,194.8690318947947,25.812342193416338,169.05668970137836,TRUE,"Cancer-related genes, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
PKM,24.122920453577056,18.37408719220274,5.748833261374315,TRUE,"Cancer-related genes, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
TPI1,23.292388598409676,14.90364963299081,8.388738965418867,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Nucleoplasm
ENO2,45.10266391287502,32.50602445159592,12.596639461279104,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
PGAM1,49.37085117263781,20.21735488839155,29.153496284246263,TRUE,"Candidate cardiovascular disease genes, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Nucleoplasm
CASQ1,22.560043351279063,27.96821666049875,-5.408173309219688,FALSE,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters","Nucleoplasm, Mitochondria"
PGK1,12.986824960281695,16.271632185979787,-3.284807225698092,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Mid piece, Principal piece, End piece"
HSPB1,23.854199573899017,26.590542947304353,-2.7363433734053366,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
MYL1,61.57086608300967,37.158741603054445,24.412124479955224,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",
IGKC,121.29884530429884,56.70194930923105,64.5968959950678,FALSE,"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins","Vesicles, Cytosol"
PYGM,43.027927623603325,14.458376022252809,28.56955160135052,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",
CRYAB,58.45820120798013,30.84588477807644,27.612316429903693,FALSE,"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Plasma membrane, Cytosol"
LDHA,26.74108127757165,32.44357195049908,-5.7024906729274285,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
MYL2,39.643571671563215,33.56891830470953,6.074653366853688,FALSE,"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Microtubules
AK1,26.161086538873707,28.31672981365589,-2.1556432747821823,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Cytosol
