gene,logFC_CvH,logFC_TCR,t_CvH,t_TCR,pi_CvH,pi_TCR,sig_class,is_sig,quadrant
MB,-0.200081384763724,-0.0978573363414164,-1.37039425309382,-0.842516670882087,0.7091708591036777,0.91542736611982,NS,FALSE,Exacerbated Down
CKM,0.142705603059909,0.03471698380352,1.50911821973547,0.461498711371916,0.755700827647327,0.985016842344694,NS,FALSE,Exacerbated Up
ALDOA,0.187681297151791,0.0353322685957291,2.02329905444455,0.478803012374451,0.5718793675040154,0.9840895719765586,NS,FALSE,Exacerbated Up
GAPDH,0.232621749105522,0.107119517256734,2.31259187703268,1.33863924901583,0.43122945127367374,0.8368040090493857,NS,FALSE,Exacerbated Up
CKB,-0.0507932360448642,-0.0468924920507092,-0.312832084160544,-0.363040425433527,0.9859133403674984,0.9846372985799348,NS,FALSE,Exacerbated Down
CA3,0.277970538722187,0.0953543234446137,1.85887350454556,0.801563118463549,0.48064202531943767,0.9223372458745812,NS,FALSE,Exacerbated Up
FHL1,-0.393889689785016,0.189168142574555,-2.59493401611987,1.56655617985558,0.18527029592018968,0.6762371950709403,NS,FALSE,Reversed (Cancer Down / Training Up)
ACTA1,0.15780930179185,0.631247127534056,0.330849629897615,1.66358018314575,0.9541599602290012,0.2416150810279244,NS,FALSE,Exacerbated Up
ENO1,0.167429998301674,-0.0668839792309317,1.13403722926494,-0.569458934753841,0.8004669659170252,0.9634133780914405,NS,FALSE,Reversed (Cancer Up / Training Down)
ENO3,-0.137895033950922,-0.0191290402013919,-0.939506976973607,-0.163829019485262,0.8666033856805929,0.997357801744264,NS,FALSE,Exacerbated Down
ACTB,0.891056027088066,0.601258777917222,2.14192003900857,1.81679505975754,0.05605316366700748,0.21574893624154223,NS,FALSE,Exacerbated Up
PRDX2,1.44135596289873,0.0897178310573299,4.27207051514508,0.334265995067514,2.969827507621523e-6,0.9733732300253164,Sig Cancer only,TRUE,Exacerbated Up
PKM,-0.0904471671289073,0.17215245598031,-0.803628271942849,1.92273631735937,0.9259519296727948,0.6210953379650052,NS,FALSE,Reversed (Cancer Down / Training Up)
TPI1,-0.0430897082130492,-0.0283697814507544,-0.403268654631881,-0.333751458276595,0.9840927487770827,0.991517122886723,NS,FALSE,Exacerbated Down
ENO2,0.140622181764478,0.0167718196450171,0.769097516385123,0.115306563602285,0.8929795870181326,0.9983988087135944,NS,FALSE,Exacerbated Up
PGAM1,0.421023798312465,-0.17329347830673,3.11589475441395,-1.61214693755494,0.0946853830809088,0.6885867079883514,NS,FALSE,Reversed (Cancer Up / Training Down)
CASQ1,-0.106480833251258,-0.0159527415974647,-0.752790323214368,-0.1417699499323,0.9199414903538944,0.998108556923052,NS,FALSE,Exacerbated Down
PGK1,0.279180613962151,-0.102720160002326,2.52016337045637,-1.16558887279691,0.3182906004080866,0.8679310306340818,NS,FALSE,Reversed (Cancer Up / Training Down)
HSPB1,-0.115338715201215,0.216210910173006,-0.655885856419149,1.54552854324723,0.9265852433547156,0.6448378346510902,NS,FALSE,Reversed (Cancer Down / Training Up)
MYL1,-0.385878575013862,0.525448642792197,-0.996040290484316,1.70491520297334,0.6490515253137419,0.29394696298611334,NS,FALSE,Reversed (Cancer Down / Training Up)
PYGM,-0.054214435382832,0.0135080455254641,-0.424133356576042,0.132839207082817,0.9788480858353392,0.9985041529542832,NS,FALSE,Reversed (Cancer Down / Training Up)
CRYAB,-0.22364832320816,0.0520656621831801,-1.52195168948908,0.445382230083263,0.6413343595216914,0.978509524281993,NS,FALSE,Reversed (Cancer Down / Training Up)
LDHA,-0.0341698828020007,0.141729517803338,-0.175272415109402,0.913853669152616,0.9949346701174276,0.8676270040406802,NS,FALSE,Reversed (Cancer Down / Training Up)
MYL2,1.4898966568921e-4,-0.21914842427913,4.3344891022479e-4,-0.801431467641397,0.9999999488397404,0.8304709173003834,NS,FALSE,Reversed (Cancer Up / Training Down)
AK1,0.157689435716634,0.0217149416316964,1.13925841301553,0.197208023428502,0.8098547852976996,0.996345195656536,NS,FALSE,Exacerbated Up
FABP4,1.74051144929631,0.193581989374515,3.21411660262282,0.449361603878681,3.746082464537187e-5,0.9216340163778188,Sig Cancer only,TRUE,Exacerbated Up
FABP3,-0.0559634765280492,0.00875611893930461,-0.350610528878199,0.0689569730071065,0.9823934688582352,0.999508727483055,NS,FALSE,Reversed (Cancer Down / Training Up)
ATP2A1,-0.0316063872157635,-0.171074083298858,-0.188384886750567,-1.28174517757615,0.994938953613412,0.7647817174645696,NS,FALSE,Exacerbated Down
CA2,1.42927835392965,-0.207647903374127,4.34691728148427,-0.793849870953698,2.4167389915051283e-6,0.8403639169779789,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
MDH1,-0.085637069092293,-0.170494606629395,-0.805185493364371,-2.01507428280406,0.9295826663247896,0.6037021836395782,NS,FALSE,Exacerbated Down
MYH7,-0.731810726476319,0.279269818308915,-1.3667709049126,0.655642693014072,0.2858681977772082,0.8314967941982373,NS,FALSE,Reversed (Cancer Down / Training Up)
PGAM2,0.100632602915216,0.0153463973706707,0.872334540951291,0.167223408379427,0.9093858772633356,0.9978330366796356,NS,FALSE,Exacerbated Up
PYGB,0.0937011536410495,-0.0789752196899354,0.81659666965453,-0.865166665269254,0.9218918861992996,0.928892010058282,NS,FALSE,Reversed (Cancer Up / Training Down)
PRDX6,0.197063585524045,-0.131594651033391,1.5695559335364,-1.31751303915954,0.6645574560775594,0.8072162817270382,NS,FALSE,Reversed (Cancer Up / Training Down)
IDH2,-0.24228421598395,0.0994545142825043,-1.50616997384023,0.777176450910495,0.622337283257755,0.9220930538840344,NS,FALSE,Reversed (Cancer Down / Training Up)
MYH2,-0.628413876553612,0.486723466055453,-1.26162505469733,1.22832443773054,0.3813623489527205,0.4867030992508848,NS,FALSE,Reversed (Cancer Down / Training Up)
MYLPF,0.242154782368154,0.152313636550343,0.54412984134932,0.43022391666762,0.8800150018106825,0.9407678684810492,NS,FALSE,Exacerbated Up
ATP2A2,-0.402075143241259,-0.228785428517899,-2.43935086610563,-1.74478402297568,0.2076644353668131,0.5764420435330473,NS,FALSE,Exacerbated Down
ATP5F1B,-0.0861107951108551,0.0828754742736884,-0.520695428369886,0.629938947825039,0.9577773949891536,0.9491769898052766,NS,FALSE,Reversed (Cancer Down / Training Up)
MDH2,-0.20160537617268,0.0924407913288583,-1.3138082841398,0.757250920573307,0.7211966510419051,0.9296206741186224,NS,FALSE,Reversed (Cancer Down / Training Up)
ATP5F1A,-0.210408714003172,0.0664916656207755,-1.15096514212316,0.457206009069062,0.7518056689878048,0.9718041691890608,NS,FALSE,Reversed (Cancer Down / Training Up)
MYH1,0.114473303103665,0.0881798051973739,0.207069808681038,0.200506276252096,0.9798630760280774,0.9849783726363678,NS,FALSE,Exacerbated Up
PFKM,-0.191184898289155,-0.0548369806644615,-1.43944810647272,-0.518993873811415,0.703690201541255,0.9730048542734688,NS,FALSE,Exacerbated Down
S100A1,0.10405131530413,0.105847639733332,0.280842054869779,0.35912200281647,0.9745467527783924,0.9660691333961976,NS,FALSE,Exacerbated Up
HSPB6,-0.236887974621936,0.123663062071135,-1.38684791263991,0.910064318656633,0.6612576482589844,0.8840578239309109,NS,FALSE,Reversed (Cancer Down / Training Up)
EEF1A1,0.360538389043601,0.121296815550677,2.63887466213024,1.11599671754293,0.2056263558603471,0.8539948098557695,NS,FALSE,Exacerbated Up
FBP2,0.222759423113953,0.0689365623825111,1.01954500076659,0.396612325384558,0.7731729835871785,0.9751445295643776,NS,FALSE,Exacerbated Up
ARF4,0.0267843239529917,0.140326121725181,0.118127277427477,0.777954677974416,0.997378853948847,0.8917358982087396,NS,FALSE,Exacerbated Up
SLC25A4,-0.0546956462800061,0.155294440339626,-0.26800682973469,0.956522697103266,0.9872106022387022,0.8478683119557554,NS,FALSE,Reversed (Cancer Down / Training Up)
