gene,uniprot_id,set,test,t_cancer,t_training,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_Cancer_vs_Healthy,pi_score_Training_CR
S100A6,P06703,cancer_up,cancer_on_training,4.27857390050309,-0.252291293373529,3.0735724473543,-0.148617165801467,1.5419091434338885e-12,NA
CAT,P04040,cancer_up,cancer_on_training,5.87805244183645,-0.74825462902167,2.79859057459828,-0.292257295000198,1.2129769040638712e-17,NA
S100A4,P26447,cancer_up,cancer_on_training,5.28472458063275,-0.3000535630808,2.20607943058965,-0.102756099934046,2.760078553401139e-12,NA
ANXA5,P08758,cancer_up,cancer_on_training,3.18375215512209,-0.233282482561105,1.37495599677111,-0.0826497821609973,3.299465453514032e-4,NA
SELENBP1,Q13228,cancer_up,cancer_on_training,3.61070079922809,-1.74224825481649,1.1024312291512,-0.43639531613198,4.367893944714017e-4,NA
PLIN1,O60240,cancer_up,cancer_on_training,4.25405653553545,-0.827420622873755,3.90758028080713,-0.561183551376608,1.517551502097251e-15,NA
HBG2,P69892,cancer_up,cancer_on_training,4.2709114261761,-0.490870401003161,3.93584449896075,-0.329615705798728,2.2059152029591267e-15,NA
AHNAK,Q09666,cancer_up,cancer_on_training,3.40918840400462,-0.0335165520762748,1.38027142442205,-0.0111322478533413,1.3608942072669916e-4,NA
CAVIN1,Q6NZI2,cancer_up,cancer_on_training,3.51153029067604,-0.807704166563249,1.40091936187795,-0.264349856603028,7.97147923880788e-5,NA
PITPNA,Q00169,cancer_up,cancer_on_training,3.4627153860983,-0.358184828712147,0.914230936432869,-0.0775811728303033,0.00239793738825256,NA
ADH1B,P00325,cancer_up,cancer_on_training,3.02516841314962,-1.25379130901827,1.57057757316671,-0.534004758470152,2.0538605746048415e-4,NA
CD36,P16671,cancer_up,cancer_on_training,2.90397101725629,-0.722095439664419,1.26444135011575,-0.257935460211437,0.00160584777001187,NA
PLIN4,Q96Q06,cancer_up,cancer_on_training,3.16535973430802,-1.42173818326226,1.29630260277388,-0.477653521746719,5.566607252601696e-4,NA
EHD2,Q9NZN4,cancer_up,cancer_on_training,3.85435559002933,-0.637850856607359,1.72612338984373,-0.234341518198658,1.6339028267582576e-6,NA
ADIRF,Q15847,cancer_up,cancer_on_training,2.93125855864809,-1.3965895265997,3.34192664941159,-0.763281680675288,6.549010335790321e-8,NA
NUTF2,P61970,cancer_up,cancer_on_training,4.43106915159185,-1.68302447899687,0.625735668938223,-0.194976762186339,0.00272800641710105,NA
CAV1,Q03135,cancer_up,cancer_on_training,3.57671549655084,-0.638021342635481,1.87414064595121,-0.274260350888914,2.3284806269102195e-6,NA
PYGL,P06737,cancer_up,cancer_on_training,4.53489106107546,-2.5219858886717,0.830733453893199,-0.379007261504011,3.034082934306565e-4,NA
AKR1C1,Q04828,cancer_up,cancer_on_training,4.18318909622817,-0.424859090732088,2.05009907258878,-0.170813544623501,1.8325349076604643e-8,NA
RAN,P62826,cancer_up,cancer_on_training,4.18706078082716,-1.80278661382137,0.654271226450355,-0.231101581758951,0.0033692647931178,NA
S100A9,P06702,cancer_up,cancer_on_training,5.38732587501862,-0.577551195821064,2.67094942867346,-0.234905369199401,4.3069614577666825e-15,NA
S100A8,P05109,cancer_up,cancer_on_training,4.32243916418728,-0.516659398701838,2.31044262426685,-0.226558661391367,7.269034849631928e-10,NA
BPGM,P07738,cancer_up,cancer_on_training,5.41745995765332,-0.478145312471153,2.10454421345483,-0.152381513894968,3.932590610976905e-12,NA
AOC3,Q16853,cancer_up,cancer_on_training,4.54162738819834,-0.710196060106267,2.86039464846147,-0.366946502482497,7.267339297658331e-13,NA
EHD1,Q9H4M9,cancer_up,cancer_on_training,3.74024373526522,-0.776320519212601,1.25534414292826,-0.213753876267925,9.37226449205523e-5,NA
SNCA,P37840,cancer_up,cancer_on_training,6.84918255658397,-0.221312493396678,3.69965895111177,-0.0980706192272063,6.041430438899384e-28,NA
RAP1B,P61224,cancer_up,cancer_on_training,3.81507886982277,-0.234785665360884,1.28137525972958,-0.0646925736847699,5.8587101607732936e-5,NA
ARHGDIA,P52565,cancer_up,cancer_on_training,3.00356476882157,-0.221146747624513,0.702445346911102,-0.0424293259552435,0.02334478944451028,NA
CTSD,P07339,cancer_up,cancer_on_training,3.25563080321275,-0.914471850751903,0.788008737874737,-0.181583449988585,0.00866501423485501,NA
S100B,P04271,cancer_up,cancer_on_training,1.17740492435007,-0.532668714849978,2.28244384244162,-0.411161482506177,0.04331145574976088,NA
STOM,P27105,cancer_up,cancer_on_training,5.4455443643118,-0.506681427918495,2.37394543422005,-0.181206784926626,1.107452901035733e-13,NA
DEFA3,P59666,cancer_up,cancer_on_training,5.04562167445099,-0.785120893053272,2.31089836987518,-0.287112353226121,5.873401372572412e-12,NA
ARF1,P84077,cancer_up,cancer_on_training,4.41525477492891,-0.569953314885871,0.872726312387147,-0.092421204088609,2.766131153769632e-4,NA
TALDO1,P37837,cancer_up,cancer_on_training,3.29251105419232,-1.39137578270999,0.772865710377186,-0.267936126836373,0.00877995363424368,NA
PNP,P00491,cancer_up,cancer_on_training,6.80486057309027,-0.0576493091479264,2.78846760724161,-0.0193798547213628,4.4740279603815404e-21,NA
ALAD,P13716,cancer_up,cancer_on_training,5.00876524929878,-0.582853622144127,2.01060606967645,-0.19194015831779,1.635875516847421e-10,NA
CRIP1,P50238,cancer_up,cancer_on_training,2.5080501898792,-0.315913524449971,1.61758200980514,-0.111904186423081,0.00152864323492105,NA
CSRP1,P21291,cancer_up,cancer_on_training,5.48197096807676,-0.32016766340887,1.70543948776047,-0.0817122345328176,4.05908822228648e-10,NA
ANK1,P16157,cancer_up,cancer_on_training,5.49010569955314,-0.501873108653129,2.62566958554534,-0.196907986342135,3.2501865157042058e-15,NA
SLC2A1,P11166,cancer_up,cancer_on_training,5.75673871242598,-0.267924895506382,2.84936394137929,-0.101605354733863,2.98824855060975e-17,NA
PGD,P52209,cancer_up,cancer_on_training,4.04937013334709,-0.648095626553628,1.17724864458594,-0.154571653190073,5.761262272838388e-5,NA
ABHD14B,Q96IU4,cancer_up,cancer_on_training,4.07604241962023,-0.66170663701008,0.777249502643858,-0.103513569728857,0.0014939019698089,NA
SRI,P30626,cancer_up,cancer_on_training,4.56965744298597,-0.883156239213735,1.39871714636472,-0.221765422607575,1.028922330872008e-6,NA
HNRNPA2B1,P22626,cancer_up,cancer_on_training,4.50500165090881,-0.324168409519985,0.914426393317143,-0.0539802045349127,1.4578923031812114e-4,NA
PSMF1,Q92530,cancer_up,cancer_on_training,2.71851655011952,-0.813414579745393,0.81060154608106,-0.198974506516219,0.02373595818576691,NA
GPX3,P22352,cancer_up,cancer_on_training,4.82500606044998,-0.783192784988522,1.64836399948248,-0.219499721229001,2.4169348107392642e-8,NA
TKT,P29401,cancer_up,cancer_on_training,4.89850789147828,-0.420836712334221,2.42319308849058,-0.170784269346166,3.667668727285314e-12,NA
CAVIN2,O95810,cancer_up,cancer_on_training,4.36131331161554,-1.07034152473648,1.48543864546653,-0.299067928993267,1.1194755714738476e-6,NA
IDH1,O75874,cancer_up,cancer_on_training,2.96870211202631,-1.32397073597782,0.676777561095186,-0.247609756344598,0.0284942734993636,NA
ANP32A,P39687,cancer_up,cancer_on_training,4.78742425283042,-0.391724447221925,0.911270616922799,-0.0628869645940622,7.194094715154513e-5,NA
SPTB,P11277,cancer_up,cancer_on_training,4.97474426834756,-0.653681250613966,2.12699336971905,-0.22928278142696,5.5532369497868584e-11,NA
FASN,P49327,cancer_up,cancer_on_training,1.921516353704,-1.60874617017226,2.67145472467098,-0.825316598475837,7.487982386056209e-4,NA
DDT,P30046,cancer_up,cancer_on_training,4.06501462767713,-1.52779339831968,0.983857785405295,-0.303350615388016,2.7362998251792e-4,NA
TLN1,Q9Y490,cancer_up,cancer_on_training,4.40730280173679,-0.0287497350817031,1.12972715784282,-0.00604567175746595,2.5461350309949382e-5,NA
CAV2,P51636,cancer_up,cancer_on_training,3.27078186147487,-0.00781460135492336,1.51262703351915,-0.00343913491824033,1.341694242458133e-4,NA
MTPN,P58546,cancer_up,cancer_on_training,3.27303072384917,-0.236579625802102,0.496540461800759,-0.0294436698679288,0.04900964699424028,NA
JCHAIN,P01591,cancer_up,cancer_on_training,3.39135906461051,-0.190987203734331,2.74228803344776,-0.108265470447376,3.2374621702954633e-8,NA
GNG2,P59768,cancer_up,cancer_on_training,2.67749309811831,-1.53410086655878,2.18674069509387,-0.677450494128559,9.99236856532105e-5,NA
RBP4,P02753,cancer_up,cancer_on_training,5.50288600484314,-0.758626602487043,2.2264450610274,-0.243986880270045,5.680042466078179e-13,NA
DSTN,P60981,cancer_up,cancer_on_training,3.62488029967108,-0.121996861841112,0.75603255796722,-0.0208739926018264,0.004815885221007,NA
CD81,P60033,cancer_up,cancer_on_training,4.07181966154384,-0.974021667114908,1.7801865335292,-0.349345884612625,3.450144378735135e-7,NA
MFAP4,P55083,cancer_up,cancer_on_training,2.68579610234757,-0.27176987362239,1.98838502510846,-0.129520885812966,1.6168550070158597e-4,NA
GNB1,P62873,cancer_up,cancer_on_training,3.80175504602821,-1.12915405023815,1.08426086186027,-0.264187876712009,2.735574994056662e-4,NA
MGST1,P10620,cancer_up,cancer_on_training,2.59327564649519,-0.889621233827943,3.17852453030096,-0.513527977967163,1.7196168813266783e-6,NA
SOD3,P08294,cancer_up,cancer_on_training,4.73129373981667,-1.25603984780241,1.76399899342894,-0.38417745576046,1.1741679268263651e-8,NA
CAVIN3,Q969G5,cancer_up,cancer_on_training,2.41015908307571,-1.38072989950662,2.81098009174441,-0.583189565523291,2.8873751792819976e-5,NA
FAH,P16930,cancer_up,cancer_on_training,4.60461561407195,-1.43233935790453,1.31570785459309,-0.33575465960358,2.0265575302940133e-6,NA
B2M,P61769,cancer_up,cancer_on_training,4.08501158160473,-0.295448398722055,1.50523332697839,-0.089310436311905,3.2386370569190366e-6,NA
ITGB1,P05556,cancer_up,cancer_on_training,2.80513866868249,-0.724928145852687,0.684037906369099,-0.14502097923727,0.03663527374735204,NA
FBN1,P35555,cancer_up,cancer_on_training,4.01346291953566,-0.602817058106019,1.98934251200624,-0.245124024971769,8.466166417531245e-8,NA
MCAM,P43121,cancer_up,cancer_on_training,3.450163889445,-0.958887308320288,2.40773293886942,-0.478318187434942,7.27001252039375e-7,NA
COL6A2,P12110,cancer_up,cancer_on_training,3.76791277413386,-0.720170388877272,2.13673113336764,-0.313397766708958,2.0606511309986045e-7,NA
AKR1C2,P52895,cancer_up,cancer_on_training,3.35171594286067,-1.06842678630423,1.68626198051991,-0.393042360824193,3.3863288613063635e-5,NA
SAA4,P35542,cancer_up,cancer_on_training,2.36186960612047,-0.089848035283353,2.56825245016678,-0.0356780243750041,9.693631007814596e-5,NA
CYB5A,P00167,cancer_up,cancer_on_training,2.59797855132812,-0.422745464691834,1.04705384667346,-0.141611849537879,0.01134854447328242,NA
MYOZ2,Q9NPC6,cancer_up,cancer_on_training,1.84164756631267,-0.0218046967297773,1.66209677028404,-0.0173136498594442,0.01764791102433765,NA
ATL3,Q6DD88,cancer_up,cancer_on_training,5.39590585392737,-2.87416280952605,3.46950811796762,-1.04223157549914,2.5500993866745605e-16,NA
EPB41,P11171,cancer_up,cancer_on_training,5.21217612724764,-0.821112294047839,2.18741458869188,-0.273924902273569,6.6037405221124185e-12,NA
NME1,P15531,cancer_up,cancer_on_training,5.37248302819573,-1.5614409468479,0.923945313062948,-0.220296103628048,1.119677351916918e-5,NA
CD9,P21926,cancer_up,cancer_on_training,3.86542144564124,-0.376486026708517,1.88304433783598,-0.134518946803363,5.466188710989887e-7,NA
CMPK1,P30085,cancer_up,cancer_on_training,3.37303929362266,-0.543753346096075,0.620574481236925,-0.0820700111206758,0.01944606960923936,NA
RSU1,Q15404,cancer_up,cancer_on_training,2.80681003361714,-0.636007354937084,0.667510311626884,-0.124084385404338,0.03956959872178429,NA
PAFAH1B2,P68402,cancer_up,cancer_on_training,4.06643574105266,-2.48901443845273,0.947710257019015,-0.461111572997533,3.8076396271058063e-4,NA
HPRT1,P00492,cancer_up,cancer_on_training,5.25389162657769,-1.02684075980148,1.66602683864298,-0.258833760294253,2.4651231824395773e-9,NA
SUMO2,P61956,cancer_up,cancer_on_training,3.89727794140797,-0.0788629859678489,0.796718247784401,-0.0135972507465247,0.00197833570819081,NA
GNB2,P62879,cancer_up,cancer_on_training,3.04959268368131,-0.560104203545008,0.640536835590961,-0.0965119614967644,0.03006992688495307,NA
CAND1,Q86VP6,cancer_up,cancer_on_training,4.78003856962903,-0.478462534264648,1.04724875201848,-0.0859956382611813,1.674327997269977e-5,NA
ILK,Q13418,cancer_up,cancer_on_training,3.78064508344826,-0.417743466588402,0.774927528549881,-0.0702449137892103,0.00297935584707099,NA
MYO1C,O00159,cancer_up,cancer_on_training,3.59870982299719,-0.567609608340183,1.32456096793946,-0.171389771436102,9.614980841211216e-5,NA
BLVRA,P53004,cancer_up,cancer_on_training,4.00549965972294,-0.265627828412819,0.766650809014266,-0.041708493954129,0.00191558090588527,NA
SNCG,O76070,cancer_up,cancer_on_training,3.36791350576833,-0.216501539892452,2.12029684874886,-0.0932917951360537,2.189351737393472e-6,NA
RRAS,P10301,cancer_up,cancer_on_training,3.21452840593896,-1.74223253096433,0.852486550764688,-0.379041205121908,0.00646396137617304,NA
GCLC,P48506,cancer_up,cancer_on_training,4.08321709766039,-0.891918220037449,1.22103538649375,-0.218806818855064,3.5453935482702926e-5,NA
TYMP,P19971,cancer_up,cancer_on_training,3.85700420357475,-0.244888360167713,1.45896809108179,-0.0762692057438823,1.5303537442345845e-5,NA
HNRNPH1,P31943,cancer_up,cancer_on_training,4.43452517849179,-0.0521949262802174,0.51301274447561,-0.00495358198145723,0.00786015542038004,NA
AOX1,Q06278,cancer_up,cancer_on_training,2.04908437894803,-1.13541058573557,1.39391113631396,-0.618611683319681,0.01761941032994884,NA
KLKB1,P03952,cancer_up,cancer_on_training,2.293059913411,-0.108727433049263,1.85160646469582,-0.0399777008888567,0.00146878182452752,NA
APMAP,Q9HDC9,cancer_up,cancer_on_training,4.04803070242014,-0.1443833155742,1.34359889924996,-0.0393145120246654,1.4580520984697086e-5,NA
RETSAT,Q6NUM9,cancer_up,cancer_on_training,3.31742525089452,-2.45975964091329,3.0310061320009,-1.37401300456026,5.5015389096767514e-8,NA
GSS,P48637,cancer_up,cancer_on_training,3.34942543621249,-1.21195542349161,0.52105497562891,-0.154671364583312,0.0378480851786907,NA
PDXK,O00764,cancer_up,cancer_on_training,3.68765427060675,-0.65769626661857306,0.83896759481339,-0.122752516065686,0.00230695696728096,NA
DMTN,Q08495,cancer_up,cancer_on_training,2.27351127057172,-0.92220651271981,1.86527639842077,-0.367548528846037,0.00164300349941779,NA
PTPA,Q15257,cancer_up,cancer_on_training,4.09161438690438,-2.55979310059486,0.834464559893583,-0.428280302960925,8.903883621937732e-4,NA
PAFAH1B3,Q15102,cancer_up,cancer_on_training,2.90747252422044,-0.813269924248784,0.842407033839176,-0.193308572725654,0.01364693826927197,NA
DDI2,Q5TDH0,cancer_up,cancer_on_training,2.38983008741637,-0.305915217967992,1.63067435576627,-0.11130708857654,0.0021760566244987,NA
PSMD5,Q16401,cancer_up,cancer_on_training,3.60211647016015,-0.559878514380912,0.816698825181522,-0.11162127270118,0.00360266187192995,NA
PSME2,Q9UL46,cancer_up,cancer_on_training,3.31120683467782,-0.603143701368528,0.701983309680472,-0.104898991001541,0.01307478573724034,NA
GNAS,Q5JWF2,cancer_up,cancer_on_training,3.65329400463043,-1.61258240759058,0.64074935765256,-0.232025389408159,0.01031457215779156,NA
LAMC1,P11047,cancer_up,cancer_on_training,2.49478458026355,-1.7471403848797e-4,1.12997708058068,-6.80640329626669e-5,0.01062715419921688,NA
SORBS1,Q9BX66,cancer_up,cancer_on_training,2.79364915718409,-0.791232307236901,1.27052385928292,-0.286985719286076,0.00250445704245736,NA
HNRNPA3,P51991,cancer_up,cancer_on_training,2.62578572893999,-1.38314908857133,0.964587381550242,-0.416832261791004,0.01457309108383064,NA
SAMHD1,Q9Y3Z3,cancer_up,cancer_on_training,2.83340953811934,-0.816388918730138,1.27749468886508,-0.223485102811672,0.00256497183729585,NA
PROS1,P07225,cancer_up,cancer_on_training,2.07700948272108,-1.16061016733955,2.07300332257681,-0.414621804210741,0.00193170167693568,NA
MGLL,Q99685,cancer_up,cancer_on_training,3.65511386655327,-0.42895853705186,1.40721256292138,-0.145130357295782,5.016378844129118e-5,NA
MAP1B,P46821,cancer_up,cancer_on_training,2.1330543585092,-3.065385275071,1.15593398735556,-0.777007545829781,0.03107599064851328,NA
CCS,O14618,cancer_up,cancer_on_training,3.97702512916681,-1.13427958481985,1.22355098737505,-0.290630767735871,5.303082862212402e-5,NA
TNS1,Q9HBL0,cancer_up,cancer_on_training,3.59723939619972,-1.56148825669773,0.88725883744937994,-0.315958288374238,0.00204542853822753,NA
ESYT1,Q9BSJ8,cancer_up,cancer_on_training,2.86795982588741,-1.05321032830543,0.849613924507224,-0.255960944911578,0.01434861571667786,NA
LXN,Q9BS40,cancer_up,cancer_on_training,5.92726727135428,-0.762468236434548,2.42948431225836,-0.229219861995389,2.977695106095318e-15,NA
HNRNPA1,P09651,cancer_up,cancer_on_training,3.64875532193589,-0.62124253920198,0.763815488342317,-0.106687844933928,0.00432720738739932,NA
G6PD,P11413,cancer_up,cancer_on_training,2.71730947243961,-1.23433906600759,1.30564529065711,-0.341922738746103,0.00301554768847788,NA
GGT5,P36269,cancer_up,cancer_on_training,3.55816829483597,-2.25606614357813,1.36620762555557,-0.468388293979119,1.9828976257822925e-4,NA
RANBP1,P43487,cancer_up,cancer_on_training,3.54126783945488,-0.356991147305602,0.965614111988462,-0.0773783054496118,0.00141089879993368,NA
GCLM,P48507,cancer_up,cancer_on_training,3.16179201364233,-0.0915251239172538,0.933646088582929,-0.0221717180332561,0.004570414215798,NA
EPB41L2,O43491,cancer_up,cancer_on_training,4.2579609725866,-0.167549222931047,1.18665144669352,-0.0383066304375355,2.5486424969146336e-5,NA
ACAT2,Q9BWD1,cancer_up,cancer_on_training,5.81695676255406,-2.39154260356057,1.84483783768162,-0.593353767492383,6.183970965392916e-11,NA
DYNC1LI2,O43237,cancer_up,cancer_on_training,3.70274424808052,-0.940902187368537,1.30740177876407,-0.251277786738752,1.2736526393031158e-4,NA
HMBS,P08397,cancer_up,cancer_on_training,3.14979690559515,-0.287160963856562,1.1228856118181,-0.0783093247627367,0.00175654979393854,NA
PITHD1,Q9GZP4,cancer_up,cancer_on_training,4.76856330941895,-0.897298818006145,1.11948318012212,-0.162290991665387,9.887185263281807e-6,NA
FBLN2,P98095,cancer_up,cancer_on_training,4.11438348178242,-0.00116622998391684,1.03338091711082,-2.4029786377788e-4,1.556262970759885e-4,NA
MPP1,Q00013,cancer_up,cancer_on_training,4.28867805035344,-0.12531806481954,1.29641153889937,-0.0322150085688087,1.0027565170674613e-5,NA
CARHSP1,Q9Y2V2,cancer_up,cancer_on_training,1.50424641132927,-1.15352147184324,1.68699803393681,-0.463963749512464,0.03893720254803162,NA
VPS29,Q9UBQ0,cancer_up,cancer_on_training,3.0020865136342,-0.746832445061851,0.707367985035553,-0.149054150567334,0.02351424140252649,NA
FLOT2,Q14254,cancer_up,cancer_on_training,4.08665237750654,-1.19359991775417,0.916863364528147,-0.21968769915099,4.510551649620272e-4,NA
HSPA12A,O43301,cancer_up,cancer_on_training,3.72276626112493,-0.167013550233685,2.41128063302049,-0.0714547391069704,1.3676741935987773e-7,NA
DCUN1D1,Q96GG9,cancer_up,cancer_on_training,3.23683215819517,-2.44125516333182,0.698203334286706,-0.437685435920622,0.01626063417366827,NA
GNAI1,P63096,cancer_up,cancer_on_training,2.3540824261286,-0.071838273745759,1.30883966364327,-0.0296071737545667,0.01015939924616503,NA
CD163,Q86VB7,cancer_up,cancer_on_training,2.30560747695998,-0.887624680929773,1.44801356881375,-0.297791695860489,0.00680552221357529,NA
TMEM256,Q8N2U0,cancer_up,cancer_on_training,4.47716359263996,-0.921243592127231,1.22496781497996,-0.18566866587423,2.146264399216918e-5,NA
HNRNPF,P52597,cancer_up,cancer_on_training,2.82008414767482,-1.1843483926895,0.838129521939024,-0.246152667116998,0.02404910605011838,NA
RHOG,P84095,cancer_up,cancer_on_training,2.76518731999735,-0.0751620523371524,0.978352842149466,-0.0233579344548769,0.01008061330788925,NA
ALDH16A1,Q8IZ83,cancer_up,cancer_on_training,3.32479593048879,-0.176048997883855,0.815790527906028,-0.0353011934327796,0.00647986010510514,NA
HEBP1,Q9NRV9,cancer_up,cancer_on_training,4.0516867788064,-0.635411179981659,1.4583621403395,-0.187626598953804,5.544166550011281e-6,NA
ITGA1,P56199,cancer_up,cancer_on_training,3.44009144524553,-1.10794086353475,1.16193987091138,-0.298968560354753,7.145617479006324e-4,NA
ARHGDIB,P52566,cancer_up,cancer_on_training,2.49251457630243,-0.147952373573934,0.935821264400282,-0.0443802984299388,0.02353812300683696,NA
LTF,P02788,cancer_up,cancer_on_training,1.93372197194985,-1.00104967604808,1.70665183730155,-0.317901353522359,0.00953094357536128,NA
NPC2,P61916,cancer_up,cancer_on_training,3.61735187057516,-0.237092511504528,0.865131521934067,-0.0479402369660509,0.00237250953910953,NA
HDLBP,Q00341,cancer_up,cancer_on_training,3.70113537844625,-0.0772952401287701,1.07679467693541,-0.0197315478457707,7.373874731747082e-4,NA
DDX19B,Q9UMR2,cancer_up,cancer_on_training,4.69187087822186,-2.61285809485825,1.90799533362074,-1.26908683510436,7.817683393810317e-7,NA
NDRG1,Q92597,cancer_up,cancer_on_training,3.51613500127983,-0.438464704327765,1.8911985429095,-0.120947582968984,7.346513273046889e-6,NA
TUBB4A,P04350,cancer_up,cancer_on_training,3.47485366207003,-2.02699271428894,1.68027627924798,-0.946334816942112,6.90932438361836e-5,NA
TNKS1BP1,Q9C0C2,cancer_up,cancer_on_training,3.48463531670815,-0.910322011073482,1.92520402867684,-0.318167462240117,1.644711105734291e-5,NA
PPP1R12B,O60237,cancer_up,cancer_on_training,2.14780494757467,-0.0682660456895302,1.00289117643017,-0.0242291534892001,0.04115823822970683,NA
CTTN,Q14247,cancer_up,cancer_on_training,4.63395083008276,-0.525094620710757,1.11011956106942,-0.103196731085061,1.4227824367669604e-5,NA
LHPP,Q9H008,cancer_up,cancer_on_training,2.85139444424682,-0.276681949812231,1.07714930944532,-0.0839735880491261,0.00501763643356006,NA
ARRB1,P49407,cancer_up,cancer_on_training,3.67401685920306,-0.722394467807529,1.6447420272077,-0.248891607121578,1.6726290646058987e-5,NA
UROD,P06132,cancer_up,cancer_on_training,5.3703735185564,-1.00136113063621,1.48996644881451,-0.220840979756208,1.1733421361759912e-8,NA
CTNNA1,P35221,cancer_up,cancer_on_training,2.87048262326197,-2.02911499572287,0.686887586314258,-0.422515317799244,0.03964846984934991,NA
EIF4B,P23588,cancer_up,cancer_on_training,3.20461768266541,-1.43937559786699,0.889588861209619,-0.327513823151932,0.00567234512216107,NA
SDCBP,O00560,cancer_up,cancer_on_training,3.00111604659573,-1.069038184604,0.735971860588512,-0.217379037747927,0.02024304816441015,NA
LYZ,P61626,cancer_up,cancer_on_training,3.21525630926071,-0.534738342351946,1.19074708018535,-0.137772900269621,9.522988041834704e-4,NA
HLA-B,P01889,cancer_up,cancer_on_training,3.9327563191737,-0.0763479978049632,0.752315263454106,-0.0120250222099836,0.00279995560894633,NA
SNX1,Q13596,cancer_up,cancer_on_training,2.40409156363189,-0.0164626491501801,0.842020486961758,-0.00460811849571385,0.04072822518739479,NA
GNAQ,P50148,cancer_up,cancer_on_training,2.36065360451285,-1.55937704605171,0.939392868202848,-0.550635712986113,0.04371021924465294,NA
KDSR,Q06136,cancer_up,cancer_on_training,2.92778184047881,-0.778573058043465,1.13258948663777,-0.318884839478716,0.00501027243638631,NA
TUBB2B,Q9BVA1,cancer_up,cancer_on_training,4.85409138480192,-3.32240305515851,2.66155648284639,-1.36141054620826,1.493141091825061e-10,NA
BTD,P43251,cancer_up,cancer_on_training,3.51198398539481,-0.0888727914181733,1.07284877702431,-0.0222722884291926,7.256554668248743e-4,NA
ATP6V1H,Q9UI12,cancer_up,cancer_on_training,4.37024668525419,-1.11882412392793,1.01333294802135,-0.219330481785963,9.270224471743784e-5,NA
GAPVD1,Q14C86,cancer_up,cancer_on_training,2.92741261069418,-0.283009368467665,0.767462793001533,-0.0664533983147626,0.02111925427787427,NA
GNAI3,P08754,cancer_up,cancer_on_training,6.12022340828543,-0.675798132802703,1.71270874909773,-0.14666403669757,3.3591745087878803e-10,NA
IFITM1,P13164,cancer_up,cancer_on_training,3.34800929768641,-0.49408619378349,0.947424265448948,-0.116397656129574,0.00276174973429449,NA
TUBA1C,Q9BQE3,cancer_up,cancer_on_training,2.26157552440195,-0.81967057749849,2.25704978303759,-0.317658587468647,5.145487650752432e-4,NA
SORD,Q00796,cancer_up,cancer_on_training,3.475271787945,-2.75830104510312,0.774197203652477,-0.519863113776764,0.0060853175351146,NA
ELAVL1,Q15717,cancer_up,cancer_on_training,3.05512710861228,-0.620736707909884,0.734349917118417,-0.128088552747923,0.02393277727681699,NA
GUK1,Q16774,cancer_up,cancer_on_training,3.51703087743298,-0.590182707682012,1.06692203934685,-0.141026640918758,8.022452310994575e-4,NA
CYFIP1,Q7L576,cancer_up,cancer_on_training,3.44891417517259,-1.03542006560059,0.913791169133944,-0.228140363855409,0.00367478917568476,NA
PACSIN2,Q9UNF0,cancer_up,cancer_on_training,3.37448079409085,-1.47929138023043,0.611472607608652,-0.226624493069919,0.0210698702965023,NA
