gene,uniprot_id,set,test,t_cancer,t_training,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_Cancer_vs_Healthy,pi_score_Training_CR
PRDX2,P32119,cancer_up,cancer_on_training,3.9732425367306,-0.525608452271793,1.99706666866736,-0.216730416101582,1.0069438758043683e-7,NA
PGAM1,P18669,cancer_up,cancer_on_training,3.19658418675411,-1.88276841317376,0.603431921403082,-0.291574187951252,0.02903539964604096,NA
FABP4,P15090,cancer_up,cancer_on_training,3.48389012129289,-0.346030433032624,2.4376162108068,-0.198621022665442,8.932172037809433e-8,NA
CA2,P00918,cancer_up,cancer_on_training,4.22374945453915,-1.10224753615915,1.86177563255215,-0.398582628823045,7.511292805696153e-8,NA
SOD1,P00441,cancer_up,cancer_on_training,4.98445350938956,-2.32408910739381,1.0552290078898,-0.403637942958339,7.913452285634938e-6,NA
TUBB,P07437,cancer_up,cancer_on_training,2.63572811966781,-0.274883267792652,0.750173987320242,-0.0641829586753762,0.03662366622369713,NA
PPIA,P62937,cancer_up,cancer_on_training,3.49898258477303,-0.204784218239198,1.11062725085068,-0.0533252703941791,5.85930235366034e-4,NA
GPD1,P21695,cancer_up,cancer_on_training,3.25023523084021,-1.85799408154483,0.746443578673926,-0.350055218553532,0.01125443550350307,NA
CFL1,P23528,cancer_up,cancer_on_training,2.83142503388803,-0.509549320640727,0.645837953271297,-0.0953486964143515,0.04219306076241803,NA
LGALS1,P09382,cancer_up,cancer_on_training,4.26165162226009,-1.68122806531494,1.18288364491768,-0.382825405424073,2.6013913855460512e-5,NA
BLVRB,P30043,cancer_up,cancer_on_training,4.53684550683474,-1.23477860680512,1.68150470230198,-0.375442323974756,7.496404080028907e-8,NA
TXN,P10599,cancer_up,cancer_on_training,3.16699021549291,-0.977775198453336,0.671990765545598,-0.170202383584925,0.02049561208986434,NA
CALM1,P0DP23,cancer_up,cancer_on_training,2.67649797488493,-0.513231795186639,0.771012708629357,-0.121288104325306,0.03090036438745023,NA
LDHB,P07195,cancer_up,cancer_on_training,2.55167933164312,-0.760926122900643,0.816900215862798,-0.199845993565775,0.03229735093833025,NA
