pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION,5.626504542761742e-26,1.9692765899666097e-24,2.4662418585568493,99,148,,Hallmark,6.453032614915125,Reversed (Cancer Down / Training Up),OXPHOS,15.99999999144754,TRUE
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.7446383405330794e-23,5.565396306300523e-21,2.3615482878793514,98,153,,Reactome,5.6528077982623435,Reversed (Cancer Down / Training Up),Aerobic Respiration And Respiratory Electron Transport,15.999975830463505,TRUE
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,7.714617595737561e-16,6.742637888446503e-13,2.531972291442811,57,83,,GO:BP,6.483633387888707,Reversed (Cancer Down / Training Up),Proton Transmembrane Transport,12.171105757966899,TRUE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,1.3931070017451453e-15,6.742637888446503e-13,1.8597672583164009,114,226,,GO:BP,3.213766862677274,Reversed (Cancer Down / Training Up),Generation Of Precursor Metabolites And Energy,12.171105757966899,TRUE
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,1.625697150250819e-14,5.24558280480931e-12,2.7495577782780694,44,59,,GO:BP,8.50848861283644,Reversed (Cancer Down / Training Up),Proton Motive Force Driven ATP Synthesis,11.280197973807775,TRUE
GOBP_ACTIN_FILAMENT_ORGANIZATION,3.1457379286349373e-12,3.045074314918619e-9,2.3453594420600856,54,96,,GO:BP,4.478155339805825,Exacerbated Up,Actin Filament Organization,8.516402089699863,TRUE
REACTOME_EPH_EPHRIN_SIGNALING,1.4906526829629147e-8,3.222272781006142e-6,3.20732915153516,20,26,,Reactome,10.994020926756352,Exacerbated Up,Eph Ephrin Signaling,5.491837697214565,TRUE
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.0202337184991486e-8,3.222272781006142e-6,2.470831346367827,32,54,,Reactome,4.8764139086719736,Exacerbated Up,Extracellular Matrix Organization,5.491837697214565,TRUE
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,1.2142069133691538e-7,1.2911066845492e-5,2.340787591295836,32,57,,Reactome,4.282396313364055,Exacerbated Up,Platelet Activation Signaling And Aggregation,4.889037870358617,TRUE
HALLMARK_APICAL_JUNCTION,4.906560201261826e-7,1.7172960704416394e-5,2.565863321228128,24,39,,Hallmark,5.292307692307692,Exacerbated Up,Apical Junction,4.765154823838096,TRUE
GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,1.172969488596554e-5,0.011354344649614642,2.4380450467406987,20,33,,GO:BP,4.808107659079582,Exacerbated Down,Regulation Of Transmembrane Transporter Activity,1.9448379273420515,TRUE
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.0025928332683513157,0.015556999610107893,1.9504360373925593,16,33,,KEGG,2.908174833102406,Exacerbated Down,Reference 26s Proteasome Mediated Protein Degradation,1.8080741591729212,TRUE
REACTOME_NEDDYLATION,2.3497563548541546e-4,0.031812069715541146,1.8012422360248448,30,67,,Reactome,2.5469840701628783,Exacerbated Down,Neddylation,1.4974080744702032,TRUE
REACTOME_DNA_REPLICATION_PRE_INITIATION,6.95290004486773e-4,0.031812069715541146,1.9623289400595867,20,41,,Reactome,2.9599917720868043,Exacerbated Down,DNA Replication Pre Initiation,1.4974080744702032,TRUE
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,8.903393423466084e-4,0.031812069715541146,2.0113871635610767,18,36,,Reactome,3.1010752688172043,Exacerbated Down,Cellular Response To Hypoxia,1.4974080744702032,TRUE
HALLMARK_HEME_METABOLISM,5.366792613059086e-7,1.87837741457068e-5,2.262782223224013,31,57,,Hallmark,3.965243472124206,Reversed (Cancer Up / Training Down),Heme Metabolism,4.726217142313842,TRUE
HALLMARK_XENOBIOTIC_METABOLISM,3.670883170258961e-5,6.424045547953183e-4,2.0424761533969242,27,55,,Hallmark,3.1733766233766234,Reversed (Cancer Up / Training Down),Xenobiotic Metabolism,3.1921913884711195,TRUE
GOBP_REGULATION_OF_PROTEOLYSIS,7.034475902033172e-6,0.005260809387196995,1.8002594300774173,45,104,,GO:BP,2.5610490802474093,Reversed (Cancer Up / Training Down),Regulation Of Proteolysis,2.2789474335360795,TRUE
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,3.821886952018371e-5,0.012191819376938605,2.773733047822984,14,21,,Reactome,6.485651214128035,Reversed (Cancer Up / Training Down),Detoxification Of Reactive Oxygen Species,1.913931480074348,TRUE
GOBP_GLUTATHIONE_METABOLIC_PROCESS,6.123607887686662e-5,0.015150080004672196,2.600374732334047,15,24,,GO:BP,5.40929203539823,Reversed (Cancer Up / Training Down),Glutathione Metabolic Process,1.8195850737295995,TRUE
