pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.502,1.569,0.07833,0.1114,NS,41
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.388,-1.428,0.1581,0.1554,NS,39
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,1.557,-1.216,0.07833,0.4229,NS,22
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,1.228,-1.474,0.3135,0.1554,NS,35
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,1.233,-1.345,0.2611,0.1554,NS,72
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,1.331,1.215,0.1859,0.4421,NS,37
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,0.86,1.499,0.8612,0.07648,NS,111
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,-1.078,1.253,0.4191,0.3539,NS,60
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.272,1.04,0.2611,0.6133,NS,40
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,1.556,0.754,0.08315,0.897,NS,10
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-0.868,1.428,0.8674,0.1114,NS,135
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-0.689,-1.584,0.8935,0.1554,NS,12
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,0.886,-1.379,0.8349,0.1425,NS,100
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Nucleocytoplasmic Transport,GO Slim,1.318,-0.925,0.16,0.8348,NS,81
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO Slim,1.248,0.975,0.2835,0.743,NS,29
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.277,-0.929,0.2655,0.7929,NS,25
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,-0.972,1.225,0.6077,0.3156,NS,145
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Microtubule-Based Movement,GO Slim,1.155,1.021,0.3592,0.6809,NS,51
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,1.04,1.133,0.575,0.6133,NS,17
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,1.004,1.142,0.5546,0.4859,NS,99
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.099,-1.03,0.4294,0.6133,NS,113
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,1.348,-0.734,0.213,0.897,NS,31
HALLMARK_PEROXISOME,Peroxisome,Hallmark,0.796,-1.285,0.8612,0.2799,NS,42
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.126,-0.951,0.3932,0.7121,NS,97
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,0.965,1.05,0.6807,0.6133,NS,30
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,0.928,-1.038,0.7147,0.6133,NS,25
