pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,clean_label
HALLMARK_HEME_METABOLISM,1.5899510306611997e-11,7.223677515970717e-9,0.8634153916066928,0.6689571242994535,2.611898716620129,57,SNCA;CAT;SLC2A1;BPGM;UROD;ANK1;ALAD;EPB41;BLVRB;ADD1;SPTB;CA2;PRDX2;FBXO7;MPP1;HEBP1;BLVRA;GCLC;FN3K;GYPC;SELENBP1;PGLS;SDCBP;TNS1;DCUN1D1;CAST;GCLM;GAPVD1;HMBS;PICALM;PSMD9,Hallmark,Cancer_vs_Healthy,"Heme
Metabolism"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.3318138229705562e-6,1.3963555697760525e-4,0.6435518361507222,0.6156270523913531,2.230291135232031,40,FBLN1;TAGLN;FN1;THY1;FLNA;LGALS1;TPM4;VIM;FBLN2;LUM;FBN1;CALD1;DCN;COL6A2;PPIB;BGN;ITGB1;TGFBI;MYL9;LAMC1;COPA;TGM2;FERMT2,Hallmark,Cancer_vs_Healthy,EMT
HALLMARK_APICAL_JUNCTION,2.708866510097112e-5,0.0011938383788121253,0.5756102610711286,0.5780216129316607,2.077978848353232,39,THY1;FSCN1;CAP1;MSN;EPB41L2;FBN1;GNAI2;ACTN4;ZYX;PARVA;MYL12B;RRAS;MYH9;YWHAH;RSU1;ITGB1;TGFBI;ACTB;CNN2;MYL9;ARPC2;HADH;VCL;ACTN3,Hallmark,Cancer_vs_Healthy,Apical Junction
GOSLIM_WOUND_HEALING,7.559901028410276e-5,0.0025132061223715136,0.5384340963099162,0.5117807576364162,1.9892539382161563,56,FBLN1;CLIC1;CSRP1;FN1;PRDX2;ANXA1;TLN1;LRG1;FLNA;PPIA;ANXA2;CAV1;ILK;S100A10;AHNAK;HMGB1;CD36;MYH9;RHOA;ITGB1;ACTB;MYL9;RHOC;CTSG;CRK;VCL;FERMT2,GO Slim,Cancer_vs_Healthy,Wound Healing
HALLMARK_COMPLEMENT,1.4224272845273284e-4,0.0038775367776214976,0.5188480777437918,0.5651675294670233,1.9913374033703009,35,CP;GNAI3;CSRP1;FN1;CA2;EHD1;CTSD;GNAI2;LGALS3;CD36;GNB2;USP14;CALM1;USP15;LTA4H;RHOG;PPP2CB,Hallmark,Cancer_vs_Healthy,Complement
HALLMARK_XENOBIOTIC_METABOLISM,3.459533785040557e-4,0.007254376229246583,0.49849310876659025,0.485795494676365,1.88338771984188,55,CAT;FBLN1;RBP4;HPRT1;BLVRB;FAH;CA2;DDAH2;DDT;GCLC;PGD;ADH1C;GSS;AKR1C3;AKR1C2;IDH1;CD36;CBR1,Hallmark,Cancer_vs_Healthy,"Xenobiotic
Metabolism"
HALLMARK_APOPTOSIS,4.164258790222164e-4,0.007962483240495394,0.49849310876659025,0.5479907957044692,1.920171297971893,34,SOD1;GPX3;ADD1;ANXA1;PEA15;SPTAN1;GSN;LUM;CAV1;DCN;LGALS3;BGN;GPX1;SOD2;HMGB2,Hallmark,Cancer_vs_Healthy,Apoptosis
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,4.6267040486853636e-4,0.008358239650928976,0.49849310876659025,0.5345664311220647,1.8835160786455853,35,ANK1;FSCN1;CAP1;MSN;GSN;RAP1B;PARVA;RRAS;CLIC4;RHOA;CFL1;ITGB1;PDLIM1;ACTB;AQP1;RHOG;MAPRE1,GO Slim,Cancer_vs_Healthy,"Maintenance
of Polarity"
HALLMARK_COAGULATION,0.0013337748316831833,0.01762641242156924,0.45505986738722953,0.6115686206395348,1.902184693216132,21,CSRP1;CRIP2;FN1;ANXA1;GSN;FBN1;GNG12;GNB2;LTA4H;S100A13;CTSB;PECAM1;LAMP2;WDR1,Hallmark,Cancer_vs_Healthy,Coagulation
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0018261208812334517,0.021643502270619085,0.45505986738722953,0.5942285618912247,1.8913913485162033,23,SOD1;CAT;GPX3;PRDX2;PTPA;GCLC;TXN;GCLM;PDLIM1;SOD2,Hallmark,Cancer_vs_Healthy,"Reactive Oxygen
Species Pathway"
HALLMARK_IL2_STAT5_SIGNALING,0.0032808398950131233,0.03312433168076213,0.32635161099090676,0.5603112146468486,1.8257483889611443,25,PNP;FAH;CA2;ANXA4;GLIPR2;MYO1C;AHNAK;COL6A1;CTSZ;RNH1;GSTO1;TGM2,Hallmark,Cancer_vs_Healthy,"IL2 Stat5
Signaling"
GOSLIM_CILIUM_ORGANIZATION,0.00402810490079553,0.0381271318040577,0.40701791892395395,0.5272085671895913,1.78878693813798,30,FLNA;EHD2;EHD1;GSN;ATG3;ACTR2;ARRB1;ACTR3;PARVA;EHD4;SEPTIN7;RAB11B;SEPTIN2;DYNLRB1;GDI2,GO Slim,Cancer_vs_Healthy,Cilium Org.
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.004593175853018373,0.04091829207623557,0.27471745859524166,0.5417969410561922,1.7654204777980032,25,PNP;BPGM;SRI;LGALS3BP;B2M;HLA-B;PSME2;PSME1;SOD2,Hallmark,Cancer_vs_Healthy,"Interferon
Gamma Response"
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,0.005656296789219764,0.045890074545872246,0.24883263202204342,0.5577514911537972,1.775287175077611,23,AGT;FBLN1;FSCN1;LUM;FBN1;CST3;ITGB1;TGFBI;NID1;LAMB2;TNXB;LAMC1;CTSG;TGM2,GO Slim,Cancer_vs_Healthy,ECM Org.
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.300268431341959e-13,2.249132935959545e-10,0.932595211336209,-0.48623103110065974,-2.512654675451224,148,NDUFA4;SDHC;MFN2;ATP1B1;PRDX3;SLC25A3;SLC25A6;HADHA;HADHB;PDHX;AIFM1;SUPV3L1;NNT;CPT1A;TIMM50;ATP5F1D;SDHD;AFG3L2;ACAA1;SLC25A11;ACADVL;MAOB;SLC25A20;ATP5PD;DLD;DLAT;HSD17B10;OPA1;ACADSB;ETFDH;ACAT1;NDUFB5;PDHB;FH;DLST;ECHS1;HSPA9;ATP5ME;SDHA;LRPPRC;PDHA1;NDUFB7;IDH3G;SUCLA2;SDHB;SUCLG1;ECH1;OGDH;FXN;ATP5F1C;ATP5MF;NDUFS4;SURF1;IDH2;ATP5PO;NDUFA8;NDUFV2;NDUFS8;GPX4;NDUFB6;IDH3A;UQCRQ;NDUFS6;NDUFB1;VDAC1;MDH2;CS;HCCS;ATP5MG;ACO2;NDUFB4;NDUFA2;UQCRB;ECI1;ATP5F1A;IDH3B;COX7C;UQCR10;TIMM13;NDUFB3;IMMT;ETFB;ACADM,Hallmark,Cancer_vs_Healthy,OXPHOS
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,4.579490098929371e-6,3.467691669355963e-4,0.610526878385931,-0.41727027439844816,-2.0104092596615906,97,FARSB;EPRS1;RARS1;DARS1;KARS1;DBT;LRRC47;VARS1;ACAD8;AIMP2;GARS1;ALDH5A1;LARS1;HARS1;NARS1;AIMP1;DLD;MMUT;HSD17B10;SARS2;MCCC1;ACADSB;ALDH4A1;SHMT2;ACAT1;GLS;MCCC2;FH;DLST;ECHS1;GCDH;SMS;PCCA;BCAT2;FARSA;IARS2;BCKDK;QARS1;AUH;PCCB;ACY1;AARSD1;ASPA;IARS1;GCSH;GLUL;ENOPH1;RIDA;IVD,GO Slim,Cancer_vs_Healthy,AA Metabolism
GOSLIM_TRNA_METABOLIC_PROCESS,5.990312598395719e-5,0.002148630545161412,0.557332238758646,-0.5365532992775729,-2.1217478479379523,38,FARSB;EPRS1;RARS1;DARS1;KARS1;LRRC47;VARS1;AIMP2;GARS1;LARS1;HARS1;NARS1;AIMP1;HSD17B10;SARS2,GO Slim,Cancer_vs_Healthy,"tRNA
Metabolism"
GOSLIM_MITOCHONDRION_ORGANIZATION,6.30876956137497e-5,0.0022048340800395086,0.5384340963099162,-0.37198900042848315,-1.8509617530050546,116,MYH14;MFN2;TMEM11;FAM162A;CLPP;MTX1;NOL3;MAPT;PRDX3;MTM1;ENDOG;MT-ND4;AIFM1;NDUFAF3;FIS1;SUPV3L1;CLUH;TIMM50;ATP5F1D;MT-ND5;COA3;HSD17B10;OPA1;APOO;SMIM20;MCU;HSPA9;CHCHD7;LONP1;DNM1L;NIPSNAP2;MICOS13;SAMM50;FXN;NDUFS4;SURF1;SIRT5;TIMM8A;NDUFS5;NDUFS8;COA6,GO Slim,Cancer_vs_Healthy,Mito. Org.
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.0012488814183425558,0.01685371656634558,0.45505986738722953,-0.2812638562097405,-1.5267785339725182,209,SDHC;MFN2;STBD1;MT-ND4;PDHX;NNT;TRAP1;ATP5F1D;SDHD;GAA;MT-ND5;ACADVL;PFKL;ATP5PD;DLD;DLAT;GYG1;OXCT1;MT-ND3;ETFDH;SHMT2;HK1;PHKA2;SLC25A13;PHKG1;ACAT1;MT-ATP6;NDUFB5;PDHB;GYS1;FH;DLST;PFKFB2;ATP5ME;PDPR;SDHA;PRKAA1;PDHA1;H6PD;NDUFB7;PHKB;IDH3G;SUCLA2;SDHB;BCKDK;SUCLG1;PPP2CA;PHKA1;OGDH;FECH;PRKAG1;FBP1;ATP5F1C;ATP5MF;NDUFS4;SURF1;MT-ATP8;IDH2;PRKAA2;ATP5PO;NDUFS5;NDUFA8;NDUFV2;NDUFS8;NDUFB6;IDH3A;PFKM;UQCRQ;NDUFS6;NDUFB1;AGL;NDUFB9;NDUFA11;MDH2;FDXR;STOML2;CS;HCCS;ATP5MG;ACO2;MT-CO2;NDUFB4;NDUFA2;NDUFA12;UQCRB;DHTKD1;ATP5F1A;IDH3B;ALDH1L1;COX7C;UQCR10,GO Slim,Cancer_vs_Healthy,"Gen. of
Precursor
Metabolites"
