pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,clean_label
GOSLIM_CYTOPLASMIC_TRANSLATION,3.0658850902337973e-6,4.7488422798714535e-4,0.6272567397185284,0.43378342310662144,1.9755643013412625,119,RPL35A;SYNCRIP;RPL23A;HNRNPD;RPL4;RPL37A;RPL27;RPS9;RPL5;RPS6;PKM;HNRNPU;RPL7;RPS2;RPS13;RPS3;RPL18A;RPL31;RPL9;RPL11;ABCE1;SH3BGRL;RPL35;PABPC1;RPL10A;EIF5;RPS14;EPRS1;GAPDH;RPS12;RPL30;DDRGK1;RPS15A;YBX1;RPL15;RPLP0;RPS8;RPLP2;UFSP2;RPL12;EIF3F;RPL6;RPL13;DHX9;EIF3B;RPS24;RPS26;EIF2S2;RPS10;RPS4X;RPS16;ETF1;NPM1;RPS28;RPL17;RPLP1;SARS1;RPL38;RPL18;RPS27A,GO Slim,Training_CRE,"Cytoplasmic
Translation"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9.195449065967037e-4,0.029841421611697786,0.47727081536286214,0.5159834333336591,1.8960342395949499,40,THY1;FBLN5;LAMA2;CALD1;COPA;BGN;COL4A2;TPM4;DPYSL3;COL6A3;COL6A2;LUM;MYL9;PPIB;CALU;DCN;TPM1;TPM2;LAMC1;SNTB1;FLNA;VIM,Hallmark,Training_CRE,EMT
HALLMARK_MYC_TARGETS_V1,0.0013617338375749345,0.03787843307376808,0.45505986738722953,0.35543411617537013,1.6267185369067014,124,SYNCRIP;HNRNPD;SRM;SET;APEX1;RPS6;COX5A;HSP90AB1;HNRNPU;KARS1;RPS2;SNRPD2;PRDX4;RPS3;LDHA;SSB;HSPD1;ABCE1;RUVBL2;PABPC1;PSMD8;SLC25A3;EPRS1;ILF2;HNRNPR;CANX;YWHAQ;SRSF3;HNRNPC;YWHAE;RPLP0;HDGF,Hallmark,Training_CRE,"MYC Targets
V1"
GOSLIM_CILIUM_ORGANIZATION,0.001506802353342537,0.03875040769067695,0.45505986738722953,0.5493864274326226,1.8920241231299202,30,ACTR2;ACTR3;DYNLT1;USP9X;SEPTIN9;SEPTIN2;GSN;ARF4;SEPTIN7;ARL3;RAB11B;DCTN1;EHD4,GO Slim,Training_CRE,Cilium Org.
