pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,arc_r1_var,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.9753724157260694e-10,8.4941013876221e-9,0.826657301178302,0.4904814392963023,2.2225972290595024,156,NDUFB1;NDUFA9;SLC25A3;NDUFS3;CYC1;ATP5F1D;UQCRQ;BDH2;PMPCA;SLC25A4;PDP1;COX5A;FH;UQCR11;NDUFB5;VDAC2;NDUFB4;IDH3B;NDUFA8;COX5B;IDH3A;NDUFB3;UQCRC2;COX4I1;NDUFS1;GOT2;NNT;COX6C;PDHB;ECH1;NDUFAB1;NDUFV1;NDUFV2;NDUFA2;SLC25A6;NDUFS4;IDH2;ATP5F1C;SLC25A20;ATP5MG;SLC25A11;MDH2;LRPPRC;HADHA;ATP5PO;SUCLA2;PRDX3;DLST;UQCRC1;HADHB;UQCRH;ACO2;PDHA1;NDUFS2;VDAC3;ATP5PF;TOMM70;UQCRB;TOMM22;DLAT;ATP5PD;NDUFA6;GRPEL1;ATP5PB;ECI1;ATP5ME;SLC25A5;NDUFA4;NDUFA3;ETFA;HSD17B10;ATP5MF;IDH3G;TIMM50;CS;PDHX;IMMT;NDUFA7;COX6B1;COX7A2;OGDH;ATP6V1E1;SUCLG1;NDUFB8;ETFDH;NDUFS8;ACADVL;LDHA;VDAC1;GPI;CYCS;SLC25A12;GLUD1;NDUFS6;NDUFS7;ATP5F1B,Hallmark,Training_CR,1,-39.75,1,-19.375,-0.693768377667746,0.017453292519943295,-0.33815754257390135,6.3999999999999995,OXPHOS
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,6.741305166039237e-8,1.8201523948305936e-6,0.7049757151672383,0.4005580786871721,1.9110789290086947,234,GAA;PKM;NDUFB1;HK1;NDUFA9;NDUFA13;CISD1;NDUFS3;CYC1;NDUFS5;ATP5F1D;UQCRQ;PPP1CB;COX7A1;SLC25A4;COX5A;FH;UQCR11;NDUFB5;NDUFB4;FBP1;MT-CO2;PYGM;IDH3B;NDUFA8;COX5B;IDH3A;NDUFB3;UQCRC2;COX4I1;AKT1;NDUFA10;NDUFS1;PFKM;NNT;NDUFB11;COX6C;PDHB;NDUFB9;NDUFAB1;AKT2;NDUFV1;NDUFV2;NDUFA2;PLEC;NDUFS4;IDH2;AGL;PHKA2;FDXR;PPP1CA;ATP5F1C;NDUFA12;ATP5MG;ADHFE1;MDH2;STBD1;GYS1;ATP5PO;SUCLA2;DLST;UQCRC1;ENO3;GBE1;UQCRH;ACO2;PDHA1;STOML2;NDUFS2;PRKAG1;TRAP1;PHKB;PPP1CC;ATP5PF;GAPDH;UQCRB;ARL2;DLAT;ATP5PD;NDUFA6;ATP5PB;THTPA;ATP5ME;PYGB;NDUFA4;HK2;NDUFA3;ETFA;IGF2;PRKAA1;NDUFB10;ATP5MF;IDH3G;PPIF;CS;MT-ATP8;PPP2CA;ALDOA;NDUFA7;COX6B1;COX7A2;OGDH;SLC25A13;SUCLG1;NDUFB8;PGAM2;ETFDH;CHCHD2;NDUFS8;ACADVL;LDHA;FECH;GPI;COQ9;CYCS;NDUFS6;MT-ND3;NDUFS7;ATP5F1B,GO Slim,Training_CR,2,4,44.75,24.375,0.06981317007977318,0.7810348402674625,0.4254240051736178,6.102198163019508,"Generation Of
Precursor Metabolites
And Energy"
GOSLIM_MITOCHONDRION_ORGANIZATION,1.1555633044618086e-5,1.5600104610234415e-4,0.5933254763964051,0.3848366422473648,1.778484286820122,180,CLPP;NDUFB1;NDUFAF5;MARCHF5;TMEM70;NDUFA9;NDUFA13;LONP1;FAM162A;NDUFS3;AGK;NDUFS5;ATP5F1D;COX7A1;SLC25A4;NDUFB5;VDAC2;NDUFB4;NDUFA8;NDUFB3;AKT1;NDUFA10;NDUFS1;FIS1;SCO1;NDUFB11;BCS1L;NDUFB9;NDUFAB1;NDUFA2;PLEC;SLC25A6;NDUFS4;MAPT;NDUFAF4;NDUFA12;SAMM50;MCU;PRDX3;CHCHD3;FUNDC1;VPS35;TMEM11;PPP2CB;STOML2;NDUFS2;MTM1;TOMM70;TOMM22;NDUFA6;NDUFAF3;SIRT5;SLC25A5;HK2;NDUFA3;APOO;SLC25A46;NDUFB10;HSD17B10;TIMM50;PPIF;IMMT;COX7A2;NDUFB8;CHCHD2;NDUFS8,GO Slim,Training_CR,3,47.75,88.5,68.125,0.8333947178272924,1.5446163880149817,1.189005552921137,5.785935269788014,Mitochondrion Org.
GOSLIM_CYTOPLASMIC_TRANSLATION,0.00289351851851851,0.01953125,0.32635161099090676,0.364143093093614,1.5863368428585076,115,RPL4;RPS2;RPL30;SYNCRIP;PKM;RPL27;RPL32;RPS13;RPLP0;RPL15;DRG1;RPS24;RPL11;EIF2B3;EIF2S3;PABPC1;YBX1;RPL7;RPS3;AKT2;ETF1;DHX9;MCTS1;RPS4X;RPL6;EIF5;RPS9;RPL31;RPS15A;YBX3;SARS1,GO Slim,Training_CR,4,91.5,132.25,111.875,1.5969762655748114,2.3081979357625007,1.9525871006686562,5.2035935780096025,"Cytoplasmic
Translation"
HALLMARK_MYC_TARGETS_V1,0.00160758487379872,0.02304204985778166,0.45505986738722953,0.35787875862998236,1.5870853675936158,133,RPS2;SYNCRIP;PSMD7;ABCE1;SLC25A3;RPLP0;APEX1;CTPS1;CYC1;FAM120A;COX5A;HSP90AB1;SET;EPRS1;PABPC1;PSMD3;GSPT1;GOT2;RPS3;NDUFAB1;SRM;ETF1;RUVBL2;EIF2S1;RPL6;PRDX3;HNRNPR;AIMP2;KPNB1;CCT5;KARS1;VDAC3;TRA2B;SRSF7;COPS5;DHX15;NAP1L1;TOMM70;SERBP1;ILF2;LSM2;RPS5;RACK1;CCT7;IARS1;EEF1B2;CUL1;EIF3B;PRDX4;RPL18;PSMC4;LDHA;XRCC6;TUFM;VDAC1;PSMD8;RPS6;PSMD1;YWHAQ;HDDC2;EIF2S2;PSMB2;PSMA6;SSB,Hallmark,Training_CR,5,135.25,176,155.625,2.360557813322331,3.07177948351002,2.716168648416175,5.165161947623768,MYC Targets V1
HALLMARK_MYOGENESIS,0.00406032482598607,0.04364849187935035,0.27471745859524166,0.3606089387007492,1.5595367771232935,112,GAA;MYL1;MYOZ1;LAMA2;FHL1;CSRP3;COX7A1;CKM;PYGM;MYBPH;TNNT3;TPM2;MYH2;PFKM;COL15A1;CKMT2;AEBP1;ACTA1;AKT2;DES;AGL;TNNC2;LDB3;COL1A1;TCAP;MYL4;ENO3;MYL3;COL6A3;AK1;MYH11;HSPB2;MYH8;LPIN1;BIN1;FABP3;MYOM1;TPM3;MB;ACTN2,Hallmark,Training_CR,6,179,219.75,199.375,3.12413936106985,3.835361031257539,3.4797501961636947,4.85,Myogenesis
GOSLIM_DETOXIFICATION,5.0199905125952e-5,4.51799146133568e-4,0.557332238758646,-0.4863825551015879,-2.0457794343769837,57,SESN1;SOD1;ESD;GPX4;PRDX1;PRXL2A;SOD3;GSTP1;ALDH1A1;PRDX6;TXN;CD36;ADH5;S100A9;HBB;HBA1;CAT;CCS;MGST1;NXN;TXNRD2;GPX3;MTARC2;MPO;SELENOW;GPX1;ALB;PARK7;AKR1A1;PRDX2;CYGB,GO Slim,Training_CR,7,227.75,268.5,248.125,3.9749873714170856,4.686209041604775,4.33059820651093,5.692996433410161,Detoxification
HALLMARK_XENOBIOTIC_METABOLISM,0.001060008344879,0.0227901794148986,0.45505986738722953,-0.3959514845307799,-1.711616900330548,66,RETSAT;ALDH9A1;MTHFD1;MAOA;PC;CES1;IDH1;FAH;AOX1;ALDH2;AKR1C2;ARPP19;TKFC;ADH1C;CA2;ACP1;CD36;PROS1;EPHX1;ADH5;CYB5A;PGD;SHMT2;CAT;DDT;GSTM4;BLVRB;GCLC,Hallmark,Training_CR,8,271.5,312.25,291.875,4.738568919164605,5.449790589352294,5.094179754258449,5.167861494406018,Xenobiotic Metabolism
