gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
FTL,1.9556,4.6016,0,0.061142,Up
ABLIM2,1.9339,3.9957,0,0.082246,Up
RBM3,-1.7615,2.1981,1.34e-4,0.67306,Down
PRKAR2B,-1.2741,2.8033,2.68e-4,0.636506,Down
SELENOO,1.537,1.8987,0.001207,0.680195,Up
MRPL13,1.1071,2.2304,0.003394,0.67306,Up
RETSAT,-1.3817,1.7368,0.003984,0.757249,Down
ENPP4,0.8658,2.651,0.005066,0.67306,Up
SLC41A3,1.506,1.4963,0.005579,0.757249,Up
ATL3,-0.9846,2.0549,0.009479,0.680195,Down
DIAPH2,0.9523,2.114,0.009701,0.680195,Up
DDX19B,-1.2637,1.5873,0.009865,0.757249,Down
ARCN1,0.4703,4.1615,0.011036,0.082246,Up
MYOZ1,1.2979,1.5064,0.011088,0.757249,Up
PBDC1,0.8417,2.3205,0.011138,0.67306,Up
CLPP,0.6174,2.9503,0.015082,0.547827,Up
TUBB4A,-1.1335,1.6038,0.015211,0.757249,Down
THY1,0.9494,1.9138,0.015241,0.680195,Up
PALM,-0.8478,2.078,0.017305,0.680195,Down
IL18,0.9003,1.9449,0.017742,0.680195,Up
SCN1B,-0.7522,2.2675,0.019698,0.67306,Down
TMEM70,1.1174,1.505,0.020812,0.757249,Up
KYAT1,-0.7263,2.3045,0.021194,0.67306,Down
G3BP2,0.9494,1.7519,0.021709,0.757249,Up
LIPE,-1.0227,1.6126,0.022429,0.757249,Down
CES1,-1.3377,1.2248000000000001,0.022992,0.802201,Down
MAP1B,-0.7335,2.2121,0.02385,0.67306,Down
FTH1,0.683,2.2805,0.027691,0.67306,Up
ALDH1B1,0.689,2.2029,0.030345,0.67306,Up
PEBP4,-0.7428,1.9345,0.036571,0.680195,Down
KRT19,-0.9474,1.4571,0.041647000000000003,0.757249,Down
PFDN1,-0.618,2.2108,0.043032,0.67306,Down
CAPRIN1,-0.9028,1.5092,0.043409,0.757249,Down
RHCE,-1.0197,1.263,0.05154,0.802201,NS
MYL1,0.8126,1.577,0.05231,0.757249,NS
TMOD4,0.9635,1.3202,0.053464,0.80219,NS
TSNAX,-0.4628,2.739,0.053999,0.636506,NS
LPCAT3,0.8921,1.419,0.054211,0.762938,NS
CNRIP1,-0.9531,1.3173,0.055519,0.80219,NS
PC,-0.9572,1.3105,0.055679,0.80219,NS
CTBP1,0.5941,2.0907,0.057264,0.680195,NS
C6orf136,0.9872,1.2477,0.058649,0.802201,NS
CD248,-0.8473,1.4405,0.060175,0.757249,NS
MRPL1,-0.6515,1.8225,0.064961,0.693657,NS
RPL30,0.5141,2.2995,0.065741,0.67306,NS
MARCHF5,0.7399,1.5839,0.067321,0.757249,NS
ASAH1,-0.6279,1.8651,0.067451,0.680195,NS
ADIRF,-1.0409,1.1226,0.067833,0.802201,NS
RPL4,0.3891,2.9636,0.070283,0.547827,NS
AP1B1,0.6702,1.7115,0.071293,0.757249,NS
PAFAH1B2,-0.5305,2.1229,0.074786,0.680195,NS
GAA,0.4336,2.5879,0.075496,0.67306,NS
NDUFB1,0.5868,1.8955,0.077224,0.680195,NS
