contrast,method,spearman_vs_nonimputed
Baseline_Supplement,missforest,0.9217354546459112
CR_Training,missforest,0.8964835153193149
CRvH_Baseline,missforest,0.9663165190293469
Resid,missforest,0.976031135172214
Supplement_Interaction,missforest,0.916088505003142
Training_CRE,missforest,0.936860437448377
Training_PLA,missforest,0.8995720824841473
Baseline_Supplement,imp4p,0.7588852363706188
CR_Training,imp4p,0.7822614621392378
CRvH_Baseline,imp4p,0.9183280866621663
Resid,imp4p,0.954517611300648
Supplement_Interaction,imp4p,0.7749443961301768
Training_CRE,imp4p,0.7844049931884403
Training_PLA,imp4p,0.7787869207297335
Baseline_Supplement,mscoreutils,0.7574978788879848
CR_Training,mscoreutils,0.717328235548966
CRvH_Baseline,mscoreutils,0.789792053788807
Resid,mscoreutils,0.8158502775070134
Supplement_Interaction,mscoreutils,0.7432446342599457
Training_CRE,mscoreutils,0.7161182946084251
Training_PLA,mscoreutils,0.7289234055906755
