norm,PCV,PMAD,COR,PCV_rank,PMAD_rank,COR_rank,norm_composite
cycloess,0.025,0.2644,0.9439,1,1,1,1
rlr,0.0262,0.2711,0.9369,3,2,4.5,3.1666666666666665
vsn,0.0255,0.2737,0.9369,2,4,4.5,3.5
log2,0.0265,0.2716,0.9369,4,3,4.5,3.8333333333333335
median,0.0274,0.2937,0.9369,5,6,4.5,5.166666666666667
mean,0.0278,0.2958,0.9369,6,7,4.5,5.833333333333333
quantile,0.028,0.2926,0.9366,7,5,8,6.666666666666667
gi,0.0332,0.3552,0.9369,8,8,4.5,6.833333333333333
