uniprot_id,protein,gene,description,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR8_T1,CR8_T2,CR9_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,PPS2,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44
P02144,MYG_HUMAN,MB,Myoglobin,31.865014107153073,31.41894150338028,28.470864389966533,31.362638733764545,30.41169379075851,31.182298262512266,32.242846916044016,31.744064216605956,31.86393097792855,31.395371268939364,31.313618729585933,31.489789620999787,31.164356336324825,30.911735166442934,31.326857679006945,31.312141883199175,31.237915514058173,32.555616777410336,31.53185123838872,31.495192632568028,31.49291738872219,31.3115620424294,31.188806943254033,30.657426153464712,31.51946942270085,31.13667293595221,31.661385803662885,31.55400640674421,31.459250952386537,31.25008459904438,31.47319107665736,31.330233917024042,31.88098835908253,31.800716254663037,31.29219878993831,31.6211336895022,32.06960142571444,31.494069727043406
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,30.91334095364907,30.564615848249993,27.952452268130802,30.88887658253465,30.742230993538243,30.978683901319144,30.499309350433954,30.78325440151888,30.516782916205692,30.610038276815494,30.717058535326625,30.851803070489133,30.949420903258588,30.667530606209127,30.920918319459204,30.983823769584706,30.93437292788988,31.010786478380737,30.635822126601578,30.603715635891817,30.67057992886998,30.725767449282966,31.183969088904263,31.006902108788328,30.56143747754595,30.528113533075807,30.66396527406922,31.144015921905925,30.299639953782638,30.745159866681906,30.495296172727063,30.572132284790232,30.782462388054835,30.548000218275735,30.466138059731193,30.58351558292869,30.674663516854913,30.953341990961814
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,29.849480983562465,29.793960823310776,29.97751831238048,29.550825606477712,29.85211454454498,29.924021188947343,30.320130373925487,29.927022578296782,29.756750152201572,29.766930604424275,29.92011053683714,29.870479416855414,29.957131018396353,29.922950637837094,29.92633764687453,30.012518640471033,30.057296276501358,29.670226873607817,29.712028610637997,29.85105368599215,30.04644622732582,30.28650170638625,30.041076692780848,30.088872149083862,29.62935340585906,29.6271834627951,29.84564723853347,30.0628797740514,29.62642213495377,29.399430685295684,29.76328848244125,29.47746748626482,29.424293664006477,29.594509582102656,29.88301321405789,30.07971470792444,29.748254674622846,29.631092112376194
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,29.72815438602715,29.80483212954698,30.450887208180635,29.69062324678759,29.800066903911425,29.648497354701952,30.379147171855777,29.94268528453628,29.53829002761915,29.67383554701512,30.08256807466442,29.7360215124404,29.79234691407288,29.736453775283344,30.034506232246454,29.920127151330902,30.1340688069715,29.54429219368633,29.88148915306731,29.892922632294486,29.95291099870393,30.243722260001547,29.593288210011348,29.876175998309762,29.596818905969855,29.66451841052887,29.391666783625425,29.680231638905372,29.561176675962976,29.568313124706652,29.587643093334197,29.660598939835086,29.069152587741172,29.314874134616904,29.79614055106664,29.50635766926548,29.290696558866717,29.5287593888047
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,29.283323486034664,29.389900462309996,30.259941552997493,29.338916778618373,30.373886070294176,30.199849815925916,29.794461587974983,29.23258354463275,29.370647228392546,29.252489901369714,29.98597536380241,29.361980639801335,29.280087714351975,29.096556653049948,28.964270046196216,28.99887566759987,29.162923631182053,30.082943931413002,29.317555577396483,29.311553737540347,29.420260212565083,29.246920109625506,29.543748699347447,29.808824656628083,30.02254846412427,30.037678194616845,29.49177111738525,29.688079500291956,29.154899532309752,30.01674894786897,29.569578664914157,29.47442369411285,29.89451276228971,29.709658287636827,29.36279688632843,28.685585076291535,29.753928636301932,29.79797341847692
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,29.45769790951985,29.42998764833639,27.462559724966752,29.781973397075024,29.32912401818352,29.27037363148374,30.064946141762945,29.357837016408293,30.063130408956532,29.6145916809115,29.171258956287442,29.712848127025136,29.635882520792823,29.377079313880607,29.827420785203664,29.06662616052618,29.32042484977689,31.555153779310817,28.951923916820725,28.924384451766706,28.734301923554494,29.051999743807926,29.453455303805576,29.36287340658393,29.216685298436442,29.630561155204063,29.31304710723987,29.398933562660613,29.29780664966376,29.205356297178174,28.835238178832416,28.79438211776805,29.317443720069463,28.85410494359505,29.192849651749693,28.538918545601312,29.90967362530722,28.49174476148006
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,29.12384867887482,29.026893384252745,27.630730431882935,28.937671803813114,27.864515825355344,29.044845438144637,28.593116514477845,29.036184654352777,29.22976179471788,29.063403548422386,28.44150110766931,28.916123513668698,29.187133055982972,28.68029763950653,28.982618190601947,28.36508599838851,28.155366217772254,28.938299550783864,28.456241945023933,28.942131157094845,28.74254540196522,28.32068341942523,28.553581249545307,29.22551696272961,28.753984979891616,28.708948581126865,29.332156343211985,28.749563855093587,29.112227719663526,29.129230265211937,29.21587707440336,28.70865446074974,29.19933552073352,29.22578369256075,28.552973452912934,29.370844405268222,29.180972437469755,29.148808659668493
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",27.570869194266628,31.68211482922885,29.16658736059905,28.04653906989534,26.770910026585625,26.208886405127743,28.873075485778063,27.29948975391896,27.89808774361064,29.859787707342708,28.0588087766317,27.683172546106263,29.753723278101614,29.687610893690735,27.608001404048665,28.11800042789707,27.1733439274678,27.670991648557347,28.06434495115072,30.96951685576905,27.61928439530787,27.714264609890098,27.79070723712214,27.93854695904465,28.242073621120568,28.25591443712544,28.021943427200323,28.154690198213803,28.4064100276327,28.249532438997377,28.41643220142925,26.845979031821912,28.163569041395146,27.33065516160289,26.769784600969945,27.746081328724493,27.990345863756982,27.546679861397504
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,27.998181421427425,28.02887934336346,31.171606542381774,27.953735961200262,28.20494656108322,27.68917378871277,30.255987340610744,28.16805096789287,28.23963831719099,28.489184247857022,29.220228963051948,27.844247555603754,28.099028268768905,28.24127418396092,28.19167030745787,28.747634374751044,28.314652699738247,29.48935741789629,28.487039854962223,28.607802405179946,28.330381893312328,28.96628410329528,28.32835480169738,28.24543994722141,28.1162403466706,27.844342461786972,28.100009085212506,28.490735509089028,28.581322391394686,28.01563317685172,28.26121176114118,28.18467906271837,27.84105845824349,28.099810176410976,27.98866864611376,28.256345248140125,28.32520328065852,27.847806805235848
P13929,ENOB_HUMAN,ENO3,Beta-enolase,28.1583738629481,27.87907554296803,25.525738781594587,27.7397300083379,27.950939980794633,27.775753754551967,26.64358667035954,28.36379103076132,27.957773361351958,27.965586542491348,27.96096506722437,28.02438507843407,28.013645444775506,27.992145594065807,27.917618098134245,27.99599631854108,28.37432778438435,27.017822564238692,28.478163880443113,28.53524831358023,28.51970591060918,28.657351586547648,27.73143759684609,27.728164649322927,27.992431915000378,28.113751863170755,28.616865610732248,27.937256733083927,28.78077994467072,28.353748758122876,28.29480621326376,28.801232311648494,27.359591410063924,28.09922590883275,28.690930143412213,28.414186284670368,27.668227836526825,27.775438664811958
