uniprot_id,gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
Q13643,FHL3,1,2.631578947368421,21.353934972452528,0,0,0,0,MAR,TRUE,NA
P02545,LMNA,0,0,21.177423124722612,NA,NA,NA,NA,Complete,TRUE,NA
Q5VVW2,GARNL3,28,73.68421052631578,21.101173963202026,1,0,0,1,MAR,FALSE,NA
O14561,NDUFAB1,0,0,21.50203473328284,NA,NA,NA,NA,Complete,TRUE,NA
P51668,UBE2D1,7,18.421052631578945,21.425394860350643,0,0,0,0,MAR,TRUE,NA
P01034,CST3,1,2.631578947368421,21.02972369799732,0,0,0,0,MAR,TRUE,NA
P30566,ADSL,0,0,21.55915704327666,NA,NA,NA,NA,Complete,TRUE,NA
P16152,CBR1,0,0,21.517431074316672,NA,NA,NA,NA,Complete,TRUE,NA
P52209,PGD,0,0,21.141058887116564,NA,NA,NA,NA,Complete,TRUE,NA
P54578,USP14,0,0,21.5234191159311,NA,NA,NA,NA,Complete,TRUE,NA
Q16555,DPYSL2,0,0,21.33634771177866,NA,NA,NA,NA,Complete,TRUE,NA
P63244,RACK1,0,0,21.612677306714094,NA,NA,NA,NA,Complete,TRUE,NA
Q01432,AMPD3,2,5.263157894736842,21.36961173023728,0,0,0,0,MAR,TRUE,NA
Q96IU4,ABHD14B,0,0,21.42787334377325,NA,NA,NA,NA,Complete,TRUE,NA
Q8NCW5,NAXE,0,0,21.54098569685017,NA,NA,NA,NA,Complete,TRUE,NA
O15382,BCAT2,3,7.894736842105263,21.44053873609025,0,0,0,0,MAR,TRUE,NA
P37802,TAGLN2,0,0,21.016504372643894,NA,NA,NA,NA,Complete,TRUE,NA
P05387,RPLP2,0,0,21.288229537127876,NA,NA,NA,NA,Complete,TRUE,NA
Q6IBS0,TWF2,0,0,21.56030495355219,NA,NA,NA,NA,Complete,TRUE,NA
O14818,PSMA7,0,0,21.512430498951982,NA,NA,NA,NA,Complete,TRUE,NA
P19367,HK1,0,0,21.564226256079863,NA,NA,NA,NA,Complete,TRUE,NA
P25789,PSMA4,0,0,21.550022583047557,NA,NA,NA,NA,Complete,TRUE,NA
Q14324,MYBPC2,2,5.263157894736842,20.970772569040836,0,0,0,0,MAR,TRUE,NA
P56556,NDUFA6,0,0,21.30918354989976,NA,NA,NA,NA,Complete,TRUE,NA
P50995,ANXA11,0,0,21.514255593575104,NA,NA,NA,NA,Complete,TRUE,NA
Q96MF2,STAC3,6,15.789473684210526,21.42560427236155,0,0,0,0,MAR,TRUE,NA
Q9BS92,NIPSNAP3B,2,5.263157894736842,21.24320752429939,0,0,0,0,MAR,TRUE,NA
P23526,AHCY,0,0,21.49298575982311,NA,NA,NA,NA,Complete,TRUE,NA
O95168,NDUFB4,0,0,21.349019456953645,NA,NA,NA,NA,Complete,TRUE,NA
O75489,NDUFS3,0,0,21.40868829380327,NA,NA,NA,NA,Complete,TRUE,NA
P30038,ALDH4A1,0,0,21.419684339581693,NA,NA,NA,NA,Complete,TRUE,NA
P25787,PSMA2,0,0,21.349656617216084,NA,NA,NA,NA,Complete,TRUE,NA
P14649,MYL6B,2,5.263157894736842,20.91019333987299,0,0,0,0,MAR,TRUE,NA
Q15819,UBE2V2,0,0,21.4385173614096,NA,NA,NA,NA,Complete,TRUE,NA
O94760,DDAH1,1,2.631578947368421,21.247831838035516,0,0,0,0,MAR,TRUE,NA
Q99643,SDHC,6,15.789473684210526,21.124514797316383,0,0,0,0,MAR,TRUE,NA
P30626,SRI,0,0,21.02218905119868,NA,NA,NA,NA,Complete,TRUE,NA
P02452,COL1A1,14,36.84210526315789,20.409384154155916,0,0,0,0,MAR,TRUE,NA
P23327,HRC,1,2.631578947368421,21.27805777826183,0,0,0,0,MAR,TRUE,NA
P13987,CD59,0,0,21.454918596419496,NA,NA,NA,NA,Complete,TRUE,NA
O00151,PDLIM1,0,0,21.369136176853573,NA,NA,NA,NA,Complete,TRUE,NA
P31948,STIP1,0,0,21.34735133171145,NA,NA,NA,NA,Complete,TRUE,NA
P52907,CAPZA1,0,0,21.108600699889646,NA,NA,NA,NA,Complete,TRUE,NA
P20774,OGN,1,2.631578947368421,20.431191237354003,0,0,0,0,MAR,TRUE,NA
Q14240,EIF4A2,0,0,21.41716552286453,NA,NA,NA,NA,Complete,TRUE,NA
O15260,SURF4,14,36.84210526315789,21.203752750843318,0,0,0,0,MAR,TRUE,NA
P04632,CAPNS1,0,0,21.372595086067307,NA,NA,NA,NA,Complete,TRUE,NA
P22626,HNRNPA2B1,0,0,21.098901917805225,NA,NA,NA,NA,Complete,TRUE,NA
Q9HB71,CACYBP,2,5.263157894736842,21.3668986958217,0,0,0,0,MAR,TRUE,NA
P60900,PSMA6,0,0,21.38892133736308,NA,NA,NA,NA,Complete,TRUE,NA
P25311,AZGP1,0,0,20.671936600534845,NA,NA,NA,NA,Complete,TRUE,NA
P35443,THBS4,14,36.84210526315789,20.059377105914802,0,0,0,0,MAR,TRUE,NA
P51649,ALDH5A1,0,0,21.274268506157757,NA,NA,NA,NA,Complete,TRUE,NA
Q92530,PSMF1,0,0,20.886432447295636,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y3D6,FIS1,0,0,21.339321997967097,NA,NA,NA,NA,Complete,TRUE,NA
P30101,PDIA3,0,0,20.938986463016487,NA,NA,NA,NA,Complete,TRUE,NA
P22352,GPX3,0,0,20.893464939524424,NA,NA,NA,NA,Complete,TRUE,NA
P12111,COL6A3,0,0,20.21494318486242,NA,NA,NA,NA,Complete,TRUE,NA
P27338,MAOB,0,0,21.323152217784212,NA,NA,NA,NA,Complete,TRUE,NA
P29401,TKT,0,0,20.025526499745837,NA,NA,NA,NA,Complete,TRUE,NA
O43678,NDUFA2,0,0,21.229874925650037,NA,NA,NA,NA,Complete,TRUE,NA
P13798,APEH,0,0,21.22613066857131,NA,NA,NA,NA,Complete,TRUE,NA
P61586,RHOA,0,0,21.15961705771785,NA,NA,NA,NA,Complete,TRUE,NA
O15273,TCAP,9,23.684210526315788,21.016205410304313,0,0,0,0,MAR,TRUE,NA
P20231,TPSB2,1,2.631578947368421,20.797039657811368,0,0,0,0,MAR,TRUE,NA
P11021,HSPA5,0,0,21.195115923988883,NA,NA,NA,NA,Complete,TRUE,NA
P21817,RYR1,1,2.631578947368421,21.19090890681536,0,0,0,0,MAR,TRUE,NA
O95810,CAVIN2,0,0,20.238295411390787,NA,NA,NA,NA,Complete,TRUE,NA
Q9BVC6,TMEM109,0,0,21.248234649854666,NA,NA,NA,NA,Complete,TRUE,NA
O00330,PDHX,0,0,21.098842829932526,NA,NA,NA,NA,Complete,TRUE,NA
O75874,IDH1,0,0,21.082264809011622,NA,NA,NA,NA,Complete,TRUE,NA
P39687,ANP32A,1,2.631578947368421,21.11206998419749,0,0,0,0,MAR,TRUE,NA
Q9BRX8,PRXL2A,0,0,20.4922997991519,NA,NA,NA,NA,Complete,TRUE,NA
P27824,CANX,0,0,21.199084105349307,NA,NA,NA,NA,Complete,TRUE,NA
P05787,KRT8,14,36.84210526315789,20.23484993345137,0,0,0,0,MAR,TRUE,NA
P26641,EEF1G,0,0,21.284415993890907,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y5Z4,HEBP2,0,0,21.249319134141615,NA,NA,NA,NA,Complete,TRUE,NA
P78371,CCT2,0,0,21.180372348095794,NA,NA,NA,NA,Complete,TRUE,NA
Q15746,MYLK,0,0,21.120402396237527,NA,NA,NA,NA,Complete,TRUE,NA
P51149,RAB7A,0,0,21.1519898122121,NA,NA,NA,NA,Complete,TRUE,NA
O60664,PLIN3,0,0,21.2298398207049,NA,NA,NA,NA,Complete,TRUE,NA
P28838,LAP3,0,0,21.15998149126635,NA,NA,NA,NA,Complete,TRUE,NA
P23381,WARS1,0,0,21.10471143514901,NA,NA,NA,NA,Complete,TRUE,NA
P27816,MAP4,0,0,20.92872161050696,NA,NA,NA,NA,Complete,TRUE,NA
P24666,ACP1,0,0,21.15286765057172,NA,NA,NA,NA,Complete,TRUE,NA
P12109,COL6A1,4,10.526315789473683,19.841518272300306,0,0,0,0,MAR,TRUE,NA
Q08043,ACTN3,12,31.57894736842105,20.11487862853365,0,0,0,0,MAR,TRUE,NA
Q13557,CAMK2D,0,0,21.222327288718592,NA,NA,NA,NA,Complete,TRUE,NA
P11277,SPTB,0,0,20.375019091513824,NA,NA,NA,NA,Complete,TRUE,NA
P34949,MPI,1,2.631578947368421,21.200115202995804,0,0,0,0,MAR,TRUE,NA
Q01484,ANK2,1,2.631578947368421,21.1074289503021,0,0,0,0,MAR,TRUE,NA
P61026,RAB10,0,0,21.13913202183111,NA,NA,NA,NA,Complete,TRUE,NA
Q5SSJ5,HP1BP3,7,18.421052631578945,21.114811882525196,0,0,0,0,MAR,TRUE,NA
O14950,MYL12B,0,0,20.95033260416124,NA,NA,NA,NA,Complete,TRUE,NA
Q15185,PTGES3,0,0,21.138165866557294,NA,NA,NA,NA,Complete,TRUE,NA
P46109,CRKL,0,0,21.133872653172812,NA,NA,NA,NA,Complete,TRUE,NA
P25788,PSMA3,0,0,21.14354075752839,NA,NA,NA,NA,Complete,TRUE,NA
O75923,DYSF,0,0,21.10016427802472,NA,NA,NA,NA,Complete,TRUE,NA
P49327,FASN,15,39.473684210526315,20.03937328712596,0,0,0,0,MAR,TRUE,NA
P30046,DDT,0,0,20.99607132571567,NA,NA,NA,NA,Complete,TRUE,NA
P04899,GNAI2,0,0,20.74978942827605,NA,NA,NA,NA,Complete,TRUE,NA
Q8IVN3,MUSTN1,1,2.631578947368421,20.728247978392012,0,0,0,0,MAR,TRUE,NA
P51970,NDUFA8,2,5.263157894736842,21.00634609806279,0,0,0,0,MAR,TRUE,NA
P02745,C1QA,22,57.89473684210527,20.85332504804146,1,0,0,1,MAR,FALSE,NA
P17987,TCP1,0,0,21.036413236728407,NA,NA,NA,NA,Complete,TRUE,NA
P20618,PSMB1,0,0,21.102468595561817,NA,NA,NA,NA,Complete,TRUE,NA
Q15843,NEDD8,0,0,20.526183573299075,NA,NA,NA,NA,Complete,TRUE,NA
P62249,RPS16,0,0,21.041347630056798,NA,NA,NA,NA,Complete,TRUE,NA
Q13813,SPTAN1,0,0,20.314913996341332,NA,NA,NA,NA,Complete,TRUE,NA
Q9NY65,TUBA8,0,0,20.993337763959772,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y490,TLN1,0,0,20.630194293702765,NA,NA,NA,NA,Complete,TRUE,NA
Q7Z4W1,DCXR,0,0,21.002308307786517,NA,NA,NA,NA,Complete,TRUE,NA
P51636,CAV2,8,21.052631578947366,19.67881218724142,0,0,0,0,MAR,TRUE,NA
Q9BTV4,TMEM43,0,0,20.992310321429237,NA,NA,NA,NA,Complete,TRUE,NA
Q9NPJ3,ACOT13,0,0,20.975004080666363,NA,NA,NA,NA,Complete,TRUE,NA
P58546,MTPN,0,0,20.872874367053463,NA,NA,NA,NA,Complete,TRUE,NA
P54819,AK2,0,0,20.99057418513436,NA,NA,NA,NA,Complete,TRUE,NA
Q92523,CPT1B,3,7.894736842105263,20.944062813434957,0,0,0,0,MAR,TRUE,NA
P36955,SERPINF1,0,0,20.3045347046887,NA,NA,NA,NA,Complete,TRUE,NA
