gene,pre_mean,post_mean,pre_sd,pct_miss,shift,effect_d
CASQ1,27.122778415545056,27.073855045088788,0.36774616743858024,5,-0.0489233704562686,-0.13303570448341823
MYL1,26.463538585504214,26.43346401790683,1.1777474606715015,2.5,-0.030074567597385027,-0.025535667536262643
MYL2,26.443593043730463,26.451532132880164,1.0039900581739463,2.5,0.007939089149701317,0.00790753761460637
ATP2A1,26.43690545549191,26.341702451699213,0.731990178097164,5,-0.09520300379269742,-0.1300604934893815
MYH7,25.789202635678585,25.737295673348825,1.4424821185509067,2.5,-0.051906962329759665,-0.03598447541374345
PGAM2,26.19777550901429,26.13248085337105,0.7099471198141227,2.5,-0.065294655643239,-0.09197115365484453
MYH2,25.456012263837916,25.398978933936245,1.5222868952962074,2.5,-0.05703332990167098,-0.03746555927000436
MYH1,25.083745995758093,24.986781159347533,1.2718913596515702,7.5,-0.0969648364105602,-0.07623672861267282
FBP2,25.463938875952508,25.36803153990048,0.7313832123254247,5,-0.09590733605202928,-0.13113144304624244
TNNC2,25.04204871992769,24.989512214100884,1.2010014717119122,5,-0.05253650582680436,-0.043743914611460565
ATP2A3,24.64471008038447,24.523389867668293,0.6378942502655219,7.5,-0.12132021271617788,-0.1901885973508597
PDLIM3,25.12215102848231,25.08256830455164,0.8540638997377062,2.5,-0.03958272393067119,-0.04634632601006499
IGHA1,24.052193499310086,23.98315181576097,2.174592677875133,2.5,-0.06904168354911633,-0.031749248607136515
CSRP3,24.584373593831618,24.51976979756501,0.6759687229874776,5,-0.0646037962666064,-0.09557216786759998
LDB3,24.56862254080282,24.507291817439665,0.5131807932312582,5,-0.061330723363155926,-0.11951094852358989
MYBPC1,24.271502825319327,24.250510975927835,0.8324774836075194,5,-0.02099184939149268,-0.02521611671768592
TNNI2,23.858888915867794,23.810539965685035,1.2038268353849877,7.5,-0.048348950182759864,-0.040162711746908115
FLNC,24.231400534989387,24.182896523090132,0.825880834619491,2.5,-0.04850401189925435,-0.05873003690853494
TNNT3,23.451883289911937,23.434275955372385,1.282325926229618,5,-0.017607334539551545,-0.013730779499500433
S100A6,23.527288109724,23.305961100145304,2.1635083620456474,7.5,-0.22132700957869744,-0.10230004813544034
APOBEC2,23.819375736124602,23.73910327883307,1.0921708177394553,2.5,-0.08027245729153165,-0.07349807922690824
EEF1A2,23.95519166296109,23.863752155713648,0.49449850177595,5,-0.09143950724744343,-0.18491361838113987
TTN,23.27853329358582,23.22976012361735,1.2047667298261053,5,-0.04877316996847014,-0.04048349673094808
SRL,23.969939771405695,23.888903013943725,0.4411355368365183,5,-0.0810367574619697,-0.18370036121574432
TNNC1,23.471027443993922,23.428063175320347,1.1223336125496428,5,-0.04296426867357539,-0.038281192145686545
ANKRD2,23.70636324801346,23.630928694194104,0.6752449698920269,5,-0.07543455381935615,-0.11171435135817198
PLIN1,21.833037853677403,21.507491982668405,2.645543178830505,10,-0.32554587100899823,-0.12305445385053583
TRIM72,23.775738877305233,23.703584082608668,0.32805357986842565,5,-0.07215479469656572,-0.21994820091737838
CASQ2,23.563850526069995,23.49484277339615,0.7148914341530439,5,-0.06900775267384418,-0.09652899640013173
MYOM2,23.419452085173013,23.30859115872239,0.9224817058982574,5,-0.11086092645062351,-0.12017682924418949
HBG2,21.843930285548062,21.559187399164408,2.5295984576285213,20,-0.2847428863836541,-0.11256446078426151
