consolidated,quadrant,count
Muscle & Contractile,Concordant Down,6
Muscle & Contractile,Concordant Up,20
Muscle & Contractile,Discordant,17
Cytoskeleton & Motility,Concordant Down,33
Cytoskeleton & Motility,Concordant Up,51
Cytoskeleton & Motility,Discordant,54
ECM & Adhesion,Concordant Down,19
ECM & Adhesion,Concordant Up,50
ECM & Adhesion,Discordant,41
Lipid Metabolism,Concordant Down,52
Lipid Metabolism,Concordant Up,26
Lipid Metabolism,Discordant,48
Carbohydrate & Energy Metabolism,Concordant Down,44
Carbohydrate & Energy Metabolism,Concordant Up,61
Carbohydrate & Energy Metabolism,Discordant,71
Amino Acid & Cofactor Metabolism,Concordant Down,59
Amino Acid & Cofactor Metabolism,Concordant Up,28
Amino Acid & Cofactor Metabolism,Discordant,43
Mitochondria & Energy,Concordant Down,18
Mitochondria & Energy,Concordant Up,30
Mitochondria & Energy,Discordant,32
Protein Homeostasis,Concordant Down,44
Protein Homeostasis,Concordant Up,48
Protein Homeostasis,Discordant,80
Transport,Concordant Down,50
Transport,Concordant Up,60
Transport,Discordant,85
Translation & Ribosome,Concordant Down,30
Translation & Ribosome,Concordant Up,51
Translation & Ribosome,Discordant,62
Transcription & Chromatin,Concordant Down,23
Transcription & Chromatin,Concordant Up,30
Transcription & Chromatin,Discordant,44
Immune & Inflammation,Concordant Down,20
Immune & Inflammation,Concordant Up,15
Immune & Inflammation,Discordant,35
DNA & Cell Cycle,Concordant Down,44
DNA & Cell Cycle,Concordant Up,43
DNA & Cell Cycle,Discordant,87
Circulatory System,Concordant Down,24
Circulatory System,Concordant Up,12
Circulatory System,Discordant,20
Development,Concordant Down,11
Development,Concordant Up,8
Development,Discordant,18
Other,Concordant Down,71
Other,Concordant Up,44
Other,Discordant,81
