gene,logFC_CRE,t_CRE,pi_CRE,logFC_PLA,t_PLA,pi_PLA,set,set_label,is_conc
ETHE1,-0.12066415570915,-0.572425142902995,0.9351606489617116,0.772472396729658,3.77376920219982,0.00584332079577054,cre_dn,CRE Leading Down,FALSE
GLO1,-0.283879808378604,-2.11852264580144,0.4126579548980265,-0.492971021507167,-3.16444832819632,0.06618608297986164,cre_dn,CRE Leading Down,TRUE
MTHFD1,-0.0947451979993872,-0.790539921379764,0.924494429755764,-0.427572692106718,-3.06870096006672,0.10481781924317046,cre_dn,CRE Leading Down,TRUE
STAT5B,-0.0818602787083904,-0.718349057775402,0.9415584300243508,-0.38834349367036203,-2.93127356436739,0.14655147660648396,cre_dn,CRE Leading Down,TRUE
FITM2,-0.16695215120945,-0.921613971999856,0.8469103423768813,0.840905187360697,2.84629276415815,0.02282329008426184,cre_dn,CRE Leading Down,FALSE
RPS2,0.189260957979052,1.56285216184426,0.6803318237721175,0.386859094081636,2.74781623256733,0.17452099373157215,cre_up,CRE Leading Up,TRUE
RPL4,0.407187417444998,2.45128352085957,0.20968591301786405,0.52172753946823,2.70159950704802,0.10042916231322072,cre_up,CRE Leading Up,TRUE
SUOX,-0.170780748368095,-0.854265757353705,0.8556571405497738,-0.59175381972776,-2.6398177931604,0.08115422506580804,cre_dn,CRE Leading Down,TRUE
ARPC3,0.260380438790424,0.91957104530847,0.7700521040092525,0.805015500201364,2.44545224693276,0.04605425869337677,cre_up,CRE Leading Up,TRUE
PIP4K2B,-0.385560833267386,-1.65280132633928,0.4317886435724306,0.75611572981999,2.40319269608348,0.06253719346707347,cre_dn,CRE Leading Down,FALSE
SOD1,-0.298681291834683,-1.96191125431225,0.4337101130844215,-0.420006161422901,-2.37303973031022,0.2146718692214399,cre_dn,CRE Leading Down,TRUE
CAMK2D,0.261351688320261,1.91511387480744,0.4933691716620859,0.376266769594483,2.37160942744006,0.252276750808993,cre_up,CRE Leading Up,TRUE
MAPK14,-0.435709137646711,-1.62496812838074,0.39675243431154983,0.795000233048274,2.34224660536379,0.06095570936268217,cre_dn,CRE Leading Down,FALSE
RPS26,0.135418150396806,0.855734105285656,0.8833889067845532,-0.417339849282438,-2.26845322576549,0.2383657295942356,cre_up,CRE Leading Up,FALSE
MYL9,0.445905081427821,1.30964509825862,0.4903084875637864,0.869374036610349,2.19632131754025,0.05766789659304958,cre_up,CRE Leading Up,TRUE
RNF126,-0.401044261203662,-2.50778842998485,0.21620153042368315,-0.450189275016475,-2.16414607667279,0.24544268852195375,cre_dn,CRE Leading Down,TRUE
UBE2V2,-0.360951624691186,-2.77830788818657,0.19118790279474784,-0.326803558252301,-2.1636955804409,0.3499606860576291,cre_dn,CRE Leading Down,TRUE
HAGH,-0.100591106939575,-0.700099730995523,0.9308204768560192,-0.353481780008359,-2.11614473025022,0.3327375975413445,cre_dn,CRE Leading Down,TRUE
HMGB2,-0.186649137943874,-0.77733676781734,0.8594704295102095,-0.580370324908198,-2.07905716421775,0.17170159914737512,cre_dn,CRE Leading Down,TRUE
RPL23A,0.447154099792215,2.49707179910057,0.17183132739109666,-0.4253556783307,-2.04316790681692,0.28367649644735676,cre_up,CRE Leading Up,FALSE
SNRPD2,0.333561404880165,1.55441079546474,0.517166872603687,-0.594113097397923,-2.02847824452326,0.1851244052658147,cre_up,CRE Leading Up,FALSE
RPL30,0.281923622279674,1.1827580250519,0.6749913707317777,0.557118115665247,2.01043357102689,0.19930332744267049,cre_up,CRE Leading Up,TRUE
CALD1,0.662405159290618,2.09495866744046,0.13095722960183742,0.736887410150675,2.00461464872175,0.1194739777652096,cre_up,CRE Leading Up,TRUE
EZR,0.255013001751685,1.44222859603387,0.6288225880629317,-0.417679901682288,-1.95196581554013,0.3145301367840865,cre_up,CRE Leading Up,FALSE
SRP9,0.198260785231408,1.06863989017861,0.7877421794137076,-0.444787388122567,-1.92379972277768,0.30892310230635406,cre_up,CRE Leading Up,FALSE
