replicate,r
1,0.1750985654923882
2,0.22112841419318935
3,0.17820932525680744
4,0.11026150713317547
5,0.297252686712373
6,0.20608887491394443
7,0.21186960379327865
8,0.18429752082449222
9,0.22200945346406578
10,0.21763463331487748
11,0.2739398774892751
12,0.25028688293671686
13,0.2368300804037378
14,0.24949946852718846
15,0.20456888366059758
16,0.2380811708451255
17,0.2635613912467309
18,0.22018126555212544
19,0.24322123575280286
20,0.1779902417455464
21,0.1938230011943068
22,0.199127489638118
23,0.24257215421877698
24,0.22878419896934812
25,0.1789214436509838
26,0.1898685240874613
27,0.1786171919229283
28,0.23591617788209307
29,0.16840210825538093
30,0.19105558754408067
31,0.2061186649394337
32,0.2647067946919652
33,0.2749081672408693
34,0.2969013095652654
35,0.18391943539957042
36,0.2126595534159164
37,0.2020960248620274
38,0.23075248919350613
39,0.0983193514873229
40,0.27050395293574897
41,0.20868637821389024
42,0.15417475007399062
43,0.29399754495202163
44,0.18104216551107602
45,0.2149059060186521
46,0.24680718342663407
47,0.2514013945547824
48,0.2730393133718734
49,0.18136161376138524
50,0.14965094925625708
51,0.21796719123934566
52,0.27471426751806743
53,0.1566262307478156
54,0.1955179390428183
55,0.2389566520424917
56,0.1414581010485785
57,0.19642844736212145
58,0.20434108197417597
59,0.2311734416494578
60,0.17626860525393534
61,0.23140919660565792
62,0.1537115841736136
63,0.18291852639370138
64,0.25464362015467223
65,0.2556056151229979
66,0.18259953940161044
67,0.22690859778236916
68,0.24820592680830847
69,0.19968036971915185
70,0.23412192461065512
71,0.30025203211178686
72,0.265475828220069
73,0.2008852134888073
74,0.2521694173572419
75,0.26753006528898565
76,0.22320220478401018
77,0.2238422548657332
78,0.25541818343626793
79,0.28307997912739696
80,0.1731188840063673
81,0.16434591501269646
82,0.20801317427765295
83,0.20742915867489808
84,0.32645173656379944
85,0.22665874508633146
86,0.16339795462704015
87,0.22705250636547067
88,0.23884967607137983
89,0.20148755283751205
90,0.2218563782448093
91,0.2758115334883539
92,0.18360484598505677
93,0.22904412582922368
94,0.18930038209428157
95,0.18963725639974685
96,0.226872694972051
97,0.2032305970936372
98,0.24938848700615013
99,0.22359098243681377
100,0.23639018262354455
101,0.1780650781041837
102,0.1722072221780891
103,0.24537474561581643
104,0.1942461314650404
105,0.29352231812875523
106,0.16997119614388825
107,0.22347595490345798
108,0.26232193649056773
109,0.1412349976139287
110,0.19792199267951033
111,0.2421370733983435
112,0.1689002339030725
113,0.24141914146903118
114,0.24711105605993106
115,0.14989958531306075
116,0.23114281650933394
117,0.2278340423973435
118,0.2189275624392415
119,0.1733693264523859
120,0.19954847308513457
121,0.25358886379148204
122,0.20512704051237451
123,0.18269110925952187
124,0.1530906661221558
125,0.16883752809796249
126,0.2334023009409663
127,0.20954058443797247
128,0.3241417578433912
129,0.20388986775331028
130,0.24100728615124478
131,0.25768418371507656
132,0.28626164393245696
133,0.19198996510872998
134,0.25424630140055043
135,0.19356910233785202
136,0.31035564791261194
137,0.17132427719707785
138,0.25288505190683847
139,0.2654667602517265
140,0.1429006879540894
141,0.15519059281271863
142,0.23402696473563322
143,0.2334029454439522
144,0.21417057765761124
145,0.21560736915336126
146,0.24259257550786492
147,0.19363401438545821
148,0.1340087597696841
149,0.2330779122791963
150,0.2375099148141962
151,0.17712096547151032
152,0.22289668043952846
153,0.19802336092406778
154,0.20595627660794494
155,0.2512848830071507
156,0.2774378813390737
157,0.1934717981924823
158,0.19994246342614988
159,0.28302180934742727
160,0.23336970891866426
161,0.1924867822249708
162,0.2786619741970684
163,0.193821691613232
164,0.27121472683195624
165,0.21064890228213037
166,0.17539939530972187
167,0.19580029427699044
168,0.18918609058255859
169,0.18581101935306982
170,0.29440561232482
171,0.25243502113630706
172,0.22728491179292262
173,0.09261405163898742
174,0.1970145322452898
175,0.1562039195077556
176,0.24741416509606065
177,0.2530785961986273
178,0.1625673445704983
179,0.25419417342519873
180,0.23556540044640206
