quadrant,pathway,n_flow
Concordant Up,Amino Acid & Cofactor Metabolism,4
Concordant Up,Carbohydrate & Energy Metabolism,1
Concordant Up,Cytoskeleton & Motility,2
Concordant Up,DNA & Cell Cycle,1
Concordant Up,ECM & Adhesion,5
Concordant Up,Immune & Inflammation,3
Concordant Up,Lipid Metabolism,1
Concordant Up,Mitochondria & Energy,1
Concordant Up,Muscle & Contractile,2
Concordant Up,Protein Homeostasis,5
Concordant Up,Transcription & Chromatin,2
Concordant Up,Translation & Ribosome,1
Concordant Up,Transport,4
Concordant Down,Carbohydrate & Energy Metabolism,3
Concordant Down,Circulatory System,1
Concordant Down,Cytoskeleton & Motility,1
Concordant Down,DNA & Cell Cycle,1
Concordant Down,Lipid Metabolism,6
Concordant Down,Muscle & Contractile,1
Concordant Down,Protein Homeostasis,4
Concordant Down,Transcription & Chromatin,3
Discordant,Amino Acid & Cofactor Metabolism,15
Discordant,Carbohydrate & Energy Metabolism,11
Discordant,Circulatory System,3
Discordant,Cytoskeleton & Motility,9
Discordant,DNA & Cell Cycle,15
Discordant,ECM & Adhesion,13
Discordant,Immune & Inflammation,10
Discordant,Lipid Metabolism,5
Discordant,Mitochondria & Energy,5
Discordant,Muscle & Contractile,2
Discordant,Protein Homeostasis,19
Discordant,Transcription & Chromatin,11
Discordant,Translation & Ribosome,4
Discordant,Transport,22
